wave,flux,fluxerr
114.86000,2.58172e-09,1.31824e-10
114.98000,2.69784e-09,1.11457e-10
115.10000,2.39842e-09,1.09274e-10
115.22000,2.29819e-09,9.82339e-11
115.34000,2.32039e-09,9.57590e-11
115.46000,2.25866e-09,9.90691e-11
115.58000,2.38107e-09,8.85754e-11
115.70000,2.52029e-09,8.50775e-11
115.82000,2.38209e-09,9.95834e-11
115.92000,2.39053e-09,1.02608e-10
116.04000,2.39715e-09,9.61401e-11
116.16000,2.48330e-09,8.24964e-11
116.28000,2.42835e-09,7.45908e-11
116.40000,2.35276e-09,6.61675e-11
116.52000,2.25680e-09,5.91300e-11
116.64000,2.19953e-09,7.20860e-11
116.76000,2.12672e-09,9.10947e-11
116.88000,2.08447e-09,6.38416e-11
116.98000,2.06981e-09,5.37681e-11
117.10000,1.92893e-09,5.48519e-11
117.22000,1.80452e-09,5.74459e-11
117.34000,1.72756e-09,3.63035e-11
117.46000,1.70139e-09,3.69707e-11
117.58000,1.80933e-09,5.67900e-11
117.70000,1.95107e-09,7.44984e-11
117.82000,2.04973e-09,7.31336e-11
117.94000,2.11034e-09,6.81251e-11
118.06000,2.15184e-09,5.34937e-11
118.16000,2.20076e-09,3.95564e-11
118.28000,2.17722e-09,4.77971e-11
118.40000,2.19180e-09,5.10572e-11
118.52000,2.14562e-09,6.68656e-11
118.64000,2.13289e-09,4.49165e-11
118.76000,2.10682e-09,4.23895e-11
118.88000,2.04013e-09,3.52096e-11
119.00000,1.97841e-09,3.75944e-11
119.12000,1.96663e-09,3.18309e-11
119.24000,1.91839e-09,3.01067e-11
119.34000,1.85261e-09,2.68378e-11
119.46000,1.80800e-09,2.67574e-11
119.58000,1.76700e-09,2.86788e-11
119.70000,1.72864e-09,2.78244e-11
119.82000,1.67587e-09,3.04217e-11
119.94000,1.63141e-09,4.63186e-11
120.06000,1.63152e-09,4.77076e-11
120.18000,1.66594e-09,4.09675e-11
120.30000,1.64500e-09,3.84667e-11
120.42000,1.59809e-09,3.86559e-11
120.52000,1.47094e-09,3.78164e-11
120.64000,1.37836e-09,4.91178e-11
