wave,flux,fluxerr
171.04272,8.70900e-16,1.74930e-14
171.17980,-3.76390e-14,1.68720e-14
171.31688,-3.46680e-14,1.62800e-14
171.45398,-1.39140e-14,1.66940e-14
171.59106,-1.32660e-14,1.63090e-14
171.72815,-2.02650e-14,1.54710e-14
171.86525,-3.51460e-14,1.52780e-14
172.00233,-2.15620e-14,1.61340e-14
172.13943,1.27430e-14,2.17760e-14
172.27653,-1.07490e-14,1.46890e-14
172.41362,-7.21520e-15,1.46120e-14
172.55072,-3.71680e-14,1.43420e-14
172.68782,-1.62500e-14,1.89490e-14
172.82491,-3.48880e-14,1.37140e-14
172.96201,-1.01760e-14,1.37840e-14
173.09912,-2.43290e-14,1.34980e-14
173.23622,-9.83690e-15,1.41850e-14
173.37333,-3.88090e-14,1.31940e-14
173.51044,-2.22960e-14,1.32010e-14
173.64755,-2.23460e-14,1.33810e-14
173.78466,-4.82610e-14,1.35070e-14
173.92177,-4.65590e-15,1.37330e-14
174.05887,-2.26800e-14,1.25260e-14
174.19598,1.15260e-15,1.24480e-14
174.33311,-1.34720e-14,1.22690e-14
174.47021,-2.25100e-14,1.37470e-14
174.60734,-1.05890e-14,1.19870e-14
174.74446,7.15070e-15,1.26610e-14
174.88158,4.03180e-15,1.18520e-14
175.01870,2.93770e-15,1.17090e-14
175.15582,-1.23370e-14,1.14140e-14
175.29294,-9.84040e-15,1.12990e-14
175.43007,-1.34090e-14,1.11110e-14
175.56720,4.77230e-15,1.12560e-14
175.70432,-9.44090e-15,1.11150e-14
175.84146,2.66420e-14,1.17560e-14
175.97859,9.04240e-15,1.14620e-14
176.11571,4.65720e-14,1.13810e-14
176.25284,3.60950e-15,1.08340e-14
176.38998,1.23460e-14,1.05520e-14
176.52712,1.55670e-14,1.08670e-14
176.66426,2.91010e-14,1.14210e-14
176.80139,-7.58360e-15,1.00830e-14
176.93854,5.74760e-15,1.00850e-14
177.07567,2.74000e-14,1.02680e-14
177.21282,1.10500e-14,1.01440e-14
177.34996,3.65260e-14,1.33430e-14
177.48710,2.16930e-14,9.93480e-15
177.62424,9.42200e-15,1.03170e-14
177.76139,-6.91620e-15,9.42740e-15
177.89855,1.02800e-14,9.53890e-15
178.03569,2.20030e-14,1.09650e-14
178.17284,-9.59180e-15,9.29540e-15
178.31000,9.76900e-15,9.35870e-15
178.44714,5.82920e-15,9.01310e-15
178.58430,5.32440e-15,9.05290e-15
178.72146,3.56220e-15,9.06810e-15
178.85862,1.84800e-14,9.75170e-15
178.99578,1.42300e-14,9.06010e-15
179.13293,-3.08450e-15,8.67090e-15
179.27009,3.82170e-15,9.10080e-15
179.40725,1.96880e-14,8.61380e-15
179.54441,2.80120e-14,8.73020e-15
179.68158,2.42110e-14,8.55950e-15
179.81874,1.62980e-14,9.16040e-15
179.95591,2.24840e-14,1.20380e-14
180.09308,1.94410e-14,8.28870e-15
180.23025,-1.46460e-14,8.03500e-15
180.36742,2.04920e-14,8.30770e-15
180.50459,6.09900e-15,8.01620e-15
180.64176,2.61900e-15,7.95390e-15
180.77893,4.82280e-15,8.05350e-15
180.91610,2.12060e-14,8.15980e-15
181.05328,1.53560e-14,7.82850e-15
181.19045,7.55990e-15,7.99770e-15
181.32764,9.36440e-16,7.51470e-15
181.46482,2.87190e-15,7.43170e-15
181.60200,1.69480e-14,7.62980e-15
181.73917,-5.22990e-15,7.36040e-15
181.87635,1.27790e-14,7.46120e-15
182.01355,9.45940e-15,7.29010e-15
182.15073,1.77020e-14,7.32050e-15
182.28791,1.52970e-14,7.39050e-15
182.42510,1.98820e-14,9.00120e-15
182.56229,1.51340e-14,7.15230e-15
182.69948,-6.84040e-15,7.29550e-15
182.83667,5.80910e-15,6.96880e-15
182.97386,9.14640e-15,7.06960e-15
183.11106,1.54360e-14,7.12160e-15
183.24825,1.95320e-14,6.92060e-15
183.38545,1.85230e-14,6.80460e-15
183.52264,1.45120e-14,7.68150e-15
183.65984,1.68100e-14,6.74340e-15
183.79703,1.71740e-14,7.32580e-15
183.93423,7.87310e-15,6.62460e-15
184.07144,1.59060e-14,6.53500e-15
184.20864,1.31760e-14,6.72810e-15
184.34584,2.24560e-14,6.65970e-15
184.48304,2.95320e-15,6.35190e-15
184.62025,1.08220e-14,6.75660e-15
184.75746,1.85760e-14,6.37540e-15
184.89467,3.11980e-14,6.38360e-15
185.03187,1.81400e-14,6.28930e-15
185.16908,2.82840e-14,7.16760e-15
185.30629,1.78590e-14,6.29640e-15
185.44349,3.00500e-14,6.58700e-15
185.58071,3.49120e-14,6.26270e-15
185.71792,1.83980e-14,6.11120e-15
185.85514,1.18470e-14,5.98480e-15
185.99236,3.23000e-14,6.14120e-15
186.12958,5.28310e-14,6.38960e-15
186.26678,2.16680e-14,5.95620e-15
186.40400,2.34250e-14,5.89360e-15
186.54122,1.51660e-14,5.86880e-15
186.67844,2.68710e-14,5.90650e-15
186.81567,3.70060e-14,5.92720e-15
186.95289,3.10780e-14,5.87030e-15
187.09011,1.63520e-14,5.75700e-15
187.22734,2.65030e-14,5.73370e-15
187.36456,3.19020e-14,5.71580e-15
187.50179,1.50740e-14,5.58330e-15
187.63903,1.96920e-14,5.57680e-15
187.77625,1.94650e-14,5.47980e-15
187.91348,2.20130e-14,5.53430e-15
188.05071,3.16090e-14,5.63670e-15
188.18794,2.75690e-14,5.45580e-15
188.32517,1.89470e-14,5.41090e-15
188.46241,2.08020e-14,5.37170e-15
188.59965,1.32340e-14,5.26430e-15
188.73688,1.27080e-14,5.21960e-15
188.87412,2.94780e-14,5.31750e-15
189.01135,2.99510e-14,5.31820e-15
189.14860,4.32050e-14,5.52880e-15
189.28583,5.57110e-14,1.39740e-14
189.42307,3.85710e-14,5.29920e-15
189.56031,2.91230e-14,5.67830e-15
189.69756,2.56340e-14,5.24890e-15
189.83480,3.80880e-14,5.16740e-15
189.97205,2.78410e-14,5.18060e-15
190.10929,2.24380e-14,4.96310e-15
190.24653,3.66960e-14,5.04280e-15
190.38379,3.28340e-14,5.01120e-15
190.52103,2.57250e-14,4.92240e-15
190.65829,3.09180e-14,5.41590e-15
190.79553,3.38260e-14,5.05520e-15
190.93279,3.20300e-14,5.04720e-15
191.07003,4.17050e-14,4.95520e-15
191.20729,3.42050e-14,4.94180e-15
191.34454,3.67090e-14,6.64700e-15
191.48180,3.88250e-14,5.34710e-15
191.61906,3.47880e-14,4.83990e-15
191.75631,2.76210e-14,5.06680e-15
191.89357,3.06210e-14,5.01520e-15
192.03082,3.24740e-14,4.93400e-15
192.16809,3.96260e-14,4.69460e-15
192.30535,3.88060e-14,4.71170e-15
192.44261,4.03570e-14,5.53590e-15
192.57987,3.56140e-14,4.60940e-15
192.71714,3.61540e-14,4.67870e-15
192.85439,2.96830e-14,5.92040e-15
192.99166,2.90380e-14,4.52420e-15
193.12893,3.10480e-14,5.23030e-15
193.26620,3.00250e-14,4.48710e-15
193.40347,3.39300e-14,4.62670e-15
193.54073,3.33860e-14,4.64460e-15
193.67800,3.51660e-14,4.88620e-15
193.81527,3.48810e-14,4.40090e-15
193.95254,3.98160e-14,4.40150e-15
194.08982,3.64740e-14,4.34950e-15
194.22709,5.15000e-14,4.55380e-15
194.36436,4.10900e-14,4.59860e-15
194.50164,4.53670e-14,4.34070e-15
194.63890,3.51840e-14,4.22450e-15
194.77618,6.27020e-14,4.39870e-15
194.91346,4.27980e-14,4.34980e-15
195.05074,3.86840e-14,4.28870e-15
195.18802,4.19920e-14,4.30640e-15
195.32529,4.22370e-14,4.20400e-15
195.46257,3.95510e-14,4.51660e-15
195.59987,5.04000e-14,4.28430e-15
195.73715,4.07310e-14,4.11100e-15
195.87443,3.85570e-14,4.05830e-15
196.01171,4.53920e-14,4.10870e-15
196.14899,4.57300e-14,4.07880e-15
196.28628,3.76940e-14,4.01110e-15
196.42356,3.29460e-14,3.99090e-15
196.56085,4.95090e-14,4.11520e-15
196.69813,5.73900e-14,4.17500e-15
196.83542,5.14830e-14,4.41130e-15
196.97272,4.56420e-14,3.96350e-15
197.11001,5.28480e-14,4.03430e-15
197.24730,4.93090e-14,3.94440e-15
197.38458,4.57670e-14,3.88550e-15
197.52187,4.78050e-14,3.88960e-15
197.65917,4.61740e-14,3.87170e-15
197.79647,4.10320e-14,3.80820e-15
197.93376,4.50900e-14,3.95560e-15
198.07106,4.83220e-14,3.93380e-15
198.20835,4.83960e-14,3.82170e-15
198.34565,4.22580e-14,3.75830e-15
198.48295,4.97830e-14,3.78050e-15
198.62025,5.08610e-14,4.08240e-15
198.75754,4.20250e-14,3.65140e-15
198.89485,4.07800e-14,3.62620e-15
199.03214,4.96750e-14,3.67930e-15
