wave,flux,fluxerr
114.05336,-8.28370e-16,0.00000
114.11172,3.69240e-16,1.59240e-15
114.17009,-5.83280e-16,0.00000
114.22847,-5.31010e-16,0.00000
114.28683,-4.27200e-16,0.00000
114.34520,-3.80890e-16,0.00000
114.40358,-3.32220e-16,0.00000
114.46194,-2.81130e-16,0.00000
114.52031,-2.44150e-16,0.00000
114.57869,-2.22110e-16,0.00000
114.63705,3.18740e-16,5.11770e-16
114.69542,3.16860e-16,4.90680e-16
114.75378,-1.61070e-16,0.00000
114.81216,-1.48000e-16,0.00000
114.87052,2.40920e-16,3.73030e-16
114.92889,2.63440e-17,2.13110e-16
114.98726,-1.13350e-16,0.00000
115.04563,2.83510e-17,1.94980e-16
115.10399,1.42210e-16,2.39730e-16
115.16237,-9.74580e-17,0.00000
115.22073,1.06130e-16,1.93680e-16
115.27910,-8.64830e-17,0.00000
115.33746,-8.08420e-17,0.00000
115.39584,-8.05160e-17,0.00000
115.45420,-7.44000e-17,0.00000
115.51257,-7.40450e-17,0.00000
115.57094,-7.10720e-17,0.00000
115.62930,7.72340e-17,1.46440e-16
115.68767,7.71940e-17,1.44770e-16
115.74603,7.75530e-17,1.44310e-16
115.80439,-6.41710e-17,0.00000
115.86277,7.28780e-17,1.37030e-16
115.92113,-6.32430e-17,0.00000
115.97949,-5.96700e-17,0.00000
116.03787,-5.90400e-17,0.00000
116.09623,-5.84620e-17,0.00000
116.15459,-5.72970e-17,0.00000
116.21296,-5.72520e-17,0.00000
116.27133,-5.63160e-17,0.00000
116.32969,-5.40850e-17,0.00000
116.38805,5.36270e-17,1.09340e-16
116.44641,-5.20830e-17,0.00000
116.50479,5.49510e-17,1.09180e-16
116.56315,-5.14210e-17,0.00000
116.62151,-5.12020e-17,0.00000
116.67987,-5.23420e-17,0.00000
116.73823,-5.07910e-17,0.00000
116.79659,-4.95880e-17,0.00000
116.85497,4.65710e-17,9.63550e-17
116.91333,3.83100e-17,8.73630e-17
116.97169,-4.76970e-17,0.00000
117.03005,-8.17820e-18,5.85480e-17
117.08842,1.74640e-16,1.39640e-16
117.14678,-4.65230e-17,0.00000
117.20514,7.66020e-17,9.89620e-17
117.26350,-4.58440e-17,0.00000
117.32186,-4.51670e-17,0.00000
117.38022,2.89800e-17,7.29640e-17
117.43859,2.86590e-17,7.29970e-17
117.49695,-4.34580e-17,0.00000
117.55531,-4.28190e-17,0.00000
117.61367,-4.23260e-17,0.00000
117.67203,-4.23430e-17,0.00000
117.73040,-4.23460e-17,0.00000
117.78876,2.65810e-17,6.82960e-17
117.84712,9.62810e-17,9.74640e-17
117.90548,2.63950e-17,6.70200e-17
117.96384,9.61390e-17,9.70450e-17
118.02220,8.89050e-17,9.12130e-17
118.08055,-3.99750e-17,0.00000
118.13892,-1.09180e-17,4.16030e-17
118.19728,-9.93410e-18,4.44310e-17
118.25564,2.17870e-17,6.00830e-17
118.31400,8.73390e-17,8.95620e-17
118.37236,2.31760e-17,6.09760e-17
118.43071,1.11720e-16,9.36670e-17
118.48907,2.32130e-17,6.07320e-17
118.54744,-1.18500e-16,5.87250e-17
118.60580,-4.28670e-17,3.40900e-17
118.66415,-7.39970e-17,4.56420e-17
118.72251,4.07900e-17,8.98540e-17
118.78087,2.59790e-18,7.02090e-17
118.83923,-1.12870e-16,5.60640e-17
118.89758,-3.63280e-17,9.06050e-17
118.95594,-5.89590e-17,1.00570e-16
119.01431,1.03300e-17,1.01000e-16
119.07266,-1.39430e-17,1.26370e-16
119.13102,-3.06760e-16,2.54160e-16
119.18938,1.98770e-17,4.06820e-16
119.24773,2.40730e-17,4.59900e-16
119.30609,-9.66860e-16,4.21710e-16
119.36444,7.77300e-16,4.69280e-16
119.42280,-2.52250e-17,4.49260e-16
119.48116,-2.36820e-16,4.33250e-16
119.53951,-1.48570e-16,4.25640e-16
119.59788,5.15080e-17,4.81700e-16
119.65623,1.21230e-16,4.16740e-16
119.71459,-6.60850e-18,4.32250e-16
119.77294,5.90400e-16,4.41770e-16
119.83130,1.10240e-15,4.90240e-16
119.88965,-3.76200e-16,4.26040e-16
119.94801,4.74100e-17,4.06150e-16
120.00636,1.30550e-16,4.14630e-16
120.06472,-2.18300e-16,3.63400e-16
120.12307,8.24760e-16,4.35180e-16
120.18142,-1.44370e-16,3.94760e-16
120.23978,4.00120e-17,4.30890e-16
120.29813,-3.42770e-16,3.79090e-16
120.35649,5.43300e-16,4.54080e-16
120.41484,1.85470e-16,4.13440e-16
120.47319,6.18330e-16,4.06410e-16
120.53156,2.96950e-16,3.98550e-16
120.58990,-5.65170e-16,4.01410e-16
120.64825,2.69980e-16,4.01490e-16
120.70662,4.18160e-16,4.07780e-16
120.76497,2.69950e-16,3.74300e-16
120.82332,6.19970e-17,3.47810e-16
120.88168,-6.94890e-16,3.60060e-16
120.94003,-3.15570e-16,3.58800e-16
120.99838,4.13550e-17,3.47710e-16
121.05673,-2.09200e-17,3.54960e-16
121.11509,-5.27200e-16,3.42370e-16
121.17344,3.96370e-17,3.41610e-16
121.23179,-8.47800e-17,3.38960e-16
