wave,flux,fluxerr
114.00167,-2.74060e-15,0.00000
114.06005,-2.32980e-15,0.00000
114.11842,-1.93680e-15,0.00000
114.17679,-1.73820e-15,0.00000
114.23517,3.00880e-15,2.54370e-15
114.29354,1.45570e-15,1.95690e-15
114.35192,3.01000e-16,1.20420e-15
114.41028,-9.53330e-16,0.00000
114.46865,-5.77760e-17,8.08060e-16
114.52703,-7.40920e-16,0.00000
114.58540,-6.53310e-16,0.00000
114.64377,1.39340e-15,1.04490e-15
114.70215,-5.38640e-16,0.00000
114.76051,-4.97330e-16,0.00000
114.81888,-4.74950e-16,0.00000
114.87726,-4.46980e-16,0.00000
114.93563,-4.11530e-16,0.00000
114.99399,-3.81500e-16,0.00000
115.05237,1.59670e-16,3.63870e-16
115.11074,8.10860e-16,5.43570e-16
115.16912,-1.62380e-16,1.85900e-16
115.22748,-1.07030e-16,2.22140e-16
115.28585,8.77160e-17,2.71620e-16
115.34423,-4.87720e-17,2.19190e-16
115.40259,7.13080e-17,2.52250e-16
115.46096,3.63260e-16,3.40050e-16
115.51932,5.32410e-16,3.59070e-16
115.57770,-2.71480e-16,0.00000
115.63607,3.39060e-16,3.02550e-16
115.69443,-1.14610e-16,1.44960e-16
115.75281,1.12910e-16,2.25630e-16
115.81117,-1.69680e-17,1.83900e-16
115.86954,-1.13480e-16,1.33960e-16
115.92791,-1.22940e-16,1.27490e-16
115.98628,-7.56730e-17,1.51240e-16
116.04464,1.59570e-16,2.15320e-16
116.10302,3.50160e-16,2.61030e-16
116.16138,1.21120e-16,2.04460e-16
116.21975,1.05950e-16,1.93000e-16
116.27811,2.28590e-16,2.30780e-16
116.33649,-1.24860e-16,1.04690e-16
116.39485,2.09570e-16,2.15570e-16
116.45322,-1.53770e-17,1.51760e-16
116.51158,1.16240e-16,1.81350e-16
116.56996,8.64320e-17,1.81260e-16
116.62832,3.90550e-16,2.40210e-16
116.68668,1.94980e-16,1.96690e-16
116.74506,1.77520e-16,2.00880e-16
116.80342,-2.55840e-17,1.34220e-16
116.86178,6.29270e-17,1.58500e-16
116.92015,-2.12230e-16,0.00000
116.97852,1.35750e-16,1.73190e-16
117.03688,4.80330e-17,1.45580e-16
117.09525,-3.96280e-17,1.19060e-16
117.15361,-1.17750e-16,8.80760e-17
117.21198,-6.96720e-17,1.02960e-16
117.27034,3.02370e-16,2.00280e-16
117.32871,-1.23070e-16,7.71090e-17
117.38707,1.33970e-16,1.59950e-16
117.44543,-1.18690e-16,7.40370e-17
117.50380,1.07150e-16,1.53140e-16
117.56217,-7.52400e-17,9.22280e-17
117.62053,9.08080e-17,1.41320e-16
117.67889,8.87990e-17,1.39390e-16
117.73726,-5.24410e-17,9.82910e-17
117.79562,-4.95360e-17,1.01970e-16
117.85398,-7.51770e-17,8.98940e-17
117.91234,8.00970e-17,1.35390e-16
117.97072,9.56440e-18,1.13340e-16
118.02908,-7.65950e-17,8.92160e-17
118.08744,1.80020e-16,1.53800e-16
118.14580,1.92650e-16,1.54390e-16
118.20416,-5.62510e-17,8.80440e-17
118.26252,1.17110e-16,1.41930e-16
118.32089,-1.20070e-16,5.77250e-17
118.37925,3.77530e-16,1.87430e-16
118.43761,1.24810e-16,1.34900e-16
118.49597,9.97310e-17,1.27460e-16
118.55433,-5.93550e-17,8.27720e-17
118.61270,-9.97680e-17,5.73400e-17
118.67106,1.33690e-16,1.55440e-16
118.72942,2.43120e-16,2.07160e-16
118.78778,-7.99960e-17,1.44950e-16
118.84614,-2.59450e-17,1.41900e-16
118.90450,1.48580e-16,1.57870e-16
118.96287,-1.00190e-16,1.62910e-16
119.02122,-9.49340e-17,1.61820e-16
119.07958,-2.68420e-16,1.45660e-16
119.13794,-2.64620e-16,1.50080e-16
119.19630,4.01760e-16,2.54120e-16
119.25466,1.48710e-16,3.62030e-16
119.31302,9.86760e-18,3.92300e-16
119.37139,-4.72810e-16,4.41880e-16
119.42974,-1.05010e-16,4.40180e-16
119.48810,-6.43940e-16,4.10790e-16
119.54646,2.61400e-16,4.46220e-16
119.60482,-2.54840e-16,4.27110e-16
119.66317,-5.38600e-16,4.05160e-16
119.72153,1.74340e-16,3.87910e-16
119.77990,6.26080e-16,4.05220e-16
119.83826,-4.79130e-16,3.85850e-16
119.89661,-3.56300e-16,3.89810e-16
119.95497,-1.04730e-16,4.16000e-16
120.01333,6.75920e-16,4.15050e-16
120.07168,1.13990e-16,3.79730e-16
120.13004,4.23580e-17,4.05320e-16
120.18840,3.34090e-16,3.81630e-16
120.24675,6.19320e-16,4.02570e-16
120.30511,-1.99940e-16,3.85490e-16
120.36348,-1.19630e-16,3.70660e-16
120.42183,-3.78430e-16,3.54490e-16
120.48019,1.82170e-16,3.90880e-16
120.53854,2.36810e-16,4.04420e-16
120.59690,8.48960e-16,3.81380e-16
120.65525,-1.03020e-16,3.70940e-16
120.71361,-5.44540e-17,3.69850e-16
120.77196,-1.37740e-16,3.61790e-16
120.83032,-9.52120e-17,3.40640e-16
120.88867,3.85710e-16,3.65400e-16
120.94703,-2.56410e-16,3.41130e-16
121.00538,8.42690e-17,3.57960e-16
121.06375,6.36190e-16,3.51170e-16
121.12209,2.53500e-16,3.67140e-16
121.18046,3.22720e-16,3.47380e-16
121.23881,-2.30400e-16,3.06060e-16
121.29717,-1.47280e-16,3.24400e-16
121.35552,-1.74320e-16,3.10230e-16
121.41387,4.10940e-17,3.23830e-16
121.47223,-3.42590e-16,3.22810e-16
121.53058,-1.96350e-16,3.01890e-16
121.58893,5.63720e-16,3.20130e-16
121.64729,7.81060e-17,3.06510e-16
121.70564,7.06260e-16,3.51630e-16
121.76399,1.12060e-16,3.35510e-16
121.82235,2.37040e-17,3.16180e-16
121.88070,7.77490e-18,3.19340e-16
121.93905,7.75530e-17,3.04640e-16
121.99741,9.51780e-17,3.24660e-16
122.05576,-2.82510e-17,2.70180e-16
122.11411,-1.70990e-16,2.71920e-16
122.17246,-5.03160e-18,2.87160e-16
122.23081,-1.55690e-16,2.81180e-16
122.28917,-1.99300e-16,2.79850e-16
122.34752,-2.05250e-16,2.64390e-16
122.40587,7.93590e-17,2.97310e-16
122.46422,1.87300e-16,2.87550e-16
122.52257,4.03840e-17,2.84100e-16
122.58093,-5.36320e-18,2.92980e-16
122.63928,1.26970e-16,2.87760e-16
122.69763,1.11470e-16,2.90050e-16
122.75598,2.25680e-16,2.84400e-16
122.81433,3.55420e-16,2.65470e-16
122.87268,2.07620e-16,2.52670e-16
122.93103,4.22930e-16,2.75220e-16
122.98938,-2.63320e-17,2.63170e-16
123.04773,3.96990e-17,2.70910e-16
123.10608,3.60260e-17,2.79040e-16
123.16443,-1.10880e-16,2.73860e-16
123.22278,3.46360e-16,2.64790e-16
123.28113,3.64440e-16,2.80100e-16
123.33948,2.31970e-16,2.76620e-16
123.39783,-4.99770e-17,2.49290e-16
123.45618,2.86220e-16,2.63610e-16
123.51453,1.37530e-16,2.60240e-16
123.57288,3.49110e-16,2.63340e-16
123.63123,2.26620e-16,2.72370e-16
123.68958,5.84860e-16,2.68410e-16
123.74792,2.75460e-16,2.55810e-16
123.80627,3.23730e-16,2.39850e-16
123.86462,2.89110e-16,2.38320e-16
123.92296,3.02860e-16,2.38990e-16
123.98131,5.37010e-16,2.45690e-16
124.03966,2.75290e-16,1.74330e-16
124.09801,1.31260e-16,1.28400e-16
124.15636,3.79580e-16,1.16210e-16
124.21471,3.36260e-16,1.20720e-16
124.27305,2.88180e-16,1.09500e-16
124.33140,2.87310e-16,1.11480e-16
124.38975,2.39330e-16,1.02680e-16
124.44810,2.34080e-16,1.01530e-16
124.50643,1.09030e-16,9.01730e-17
124.56478,1.92590e-16,8.45330e-17
124.62313,3.75120e-17,5.49500e-17
124.68148,4.78570e-16,1.21040e-16
124.73982,3.39710e-16,1.03970e-16
124.79817,2.80660e-16,9.42000e-17
124.85652,3.96150e-16,1.10920e-16
124.91486,3.02100e-16,9.61590e-17
124.97321,3.65190e-16,1.06350e-16
125.03156,4.15130e-16,1.12140e-16
125.08989,3.59910e-16,1.04690e-16
125.14824,2.76660e-16,9.26020e-17
125.20658,4.44570e-16,1.15720e-16
125.26493,3.08260e-16,9.79770e-17
125.32327,6.30060e-16,1.32700e-16
125.38162,3.06400e-16,9.72930e-17
125.43997,5.20810e-16,1.20720e-16
125.49830,4.78200e-16,1.17000e-16
125.55665,7.08230e-16,1.37590e-16
125.61499,6.50410e-16,1.34070e-16
125.67334,8.38560e-16,1.49470e-16
125.73168,9.13100e-16,1.57860e-16
125.79003,6.80170e-16,1.34100e-16
125.84836,8.67970e-16,1.53040e-16
125.90670,8.29560e-16,1.45420e-16
125.96505,5.16380e-16,1.19520e-16
126.02339,5.44910e-16,1.22600e-16
126.08174,7.60770e-16,1.44610e-16
126.14008,7.58360e-16,1.37370e-16
126.19843,7.06490e-16,1.41960e-16
126.25676,1.16380e-15,1.68870e-16
126.31510,1.16900e-15,1.75520e-16
126.37345,1.19910e-15,1.72130e-16
126.43179,9.63360e-16,1.59500e-16
126.49012,9.79780e-16,1.55090e-16
126.54847,1.07640e-15,1.66560e-16
126.60681,1.42630e-15,1.83960e-16
126.66515,1.38340e-15,1.88860e-16
126.72349,2.21180e-15,2.27320e-16
126.78184,2.16220e-15,2.28760e-16
126.84017,3.18480e-15,2.75410e-16
126.89851,3.12890e-15,2.69180e-16
126.95685,3.29300e-15,2.78460e-16
127.01520,4.17390e-15,3.15740e-16
127.07354,3.55260e-15,2.86000e-16
127.13187,3.80320e-15,3.03250e-16
127.19021,4.50150e-15,3.21170e-16
127.24855,4.37680e-15,3.23900e-16
127.30690,4.67340e-15,3.27870e-16
127.36523,4.25370e-15,3.20650e-16
127.42357,3.35860e-15,2.78170e-16
127.48191,3.24380e-15,2.78470e-16
127.54025,2.87130e-15,2.56980e-16
127.59858,2.84480e-15,2.56440e-16
127.65692,2.83750e-15,2.57610e-16
127.71526,3.19040e-15,2.74870e-16
127.77360,3.59720e-15,2.94230e-16
127.83193,4.60340e-15,3.26590e-16
127.89027,4.53710e-15,3.29890e-16
127.94861,5.00120e-15,3.40770e-16
128.00695,5.03970e-15,3.43040e-16
128.06528,4.96640e-15,3.42290e-16
128.12362,6.07220e-15,3.71190e-16
128.18196,7.72620e-15,4.29870e-16
128.24030,7.60500e-15,4.18030e-16
128.29863,8.01710e-15,4.27880e-16
128.35697,8.51570e-15,4.46630e-16
128.41531,8.73990e-15,4.39830e-16
128.47365,9.42320e-15,4.70520e-16
128.53198,9.18670e-15,4.54830e-16
128.59032,9.57360e-15,4.65280e-16
128.64866,8.84640e-15,4.53690e-16
128.70699,6.84320e-15,4.09500e-16
128.76532,5.66530e-15,3.60360e-16
128.82366,5.72950e-15,3.67360e-16
128.88199,4.98020e-15,3.35550e-16
128.94033,6.66460e-15,3.92300e-16
128.99867,7.92230e-15,4.28030e-16
129.05699,7.47360e-15,4.19170e-16
129.11533,9.10650e-15,4.57420e-16
129.17367,9.82240e-15,4.70110e-16
129.23201,1.06420e-14,4.93290e-16
129.29033,1.01780e-14,4.79820e-16
129.34867,1.19040e-14,5.20280e-16
129.40701,1.23020e-14,5.34640e-16
129.46534,1.12630e-14,5.04840e-16
129.52367,1.12710e-14,5.02710e-16
129.58201,1.10240e-14,5.02500e-16
129.64034,1.21550e-14,5.21660e-16
129.69867,1.22900e-14,5.26250e-16
129.75701,1.23690e-14,5.31250e-16
129.81534,1.18720e-14,5.25530e-16
129.87367,1.20860e-14,5.15520e-16
129.93201,1.23930e-14,5.37480e-16
129.99033,1.32700e-14,5.42790e-16
130.04867,1.18880e-14,5.31500e-16
130.10701,1.14230e-14,4.93920e-16
130.16533,8.45700e-15,4.56290e-16
130.22367,7.41710e-15,4.04380e-16
130.28199,7.77040e-15,4.28220e-16
130.34033,7.82230e-15,4.23150e-16
130.39866,7.12900e-15,4.05730e-16
130.45699,4.97500e-15,3.33890e-16
130.51532,4.97340e-15,3.44540e-16
130.57366,5.49540e-15,3.54070e-16
130.63198,6.84640e-15,4.03090e-16
130.69032,7.65060e-15,4.17480e-16
130.74865,1.03290e-14,4.94210e-16
130.80697,9.81570e-15,4.78370e-16
130.86531,8.35390e-15,4.40350e-16
130.92363,6.81740e-15,3.96100e-16
130.98197,5.94290e-15,3.79260e-16
131.04030,6.30680e-15,3.79300e-16
131.09862,6.58210e-15,3.94950e-16
131.15696,7.49330e-15,4.15800e-16
131.21528,9.01980e-15,4.55610e-16
131.27361,1.11010e-14,5.04140e-16
131.33195,1.29020e-14,5.47720e-16
131.39027,1.46470e-14,5.80810e-16
131.44860,1.66320e-14,6.20250e-16
131.50692,1.76280e-14,6.44620e-16
131.56526,1.78020e-14,6.41480e-16
131.62358,1.50650e-14,5.90960e-16
131.68191,1.64520e-14,6.28750e-16
131.74023,1.87640e-14,6.48450e-16
131.79857,1.81290e-14,6.66410e-16
131.85690,1.96540e-14,6.83800e-16
131.91522,1.89540e-14,6.67020e-16
131.97355,2.00290e-14,6.79040e-16
132.03187,1.98460e-14,6.85160e-16
132.09021,2.01510e-14,6.83430e-16
132.14854,2.15810e-14,7.21500e-16
132.20686,2.17980e-14,7.23030e-16
132.26519,2.08760e-14,6.94770e-16
132.32351,1.97060e-14,6.87480e-16
132.38184,1.86790e-14,6.50900e-16
132.44016,1.89380e-14,6.79230e-16
132.49849,2.05160e-14,6.93720e-16
132.55681,1.97810e-14,6.71180e-16
132.61514,2.10280e-14,7.10470e-16
132.67346,2.08670e-14,7.16910e-16
132.73179,2.01800e-14,6.92500e-16
132.79011,2.00670e-14,7.01230e-16
132.84844,1.68820e-14,6.29800e-16
132.90676,1.65500e-14,6.24190e-16
132.96509,1.52750e-14,6.16940e-16
133.02341,1.66190e-14,6.34410e-16
133.08174,1.82970e-14,6.58670e-16
133.14006,1.76700e-14,6.53150e-16
133.19839,1.93040e-14,6.87950e-16
133.25671,1.88530e-14,6.75100e-16
133.31504,1.93470e-14,6.91090e-16
133.37336,1.85850e-14,6.65000e-16
133.43169,1.29310e-14,5.52580e-16
133.49000,1.13240e-14,5.31900e-16
133.54833,1.25950e-14,5.63180e-16
133.60665,1.25030e-14,5.48020e-16
133.66498,1.65050e-14,6.45950e-16
133.72330,2.01030e-14,6.95790e-16
133.78163,2.35610e-14,7.68730e-16
133.83994,2.45910e-14,7.61870e-16
133.89827,2.54010e-14,8.03350e-16
133.95659,2.57610e-14,7.81780e-16
134.01492,2.66770e-14,8.17680e-16
134.07323,2.78870e-14,8.16520e-16
134.13156,2.64140e-14,8.29940e-16
134.18988,2.68460e-14,8.09490e-16
134.24821,2.66830e-14,8.16720e-16
134.30652,2.84500e-14,8.42750e-16
134.36484,2.96460e-14,8.61360e-16
134.42317,2.73160e-14,8.16270e-16
134.48148,2.58010e-14,8.10240e-16
134.53981,2.58760e-14,7.95420e-16
134.59812,2.62800e-14,8.23770e-16
134.65645,2.68890e-14,8.20850e-16
134.71477,2.68870e-14,8.29890e-16
134.77308,2.69950e-14,8.29030e-16
134.83141,2.80640e-14,8.36870e-16
134.88972,2.67370e-14,8.17210e-16
134.94805,2.76660e-14,8.37910e-16
135.00637,2.65740e-14,8.15340e-16
135.06469,2.54550e-14,8.03700e-16
135.12301,2.58650e-14,8.10810e-16
135.18132,2.55210e-14,8.01730e-16
135.23965,2.53510e-14,8.06530e-16
135.29796,2.33200e-14,7.67900e-16
135.35627,2.25060e-14,7.53800e-16
135.41460,2.08200e-14,7.38220e-16
135.47291,1.96860e-14,7.01550e-16
135.53124,2.02770e-14,7.26490e-16
135.58955,1.72800e-14,6.60320e-16
135.64788,1.73900e-14,6.78670e-16
135.70619,1.92280e-14,6.98750e-16
135.76450,1.97350e-14,7.19230e-16
135.82283,2.19560e-14,7.71770e-16
135.88114,2.21160e-14,7.49830e-16
135.93945,2.25210e-14,7.67340e-16
135.99778,2.51030e-14,8.20080e-16
136.05609,2.64880e-14,8.23860e-16
136.11440,2.59160e-14,8.31890e-16
136.17273,2.47670e-14,8.18240e-16
136.23104,2.40660e-14,7.98650e-16
136.28936,2.21660e-14,7.72980e-16
136.34768,2.38950e-14,7.80980e-16
136.40599,2.25110e-14,7.82740e-16
136.46431,2.26900e-14,7.74580e-16
136.52262,2.50850e-14,8.08450e-16
136.58093,2.40460e-14,8.17860e-16
136.63926,2.31020e-14,7.85470e-16
136.69757,2.39880e-14,7.95040e-16
136.75588,2.31290e-14,7.96780e-16
136.81420,2.10120e-14,7.37240e-16
136.87251,2.00730e-14,7.43390e-16
136.93084,2.23240e-14,7.78680e-16
136.98915,2.12030e-14,7.61390e-16
137.04746,2.33570e-14,7.93030e-16
137.10577,2.42490e-14,8.02480e-16
137.16409,2.44780e-14,8.11140e-16
137.22240,2.51050e-14,8.35710e-16
137.28071,2.49350e-14,8.33800e-16
137.33903,2.60470e-14,8.47500e-16
137.39734,2.62640e-14,8.52200e-16
137.45565,2.53520e-14,8.28310e-16
137.51396,2.53450e-14,8.48370e-16
137.57228,2.64180e-14,8.32940e-16
137.63059,2.84590e-14,9.12750e-16
137.68890,2.75670e-14,8.50690e-16
137.74722,2.71930e-14,8.73120e-16
137.80553,2.69960e-14,8.53910e-16
137.86384,2.59370e-14,8.66670e-16
137.92216,2.70680e-14,8.51650e-16
137.98047,2.73510e-14,8.82870e-16
138.03878,2.61470e-14,8.37400e-16
138.09709,2.42220e-14,8.40630e-16
138.15541,2.34010e-14,8.03380e-16
138.21371,2.47310e-14,8.47330e-16
138.27202,2.54780e-14,8.49520e-16
138.33033,2.67970e-14,8.80640e-16
138.38865,2.77440e-14,8.80780e-16
138.44696,2.83240e-14,9.18810e-16
138.50527,2.93280e-14,9.03720e-16
138.56357,2.71000e-14,8.89470e-16
138.62189,2.62700e-14,8.74040e-16
138.68020,2.73330e-14,8.94500e-16
138.73851,2.74190e-14,9.01280e-16
138.79681,2.75890e-14,8.88190e-16
138.85513,2.75330e-14,8.96880e-16
138.91344,2.65940e-14,8.78060e-16
138.97175,2.94460e-14,9.34460e-16
139.03005,2.98710e-14,9.39050e-16
139.08837,2.89310e-14,9.29540e-16
139.14668,2.90900e-14,9.35020e-16
139.20498,2.80790e-14,9.05800e-16
139.26329,2.60240e-14,9.00500e-16
139.32161,2.60850e-14,8.70760e-16
139.37991,2.61350e-14,9.00390e-16
139.43822,2.82790e-14,9.09640e-16
139.49652,2.89610e-14,9.31700e-16
139.55483,2.83330e-14,9.18160e-16
139.61315,2.73180e-14,9.13140e-16
139.67145,2.81750e-14,9.13050e-16
139.72976,2.60160e-14,8.98400e-16
139.78806,2.43060e-14,8.63110e-16
139.84637,2.63320e-14,8.75720e-16
139.90468,2.57000e-14,8.79800e-16
139.96299,2.66390e-14,9.02920e-16
140.02129,2.60470e-14,8.81870e-16
140.07960,2.57120e-14,8.82470e-16
140.13790,2.73990e-14,9.31180e-16
140.19622,2.79430e-14,9.12520e-16
140.25452,2.81970e-14,9.38680e-16
140.31283,2.81940e-14,9.18180e-16
140.37113,2.66910e-14,9.12040e-16
140.42943,2.71110e-14,9.13680e-16
140.48774,2.75270e-14,9.14470e-16
140.54604,3.25640e-14,1.01460e-15
140.60436,3.16720e-14,1.01690e-15
140.66266,3.42640e-14,1.03270e-15
140.72096,3.24870e-14,1.01380e-15
140.77927,3.31820e-14,1.01730e-15
140.83757,3.17780e-14,9.98240e-16
140.89587,2.88010e-14,9.45770e-16
140.95419,2.58700e-14,9.22390e-16
141.01249,2.81590e-14,9.58040e-16
141.07079,2.94620e-14,9.59910e-16
141.12909,3.12090e-14,1.01620e-15
141.18740,3.02370e-14,9.82610e-16
141.24570,3.18310e-14,1.02540e-15
141.30400,3.33050e-14,1.03880e-15
141.36230,3.35440e-14,1.05180e-15
141.42061,3.40000e-14,1.04090e-15
141.47892,3.26450e-14,1.04280e-15
141.53722,3.45170e-14,1.05670e-15
141.59552,3.42840e-14,1.08130e-15
141.65382,3.37400e-14,1.04870e-15
141.71212,3.33760e-14,1.04740e-15
141.77042,3.65620e-14,1.09240e-15
