wave,flux,fluxerr
114.01786,2.91970e-15,3.29160e-15
114.07622,4.46240e-15,3.49210e-15
114.13459,1.71220e-15,2.15580e-15
114.19297,-3.32100e-16,0.00000
114.25133,-3.48790e-16,0.00000
114.30970,9.11460e-16,1.18320e-15
114.36807,6.29310e-16,9.57510e-16
114.42644,-2.42450e-16,0.00000
114.48480,-2.07420e-16,0.00000
114.54318,4.50540e-16,6.40840e-16
114.60154,1.01180e-15,8.43100e-16
114.65991,-1.59640e-16,0.00000
114.71827,-1.51190e-16,0.00000
114.77665,2.76010e-16,4.28810e-16
114.83501,2.16850e-16,3.59820e-16
114.89338,5.01940e-16,4.49540e-16
114.95175,4.29480e-16,4.08820e-16
115.01011,1.52260e-16,2.76580e-16
115.06848,1.42520e-16,2.68590e-16
115.12684,-1.12460e-16,0.00000
115.18521,1.07580e-16,2.29520e-16
115.24358,-1.08920e-16,0.00000
115.30194,2.87720e-16,2.83950e-16
115.36030,-1.08870e-16,0.00000
115.41868,5.21490e-17,1.77430e-16
115.47704,8.12970e-17,1.77840e-16
115.53540,5.47990e-17,1.66330e-16
115.59377,4.39120e-17,1.52410e-16
115.65214,-9.41370e-17,4.82580e-17
115.71050,-1.09340e-16,0.00000
115.76886,-1.11560e-16,0.00000
115.82723,2.24900e-17,1.30860e-16
115.88560,2.50280e-17,1.37360e-16
115.94396,-1.11550e-16,0.00000
116.00232,2.74290e-16,2.20120e-16
116.06068,-1.07970e-16,0.00000
116.11906,1.29720e-16,1.68740e-16
116.17742,-1.09050e-16,0.00000
116.23578,1.25850e-17,1.17420e-16
116.29414,-1.10650e-16,0.00000
116.35250,-1.10310e-17,1.02150e-16
116.41086,-1.39270e-17,1.05410e-16
116.46923,-1.07020e-16,0.00000
116.52759,-1.13860e-16,0.00000
116.58595,-1.47240e-17,9.45980e-17
116.64431,8.40310e-17,1.37990e-16
116.70267,1.80050e-16,1.69940e-16
116.76104,2.62780e-16,1.87950e-16
116.81940,-1.11400e-16,0.00000
116.87776,1.60700e-16,1.58380e-16
116.93612,-1.12700e-16,0.00000
116.99448,-2.96910e-17,8.18940e-17
117.05284,-1.78440e-17,9.18380e-17
117.11121,-2.85770e-17,8.44290e-17
117.16957,-3.32350e-17,7.88870e-17
117.22793,-3.38250e-17,7.79650e-17
117.28629,5.09110e-17,1.15670e-16
117.34465,1.24550e-16,1.36510e-16
117.40302,-3.65550e-17,7.39580e-17
117.46138,1.15820e-16,1.31770e-16
117.51974,-3.71690e-17,7.43030e-17
117.57810,1.01990e-16,1.22700e-16
117.63645,1.71440e-16,1.42530e-16
117.69481,2.71780e-17,9.79060e-17
117.75317,-3.29460e-17,7.58110e-17
117.81154,-4.20470e-17,6.92380e-17
117.86990,-4.29040e-17,6.87160e-17
117.92825,-4.94410e-17,6.40760e-17
117.98661,-1.11800e-16,0.00000
118.04497,1.52400e-16,1.31730e-16
118.10333,-4.54430e-17,6.53920e-17
118.16168,1.84800e-17,8.89670e-17
118.22004,-4.21010e-17,6.75150e-17
118.27841,-4.87910e-17,6.07140e-17
118.33676,1.41480e-16,1.26600e-16
118.39512,6.85790e-17,1.02730e-16
118.45348,-4.52560e-17,6.07640e-17
118.51183,7.97570e-18,8.29850e-17
118.57019,-8.00870e-17,1.16170e-16
118.62855,-3.53880e-17,1.21750e-16
118.68690,-2.11300e-17,1.46220e-16
118.74526,7.66220e-17,1.44740e-16
118.80363,-1.00880e-16,1.76810e-16
118.86198,4.30110e-16,2.21060e-16
118.92034,-7.33070e-17,1.99160e-16
118.97869,-5.60580e-17,1.61360e-16
119.03705,2.55930e-16,2.21490e-16
119.09540,-1.87060e-16,3.49690e-16
119.15376,-4.41960e-16,5.26860e-16
119.21211,-4.73460e-16,7.12660e-16
119.27047,-1.52930e-16,7.66040e-16
119.32882,-1.22460e-15,7.29280e-16
119.38718,-6.29090e-16,7.28810e-16
119.44553,6.87720e-16,7.88580e-16
119.50389,-9.37660e-16,7.58110e-16
119.56224,-2.83560e-16,7.38550e-16
119.62061,-7.43880e-16,7.38540e-16
119.67896,3.89490e-17,7.42670e-16
119.73730,1.36090e-15,7.37850e-16
119.79567,1.49320e-17,7.17940e-16
119.85402,5.49410e-16,7.32610e-16
119.91237,-1.72400e-16,6.99190e-16
119.97073,6.41080e-16,7.37320e-16
120.02908,1.10280e-15,7.40920e-16
120.08743,1.31800e-15,7.22210e-16
120.14579,6.11040e-16,7.13970e-16
120.20414,2.04920e-16,6.74680e-16
120.26249,5.23890e-16,7.93800e-16
120.32085,-1.23720e-16,7.49510e-16
120.37920,7.29820e-16,8.29970e-16
120.43755,3.26290e-15,7.53720e-16
120.49590,-1.02000e-15,7.38570e-16
120.55426,-2.57940e-16,8.05990e-16
120.61261,2.89530e-16,7.53240e-16
120.67096,1.05780e-16,6.55770e-16
120.72931,1.52470e-16,6.34830e-16
120.78766,-4.16870e-16,5.95010e-16
120.84601,-1.65600e-16,6.35720e-16
120.90437,3.14170e-16,6.09020e-16
120.96272,-2.51380e-16,6.09990e-16
121.02107,-9.69730e-16,5.92090e-16
121.07942,5.61730e-16,6.28030e-16
121.13777,-1.58460e-16,5.52470e-16
121.19612,1.62250e-15,6.38200e-16
121.25447,-7.48870e-16,5.76140e-16
121.31282,1.34300e-15,6.12660e-16
121.37117,-8.58550e-16,5.27970e-16
121.42952,-8.04010e-16,5.61490e-16
121.48787,-7.74840e-16,5.43920e-16
121.54622,-5.70430e-17,5.21670e-16
121.60457,1.85720e-16,5.61740e-16
121.66291,-4.08920e-16,5.40410e-16
121.72126,-3.05970e-16,5.39950e-16
121.77961,-2.57160e-16,5.52140e-16
121.83796,3.55390e-16,5.35000e-16
121.89631,-1.08500e-17,5.43910e-16
121.95466,4.31560e-16,5.39780e-16
122.01301,7.85640e-16,5.21630e-16
122.07136,1.98920e-16,5.41050e-16
122.12971,-6.01640e-16,4.96120e-16
122.18806,6.47120e-16,5.19140e-16
122.24641,-4.50250e-16,5.30320e-16
122.30475,2.28510e-16,5.30440e-16
122.36310,8.66890e-16,5.28870e-16
122.42145,-6.05260e-17,4.98730e-16
122.47980,3.11810e-16,5.12090e-16
122.53815,5.37090e-17,5.11700e-16
122.59648,3.80730e-16,4.89010e-16
122.65483,7.63950e-16,5.19850e-16
122.71318,-4.99930e-16,4.61090e-16
122.77153,-8.90800e-16,4.59080e-16
122.82987,-1.36470e-16,4.95060e-16
122.88822,5.37080e-17,4.70860e-16
122.94657,-4.42860e-16,4.77050e-16
123.00492,8.13030e-16,4.73280e-16
123.06326,5.34210e-16,4.68060e-16
123.12161,4.62390e-17,4.59310e-16
123.17996,3.35150e-16,4.40110e-16
123.23829,6.00070e-16,4.36670e-16
123.29664,-1.23040e-15,4.20910e-16
123.35499,2.06990e-16,4.58350e-16
123.41333,2.84780e-16,4.48210e-16
123.47168,-1.92260e-16,4.22120e-16
123.53002,-3.65400e-16,4.01920e-16
123.58837,8.86000e-16,4.41500e-16
123.64670,4.41210e-16,4.29400e-16
123.70505,6.65960e-16,4.33630e-16
123.76340,5.73570e-16,4.29330e-16
123.82174,-2.14850e-16,4.11570e-16
123.88009,-6.21170e-16,3.81110e-16
123.93843,-3.01350e-16,3.23710e-16
123.99678,-6.90210e-16,1.89440e-16
124.05511,1.97710e-16,1.66930e-16
124.11346,-4.23130e-17,1.00280e-16
124.17180,-9.70710e-17,8.76250e-17
124.23014,-4.24740e-18,7.15040e-17
124.28849,4.23400e-17,5.97820e-17
124.34683,1.13550e-16,6.89520e-17
124.40518,-1.82950e-17,5.64680e-17
124.46351,-1.04160e-16,5.71760e-17
124.52185,5.52280e-17,6.66060e-17
124.58020,-2.06710e-17,2.51960e-17
124.63854,5.56850e-17,5.10190e-17
124.69688,-5.00420e-18,3.22560e-17
124.75522,3.79550e-18,3.41730e-17
124.81356,5.65640e-17,5.06560e-17
124.87190,-1.86300e-17,2.45340e-17
124.93025,5.83320e-17,5.09380e-17
124.98859,6.50880e-18,3.51800e-17
125.04692,3.11710e-17,4.24580e-17
125.10527,-3.14940e-17,1.49870e-17
125.16361,1.31110e-16,6.54180e-17
125.22195,5.63170e-17,4.88650e-17
125.28029,3.18880e-17,4.20620e-17
125.33862,7.65670e-18,3.40280e-17
125.39697,5.53550e-17,4.76990e-17
125.45531,9.32020e-18,3.44460e-17
125.51365,1.41780e-16,6.59350e-17
125.57198,1.02040e-17,3.45760e-17
125.63032,5.65720e-17,4.75890e-17
125.68866,-3.85310e-17,0.00000
125.74701,5.61590e-17,4.67400e-17
125.80535,1.13630e-16,6.18380e-17
125.86368,5.58350e-17,4.60350e-17
125.92202,1.06900e-16,5.85210e-17
125.98036,9.75190e-17,5.70160e-17
126.03870,-1.19640e-17,2.40380e-17
126.09703,5.65130e-17,4.54810e-17
126.15537,1.39090e-17,3.52700e-17
126.21371,9.47500e-19,2.83000e-17
126.27205,1.27730e-17,3.37080e-17
126.33038,-9.97670e-18,2.33010e-17
126.38872,1.18860e-16,6.01640e-17
126.44706,2.15720e-17,3.45550e-17
126.50540,-9.57520e-18,2.33590e-17
126.56373,3.48760e-17,3.85210e-17
126.62207,1.43580e-17,3.31560e-17
126.68041,3.63760e-17,3.89280e-17
126.73875,3.84440e-17,4.03690e-17
126.79708,3.81340e-17,3.99790e-17
126.85541,4.80370e-17,4.24660e-17
126.91375,8.46690e-17,5.13620e-17
126.97208,8.31390e-17,5.06470e-17
127.03042,1.54180e-17,3.16260e-17
127.08876,8.74770e-17,5.24880e-17
127.14709,8.32180e-17,5.00570e-17
127.20542,7.74420e-17,5.09610e-17
