wave,flux,fluxerr
171.01846,-1.01060e-13,2.47290e-14
171.15555,-1.96970e-14,2.50460e-14
171.29265,-7.69260e-14,2.44850e-14
171.42975,-9.87030e-14,2.35630e-14
171.56686,-8.07360e-14,2.32110e-14
171.70396,-1.01660e-13,2.31140e-14
171.84106,-7.20860e-14,2.31780e-14
171.97817,-5.96000e-14,2.27780e-14
172.11528,-1.39730e-13,2.19950e-14
172.25239,-8.55480e-14,3.08390e-14
172.38950,-5.99620e-14,2.11770e-14
172.52661,-7.67760e-14,2.08680e-14
172.66372,-4.21850e-14,2.06000e-14
172.80084,-4.73300e-14,2.38910e-14
172.93795,-4.72430e-14,2.00690e-14
173.07507,-6.80600e-14,1.97980e-14
173.21219,-3.56850e-14,1.95920e-14
173.34932,-2.36190e-14,2.00110e-14
173.48644,-7.18900e-14,1.89980e-14
173.62356,-5.69710e-14,1.88040e-14
173.76068,-4.02760e-14,1.86240e-14
173.89780,-5.62420e-14,1.92000e-14
174.03494,-9.03490e-14,1.91480e-14
174.17206,-3.07210e-14,1.80740e-14
174.30919,-2.79920e-14,1.88760e-14
174.44633,-2.04150e-14,1.77510e-14
174.58346,-3.79860e-14,1.89200e-14
174.72059,-1.39030e-14,1.74430e-14
174.85773,1.51370e-14,1.87090e-14
174.99486,-2.56880e-14,1.70450e-14
175.13199,1.45540e-14,1.70550e-14
175.26914,-2.27820e-15,1.66040e-14
175.40627,-4.67090e-15,1.65520e-14
175.54342,-3.12770e-14,1.60860e-14
175.68055,2.20640e-14,1.63080e-14
175.81770,1.01040e-14,1.62980e-14
175.95485,2.47310e-14,1.62700e-14
176.09199,-5.67870e-15,1.58280e-14
176.22914,2.67770e-14,1.57210e-14
176.36630,2.15380e-14,1.58780e-14
176.50344,6.92680e-15,1.53420e-14
176.64059,2.54430e-14,1.56070e-14
176.77775,5.19610e-14,1.62100e-14
176.91490,2.64490e-14,1.49490e-14
177.05205,3.36410e-14,1.47960e-14
177.18921,2.89830e-14,1.49970e-14
177.32637,1.05730e-14,1.46990e-14
177.46353,4.63030e-14,1.74190e-14
177.60068,-1.01860e-15,1.40090e-14
177.73785,1.55030e-17,1.50570e-14
177.87501,2.52510e-15,1.38430e-14
178.01218,-1.15740e-14,1.36080e-14
178.14934,-7.32770e-15,1.47860e-14
178.28651,1.47690e-14,1.38170e-14
178.42368,4.01380e-14,1.36880e-14
178.56084,3.29670e-14,1.34040e-14
178.69801,8.79300e-15,1.30800e-14
178.83519,2.99720e-14,1.31520e-14
178.97236,4.01150e-14,1.43410e-14
179.10953,-5.01410e-15,1.30470e-14
179.24670,-6.15780e-15,1.25250e-14
179.38389,1.18160e-14,1.28070e-14
179.52106,7.15690e-15,1.23720e-14
179.65824,4.06480e-15,1.23070e-14
179.79542,2.47600e-14,1.23230e-14
179.93260,2.21250e-14,1.28690e-14
180.06979,1.24070e-14,1.69950e-14
180.20697,2.68730e-14,1.19640e-14
180.34415,4.51670e-14,1.20460e-14
180.48134,1.28590e-14,1.18360e-14
180.61852,8.54450e-15,1.16720e-14
180.75571,3.95090e-14,1.17440e-14
180.89290,3.56560e-14,1.17000e-14
181.03009,2.84550e-14,1.15810e-14
181.16729,3.09710e-14,1.13150e-14
181.30448,4.27450e-14,1.16590e-14
