wave,flux,fluxerr
171.12019,5.38380e-15,6.24990e-15
171.25729,6.69500e-15,5.06570e-15
171.39438,3.02180e-15,4.76510e-15
171.53149,5.20640e-15,4.69330e-15
171.66859,7.59190e-15,4.99590e-15
171.80570,-5.55220e-15,5.00400e-15
171.94281,6.30740e-15,4.68430e-15
172.07992,-2.81520e-16,1.48470e-14
172.21703,3.57420e-16,4.22710e-15
172.35414,-6.53200e-15,4.15570e-15
172.49125,2.95370e-15,4.23660e-15
172.62837,-4.45460e-15,9.39330e-15
172.76548,4.93600e-15,4.04610e-15
172.90260,5.59630e-15,3.95700e-15
173.03972,3.19550e-16,4.64560e-15
173.17684,1.07480e-15,4.45040e-15
173.31396,1.71760e-15,3.82730e-15
173.45109,5.59120e-15,4.04760e-15
173.58821,4.96870e-15,4.29430e-15
173.72533,1.11890e-14,4.51900e-15
173.86245,-5.94380e-16,4.12400e-15
173.99958,1.42820e-14,3.81120e-15
174.13672,-2.49940e-15,3.46180e-15
174.27384,-1.75660e-15,3.55590e-15
174.41097,2.96250e-15,3.60190e-15
174.54811,1.07980e-15,3.46730e-15
174.68524,-7.23990e-16,3.82270e-15
174.82238,1.01760e-14,3.44080e-15
174.95952,4.94630e-15,3.42270e-15
175.09666,2.34060e-15,3.33380e-15
175.23379,7.59930e-15,3.30700e-15
175.37094,7.06860e-15,3.26330e-15
175.50808,1.98770e-15,3.39240e-15
175.64521,5.69080e-15,3.30520e-15
175.78236,3.19550e-15,3.34190e-15
175.91951,1.03860e-15,3.62770e-15
176.05665,-2.44920e-15,4.43770e-15
176.19381,2.14200e-15,3.42470e-15
176.33096,2.91320e-15,3.03570e-15
176.46810,1.09910e-15,3.38450e-15
176.60526,-1.50620e-15,3.16520e-15
176.74241,3.04250e-15,2.89630e-15
176.87957,6.62080e-15,2.94150e-15
177.01672,5.43030e-15,3.04230e-15
177.15388,5.72640e-15,3.13900e-15
177.29104,7.42680e-15,2.89010e-15
177.42820,3.57570e-15,2.87090e-15
177.56536,1.06350e-15,4.91810e-15
177.70253,6.48860e-16,2.69780e-15
177.83969,7.09070e-15,2.72280e-15
177.97686,8.16470e-15,2.75810e-15
178.11401,3.23830e-15,2.78520e-15
178.25118,9.17190e-16,2.76950e-15
178.38835,3.44900e-15,2.67340e-15
178.52552,2.09190e-15,3.48450e-15
178.66270,2.06400e-15,2.57110e-15
178.79987,1.65750e-15,5.82370e-15
178.93704,3.38790e-15,2.76700e-15
179.07422,3.93380e-15,2.53270e-15
179.21139,2.61910e-15,2.63500e-15
179.34857,3.16950e-15,2.46010e-15
179.48574,3.42740e-16,2.72140e-15
179.62292,4.35090e-15,2.51820e-15
179.76011,6.49420e-15,2.74960e-15
179.89729,4.23500e-15,5.01920e-15
180.03447,6.85500e-15,2.40630e-15
180.17166,5.15600e-15,2.38330e-15
180.30884,8.44610e-15,2.37080e-15
180.44603,5.99970e-15,2.58800e-15
180.58322,4.40980e-15,2.36580e-15
180.72041,5.75250e-15,2.35700e-15
180.85759,2.48530e-15,2.53820e-15
180.99479,5.77600e-15,2.25540e-15
181.13198,4.66930e-15,2.77180e-15
181.26918,1.06950e-14,2.28590e-15
181.40637,6.50860e-15,2.17370e-15
181.54357,5.92350e-15,2.20220e-15
181.68076,7.11690e-15,2.17870e-15
181.81796,1.19150e-14,2.45640e-15
181.95515,6.57680e-15,2.31600e-15
182.09236,3.84470e-15,6.19610e-15
182.22955,7.00770e-15,2.19680e-15
182.36676,6.52880e-15,2.19010e-15
182.50397,5.85130e-15,2.24190e-15
182.64117,9.38900e-15,2.67510e-15
182.77838,5.20940e-15,2.04260e-15
182.91559,1.02090e-14,2.07920e-15
183.05280,7.10110e-15,3.20520e-15
183.19000,3.73380e-15,1.98700e-15
183.32721,7.47580e-15,1.97820e-15
183.46443,8.21860e-15,2.73710e-15
183.60164,6.94730e-15,1.98540e-15
183.73886,1.27700e-14,2.61510e-15
183.87606,1.04550e-14,2.05310e-15
184.01328,8.93790e-15,1.91210e-15
184.15050,7.69110e-15,1.94680e-15
184.28772,6.17880e-15,1.96530e-15
184.42494,4.32930e-15,1.85340e-15
184.56216,5.36050e-15,2.15850e-15
184.69938,9.23410e-15,1.87090e-15
184.83660,1.05720e-14,1.98490e-15
184.97383,1.55360e-14,2.22210e-15
185.11105,9.89260e-15,2.70520e-15
185.24828,7.11240e-15,1.90370e-15
185.38550,9.20540e-15,1.91920e-15
185.52273,9.56640e-15,1.86920e-15
185.65996,1.49020e-14,1.86560e-15
185.79719,1.10480e-14,1.81090e-15
185.93442,9.41510e-15,1.86860e-15
