wave,flux,fluxerr
114.01530,6.73470e-15,6.84360e-15
114.07366,5.90950e-15,5.72560e-15
114.13203,2.93950e-15,4.27400e-15
114.19039,1.43480e-14,6.32780e-15
114.24877,1.24000e-14,5.68470e-15
114.30713,-1.82240e-15,0.00000
114.36550,4.42440e-15,3.04260e-15
114.42386,7.74440e-15,3.48700e-15
114.48223,4.20980e-15,2.44570e-15
114.54060,6.52810e-15,2.70320e-15
114.59896,1.16650e-14,3.31010e-15
114.65734,2.53460e-15,1.58000e-15
114.71570,5.65430e-15,2.04900e-15
114.77406,5.77820e-15,2.01000e-15
114.83243,4.79460e-15,1.72080e-15
114.89080,3.68840e-15,1.43060e-15
114.94916,6.18200e-15,1.73710e-15
115.00753,3.96720e-15,1.37700e-15
115.06589,4.06120e-15,1.34240e-15
115.12426,6.87040e-15,1.56710e-15
115.18262,3.55370e-15,1.18420e-15
115.24099,5.10180e-15,1.28240e-15
115.29935,4.14080e-15,1.17020e-15
115.35771,3.18550e-15,9.87360e-16
115.41608,3.23870e-15,9.94750e-16
115.47444,3.09700e-15,9.23840e-16
115.53281,4.39110e-15,1.07710e-15
115.59117,3.65180e-15,9.57190e-16
115.64954,2.53150e-15,8.08030e-16
115.70790,2.77610e-15,8.22000e-16
115.76626,2.07300e-15,7.26090e-16
115.82462,2.53210e-15,7.61810e-16
115.88298,1.93520e-15,6.86270e-16
115.94135,3.43460e-15,8.59880e-16
115.99972,3.74900e-15,8.63950e-16
116.05808,2.37390e-15,6.98660e-16
116.11644,2.21240e-15,6.74760e-16
116.17480,2.76640e-15,7.31350e-16
116.23317,3.14110e-15,7.70240e-16
116.29153,2.32750e-15,6.67940e-16
116.34989,1.84860e-15,5.84160e-16
116.40825,2.46130e-15,6.82810e-16
116.46661,1.75250e-15,5.57450e-16
116.52498,2.53940e-15,6.77360e-16
116.58334,1.95660e-15,5.79480e-16
116.64170,1.72190e-15,5.53130e-16
116.70005,1.27270e-15,4.97260e-16
116.75841,1.98630e-15,5.80340e-16
116.81677,4.99000e-16,3.46410e-16
116.87513,1.14680e-15,4.59020e-16
116.93350,2.17050e-15,5.79060e-16
116.99186,1.31520e-15,4.67080e-16
117.05022,2.50590e-15,6.10950e-16
117.10858,1.09950e-15,4.33710e-16
117.16693,1.44700e-15,4.72510e-16
117.22529,1.91190e-15,5.19760e-16
117.28365,2.41280e-15,5.74230e-16
117.34202,1.41040e-15,4.55370e-16
117.40038,1.89650e-15,5.02430e-16
117.45873,1.66270e-15,4.79220e-16
117.51709,1.33160e-15,4.35010e-16
117.57545,2.87760e-15,5.89180e-16
117.63381,8.39830e-16,3.58480e-16
117.69216,1.32190e-15,4.21590e-16
117.75052,1.66790e-15,4.61500e-16
117.80889,1.93990e-15,4.86160e-16
117.86724,1.42610e-15,4.32250e-16
117.92560,1.62610e-15,4.42040e-16
117.98396,1.22740e-15,3.98560e-16
118.04231,1.81570e-15,4.57390e-16
118.10067,2.54090e-15,5.26080e-16
118.15903,8.48640e-16,3.42060e-16
118.21738,1.03690e-15,3.69680e-16
118.27574,1.75370e-15,4.38160e-16
118.33409,2.05660e-15,4.80060e-16
118.39246,2.36480e-15,4.93230e-16
118.45082,1.90540e-15,4.41610e-16
118.50917,1.83030e-15,4.40170e-16
118.56753,1.48060e-15,4.40000e-16
118.62588,8.91740e-16,4.00470e-16
118.68424,7.21240e-16,3.86020e-16
118.74259,1.29970e-15,4.50820e-16
118.80095,1.67340e-15,4.92670e-16
118.85930,8.66360e-16,3.55350e-16
118.91766,1.08150e-15,4.93650e-16
118.97601,1.10650e-15,4.64540e-16
119.03436,5.38930e-16,4.68000e-16
119.09272,9.26570e-16,6.11820e-16
119.15107,2.04230e-15,8.86360e-16
119.20944,-1.31910e-15,1.37160e-15
119.26779,-6.04220e-16,1.42920e-15
119.32614,2.79570e-15,1.54370e-15
119.38450,-4.92280e-17,1.55360e-15
119.44285,1.20420e-15,1.47480e-15
119.50121,1.37050e-16,1.45950e-15
119.55956,2.02970e-15,1.43550e-15
119.61791,1.22820e-15,1.44690e-15
119.67626,8.19530e-16,1.41530e-15
119.73462,1.82660e-15,1.51450e-15
119.79297,3.57040e-16,1.42280e-15
119.85132,2.10360e-16,1.42070e-15
119.90967,6.02230e-16,1.40780e-15
119.96803,7.80030e-16,1.35810e-15
