wave,flux,fluxerr
290.17251,-4.34190e-16,1.37000e-15
290.44702,-1.15710e-15,1.22160e-15
290.72153,9.12370e-16,1.73720e-15
290.99604,-4.23200e-16,1.01640e-15
291.27056,1.58330e-15,9.20780e-16
291.54507,4.48020e-17,8.07400e-16
291.81958,4.86750e-16,7.62650e-16
292.09412,3.72440e-16,7.02920e-16
292.36863,4.19660e-16,5.75500e-16
292.64316,-4.58290e-16,4.79200e-16
292.91768,9.39110e-16,4.83750e-16
293.19221,1.01370e-15,2.45160e-15
293.46675,6.83030e-16,1.23820e-15
293.74128,4.53760e-16,3.02240e-16
294.01582,4.15630e-16,2.66570e-16
294.29036,3.68510e-16,2.60130e-16
294.56489,2.79440e-16,2.63390e-16
294.83945,4.50080e-16,2.10310e-16
295.11399,4.09770e-16,1.97120e-16
295.38853,7.13190e-16,1.89700e-16
295.66309,3.51700e-16,1.50990e-16
295.93765,3.17670e-16,1.36130e-16
296.21218,5.27210e-16,1.27870e-16
296.48674,4.04830e-16,1.24580e-16
296.76130,3.03610e-16,1.12760e-16
297.03586,3.46270e-16,1.10600e-16
297.31042,3.66480e-16,1.03290e-16
297.58499,5.76420e-16,1.49590e-16
297.85955,3.77580e-16,1.01950e-16
298.13413,3.67580e-16,1.00970e-16
298.40869,4.54370e-16,1.69910e-16
298.68325,5.27200e-16,9.96260e-17
298.95784,5.83790e-16,1.06950e-16
299.23242,1.93750e-16,8.93580e-17
299.50698,4.50460e-16,9.03600e-17
299.78157,5.86430e-16,9.04540e-17
300.05615,3.95910e-16,8.71000e-17
300.33074,5.05580e-16,2.61560e-16
300.60532,3.52670e-16,8.76290e-17
300.87991,4.47700e-16,9.01840e-17
301.15449,4.72960e-16,8.92150e-17
301.42910,4.87010e-16,2.75500e-16
301.70369,5.58770e-16,8.42610e-17
301.97827,3.65290e-16,7.69240e-17
302.25288,5.49240e-16,8.15180e-17
302.52749,4.34390e-16,7.91430e-17
302.80208,5.29680e-16,7.78190e-17
303.07668,4.07440e-16,7.59040e-17
303.35129,6.36130e-16,8.09050e-17
303.62590,5.11580e-16,1.04440e-16
303.90051,5.21150e-16,7.26540e-17
304.17512,4.71460e-16,7.38900e-17
304.44973,3.20070e-16,6.91660e-17
304.72434,5.55990e-16,7.06990e-17
304.99897,5.53600e-16,7.15420e-17
305.27358,5.51690e-16,7.11540e-17
305.54822,4.11210e-16,6.81300e-17
305.82283,4.06730e-16,6.36700e-17
306.09746,3.84300e-16,6.38030e-17
306.37209,4.89240e-16,6.53450e-17
