wave,flux,fluxerr
166.86847,6.64900e-11,6.75710e-13
167.00557,6.32640e-11,6.48800e-13
167.14268,6.95720e-11,6.59050e-13
167.27977,7.15170e-11,4.73770e-13
167.41687,7.37280e-11,4.69740e-13
167.55398,7.85620e-11,4.71120e-13
167.69109,7.95080e-11,4.65360e-13
167.82820,8.08460e-11,4.57500e-13
167.96531,7.96880e-11,4.44370e-13
168.10242,8.02570e-11,4.38870e-13
168.23953,8.16150e-11,4.33410e-13
168.37664,8.25610e-11,4.28410e-13
168.51376,8.00510e-11,4.15910e-13
168.65087,7.88250e-11,4.07480e-13
168.78799,8.06100e-11,4.03970e-13
168.92511,8.20640e-11,4.00370e-13
169.06223,8.06840e-11,3.91740e-13
169.19935,8.03810e-11,3.86000e-13
169.33647,7.81770e-11,3.75800e-13
169.47361,7.65080e-11,3.66610e-13
169.61073,7.52450e-11,3.60090e-13
169.74786,7.61360e-11,3.58070e-13
169.88499,7.82500e-11,3.58490e-13
170.02212,7.77410e-11,3.55000e-13
170.15925,7.63670e-11,3.47040e-13
170.29639,7.65290e-11,3.42500e-13
170.43352,7.70220e-11,3.40910e-13
170.57065,7.66880e-11,3.38300e-13
170.70780,7.65310e-11,3.32810e-13
170.84493,7.80660e-11,3.32970e-13
170.98208,7.88930e-11,3.30670e-13
171.11923,7.81990e-11,3.26410e-13
171.25637,7.65600e-11,3.20980e-13
171.39352,7.78620e-11,3.23360e-13
171.53066,7.90710e-11,3.22570e-13
171.66781,7.93330e-11,3.19160e-13
171.80496,7.85130e-11,3.14010e-13
171.94211,7.42260e-11,3.02850e-13
172.07926,7.39430e-11,3.01430e-13
172.21642,7.48490e-11,3.03030e-13
172.35356,7.28950e-11,2.94140e-13
172.49072,7.19570e-11,2.90450e-13
172.62788,7.58310e-11,2.94980e-13
172.76504,8.18260e-11,3.04170e-13
172.90221,8.23810e-11,3.02880e-13
173.03937,7.92050e-11,2.95470e-13
173.17654,7.62550e-11,2.87720e-13
173.31370,7.53100e-11,2.84670e-13
173.45087,7.74970e-11,2.87650e-13
173.58804,7.81020e-11,2.85900e-13
173.72520,7.94410e-11,2.87200e-13
173.86237,8.17050e-11,2.89470e-13
173.99955,8.10630e-11,2.87060e-13
174.13672,7.95940e-11,2.81790e-13
174.27389,7.92640e-11,2.79310e-13
174.41107,7.90600e-11,2.77570e-13
174.54824,7.79680e-11,2.74230e-13
174.68542,7.89670e-11,2.72840e-13
174.82261,8.08940e-11,2.75230e-13
174.95978,8.36070e-11,2.78240e-13
175.09696,8.40470e-11,2.78190e-13
175.23416,8.54090e-11,2.77100e-13
175.37134,8.92540e-11,2.80970e-13
175.50852,9.15140e-11,2.82860e-13
175.64572,8.99740e-11,2.79030e-13
175.78290,8.56230e-11,2.71420e-13
175.92009,8.08370e-11,2.62820e-13
176.05728,7.73670e-11,2.55130e-13
176.19447,7.70280e-11,2.52410e-13
176.33166,7.58980e-11,2.50810e-13
176.46886,7.37080e-11,2.45960e-13
176.60607,7.64700e-11,2.49270e-13
176.74326,7.88500e-11,2.51230e-13
176.88046,7.95220e-11,2.50270e-13
177.01766,8.10120e-11,2.52440e-13
177.15486,8.11720e-11,2.51600e-13
177.29207,8.20470e-11,2.50770e-13
177.42927,8.38240e-11,2.51990e-13
177.56648,8.41290e-11,2.51320e-13
177.70369,8.57520e-11,2.51990e-13
177.84089,8.69450e-11,2.52430e-13
177.97810,8.70250e-11,2.52400e-13
178.11531,8.52110e-11,2.48440e-13
178.25253,8.47040e-11,2.45950e-13
178.38973,8.38600e-11,2.43790e-13
178.52695,8.14330e-11,2.38810e-13
178.66417,8.00310e-11,2.35900e-13
178.80139,8.17540e-11,2.36660e-13
178.93860,8.79200e-11,2.45230e-13
179.07582,9.19830e-11,2.49130e-13
179.21305,9.34580e-11,2.49290e-13
179.35027,9.35520e-11,2.48540e-13
179.48749,9.33730e-11,2.46940e-13
179.62472,9.12520e-11,2.42950e-13
179.76194,9.01580e-11,2.40120e-13
179.89917,9.20960e-11,2.41780e-13
180.03640,9.37900e-11,2.43290e-13
180.17362,9.38190e-11,2.41940e-13
180.31085,9.13620e-11,2.37800e-13
180.44808,8.76730e-11,2.31630e-13
180.58533,8.65950e-11,2.29520e-13
180.72256,8.25970e-11,2.22780e-13
180.85979,8.32630e-11,2.21190e-13
180.99703,8.71590e-11,2.26890e-13
181.13427,8.98170e-11,2.29060e-13
181.27151,8.94220e-11,2.27970e-13
181.40874,8.72760e-11,2.24590e-13
181.54598,8.56130e-11,2.21000e-13
181.68323,8.40280e-11,2.17930e-13
181.82047,8.55010e-11,2.20270e-13
181.95771,8.53250e-11,2.18410e-13
182.09496,8.58010e-11,2.18130e-13
182.23221,8.63510e-11,2.17730e-13
182.36946,8.69760e-11,2.17590e-13
182.50671,8.64310e-11,2.16230e-13
182.64396,8.41740e-11,2.12660e-13
182.78121,8.34870e-11,2.10620e-13
182.91847,8.25100e-11,2.08480e-13
183.05571,7.91380e-11,2.04020e-13
183.19297,7.85690e-11,2.02120e-13
183.33022,8.19660e-11,2.05330e-13
183.46749,8.33380e-11,2.07030e-13
183.60475,8.35000e-11,2.05480e-13
183.74200,8.28830e-11,2.04220e-13
183.87927,7.94350e-11,1.99490e-13
184.01653,7.52540e-11,1.93330e-13
184.15380,7.29900e-11,1.88510e-13
184.29105,7.42340e-11,1.90950e-13
184.42832,7.54550e-11,1.91380e-13
184.56559,7.53560e-11,1.90460e-13
184.70286,7.50630e-11,1.89390e-13
184.84012,7.79650e-11,1.92380e-13
184.97739,7.98410e-11,1.94940e-13
185.11466,7.77430e-11,1.90690e-13
185.25194,7.57550e-11,1.87660e-13
185.38921,7.72990e-11,1.88730e-13
185.52649,7.93230e-11,1.90650e-13
185.66376,8.08720e-11,1.92000e-13
185.80104,7.90520e-11,1.89170e-13
185.93832,7.72990e-11,1.86390e-13
186.07560,7.83240e-11,1.87400e-13
186.21288,7.94430e-11,1.87690e-13
186.35016,7.87810e-11,1.86240e-13
186.48744,7.80750e-11,1.84050e-13
186.62472,7.91520e-11,1.85300e-13
186.76200,8.09750e-11,1.86990e-13
186.89929,8.24230e-11,1.87940e-13
187.03657,8.30070e-11,1.88020e-13
187.17386,8.36480e-11,1.88330e-13
187.31115,8.33320e-11,1.88130e-13
187.44844,8.20600e-11,1.85000e-13
187.58573,7.99550e-11,1.82080e-13
187.72302,7.98310e-11,1.80570e-13
187.86031,8.22700e-11,1.83470e-13
187.99761,8.27710e-11,1.83250e-13
188.13490,8.34830e-11,1.83070e-13
188.27219,8.60090e-11,1.85440e-13
188.40948,8.55620e-11,1.84390e-13
188.54679,8.48910e-11,1.82910e-13
188.68408,8.46450e-11,1.81880e-13
188.82139,8.34680e-11,1.80720e-13
188.95869,8.32920e-11,1.78460e-13
189.09598,8.34970e-11,1.79250e-13
189.23329,8.42530e-11,1.78560e-13
189.37059,8.45290e-11,1.78070e-13
189.50790,8.36710e-11,1.77720e-13
189.64520,8.18720e-11,1.74940e-13
189.78251,7.96300e-11,1.71970e-13
189.91981,7.79590e-11,1.69310e-13
190.05713,7.76450e-11,1.68260e-13
190.19443,7.92910e-11,1.69770e-13
190.33175,8.16440e-11,1.71920e-13
190.46906,8.10630e-11,1.70770e-13
190.60637,8.18450e-11,1.70920e-13
190.74368,8.07390e-11,1.69400e-13
190.88099,7.83170e-11,1.66690e-13
191.01831,7.69700e-11,1.64560e-13
191.15563,7.91810e-11,1.66400e-13
191.29294,8.21830e-11,1.69170e-13
191.43026,8.16920e-11,1.70070e-13
191.56758,8.12840e-11,1.66600e-13
191.70490,8.21040e-11,1.66850e-13
191.84222,8.27620e-11,1.67190e-13
191.97954,8.45370e-11,1.68760e-13
192.11687,8.42290e-11,1.67720e-13
192.25419,8.40950e-11,1.67270e-13
192.39152,8.42540e-11,1.67000e-13
192.52883,8.16150e-11,1.64520e-13
192.66616,7.92760e-11,1.61470e-13
192.80349,7.97480e-11,1.61310e-13
192.94082,7.69370e-11,1.58110e-13
193.07815,7.36400e-11,1.53540e-13
193.21548,7.66710e-11,1.56750e-13
193.35281,8.09810e-11,1.60980e-13
193.49014,8.12080e-11,1.60350e-13
193.62748,8.20510e-11,1.61030e-13
193.76481,8.24720e-11,1.60890e-13
193.90215,8.37870e-11,1.61470e-13
194.03948,8.40660e-11,1.61210e-13
194.17682,8.52460e-11,1.62430e-13
194.31415,8.60450e-11,1.62160e-13
194.45149,8.55310e-11,1.61200e-13
194.58883,8.60440e-11,1.61560e-13
194.72617,8.50370e-11,1.60310e-13
194.86351,8.42520e-11,1.58890e-13
195.00085,8.36380e-11,1.57620e-13
195.13820,8.32980e-11,1.56750e-13
195.27554,8.26590e-11,1.55720e-13
195.41288,8.34930e-11,1.56080e-13
195.55023,8.41010e-11,1.56210e-13
195.68757,8.44070e-11,1.55790e-13
195.82491,8.46390e-11,1.55250e-13
195.96227,8.53230e-11,1.55950e-13
196.09961,8.50490e-11,1.55390e-13
196.23696,8.37470e-11,1.53710e-13
196.37432,8.38210e-11,1.53620e-13
196.51167,8.44050e-11,1.53790e-13
196.64901,8.46010e-11,1.53740e-13
196.78636,8.36820e-11,1.52370e-13
196.92372,8.34520e-11,1.51600e-13
197.06107,8.49100e-11,1.52650e-13
197.19844,8.66620e-11,1.53860e-13
197.33579,8.65860e-11,1.53190e-13
197.47314,8.47120e-11,1.50710e-13
197.61050,8.52810e-11,1.50660e-13
197.74786,8.47200e-11,1.49740e-13
197.88522,8.34140e-11,1.47350e-13
198.02258,8.37380e-11,1.47240e-13
198.15994,8.45670e-11,1.48210e-13
198.29730,8.35000e-11,1.46320e-13
198.43467,8.25540e-11,1.45100e-13
198.57202,8.32080e-11,1.45440e-13
198.70939,8.36640e-11,1.45320e-13
198.84675,8.41840e-11,1.45710e-13
198.98412,8.22450e-11,1.42550e-13
199.12148,8.08230e-11,1.41540e-13
199.25885,8.02300e-11,1.40320e-13
199.39622,7.85350e-11,1.38210e-13
199.53359,8.00510e-11,1.39440e-13
199.67096,8.23000e-11,1.40650e-13
199.80833,8.17560e-11,1.40090e-13
199.94570,7.79220e-11,1.36370e-13
200.08307,7.85440e-11,1.35890e-13
200.22045,8.01450e-11,1.37190e-13
200.35781,7.94560e-11,1.36220e-13
200.49519,7.79760e-11,1.34680e-13
200.63257,7.79930e-11,1.34420e-13
200.76993,7.80240e-11,1.33710e-13
200.90731,7.93170e-11,1.34800e-13
201.04469,7.80600e-11,1.32740e-13
201.18207,7.34030e-11,1.28290e-13
201.31945,7.39840e-11,1.28450e-13
201.45682,7.55680e-11,1.29220e-13
201.59420,7.64670e-11,1.29520e-13
201.73158,7.63690e-11,1.28930e-13
201.86897,7.65700e-11,1.28930e-13
202.00635,7.65320e-11,1.28540e-13
202.14373,7.61740e-11,1.27630e-13
202.28112,7.72440e-11,1.27970e-13
202.41849,7.79570e-11,1.28010e-13
202.55588,7.69100e-11,1.27000e-13
202.69326,7.68150e-11,1.26590e-13
202.83065,7.94080e-11,1.28410e-13
202.96804,8.05470e-11,1.28860e-13
203.10542,8.02690e-11,1.27850e-13
203.24281,7.73670e-11,1.24520e-13
203.38020,7.58180e-11,1.23660e-13
203.51759,7.54700e-11,1.22460e-13
203.65498,7.52360e-11,1.21910e-13
203.79237,7.55560e-11,1.21900e-13
203.92976,7.60660e-11,1.21730e-13
204.06715,7.46720e-11,1.20090e-13
204.20454,7.62080e-11,1.21150e-13
204.34193,7.92330e-11,1.22960e-13
204.47933,8.07880e-11,1.24040e-13
204.61672,8.23730e-11,1.24520e-13
204.75411,8.23920e-11,1.24050e-13
204.89150,8.16470e-11,1.22930e-13
205.02891,8.19920e-11,1.23040e-13
205.16631,8.21100e-11,1.23110e-13
205.30371,8.06740e-11,1.21920e-13
205.44111,7.63160e-11,1.17490e-13
205.57849,7.40090e-11,1.14700e-13
205.71589,7.51340e-11,1.15530e-13
205.85330,7.56950e-11,1.15540e-13
205.99070,7.65750e-11,1.16180e-13
206.12810,7.65430e-11,1.15810e-13
206.26550,7.46990e-11,1.13580e-13
206.40291,7.52940e-11,1.13700e-13
206.54031,7.50670e-11,1.13190e-13
206.67771,7.35320e-11,1.11710e-13
206.81511,7.48630e-11,1.12350e-13
206.95251,7.66840e-11,1.13250e-13
207.08992,7.83640e-11,1.14330e-13
207.22734,7.82470e-11,1.13550e-13
207.36475,7.80920e-11,1.13010e-13
207.50215,7.96230e-11,1.13660e-13
207.63955,8.10970e-11,1.14690e-13
207.77695,8.24340e-11,1.15330e-13
207.91438,8.11640e-11,1.14030e-13
208.05178,8.05210e-11,1.13200e-13
208.18918,8.02360e-11,1.12420e-13
208.32661,8.05720e-11,1.12500e-13
208.46401,7.94400e-11,1.11530e-13
208.60142,7.94600e-11,1.11090e-13
208.73884,8.03730e-11,1.11150e-13
208.87625,8.08730e-11,1.11110e-13
209.01367,8.06540e-11,1.10530e-13
209.15107,8.02540e-11,1.10280e-13
209.28850,7.90130e-11,1.08820e-13
209.42590,7.69090e-11,1.07160e-13
209.56333,7.69700e-11,1.06700e-13
209.70073,7.67670e-11,1.06030e-13
209.83816,7.67260e-11,1.05840e-13
209.97556,7.78440e-11,1.06090e-13
210.11299,7.69390e-11,1.05340e-13
210.25042,7.60810e-11,1.04400e-13
210.38782,7.59320e-11,1.03800e-13
210.52524,7.85330e-11,1.05600e-13
210.66267,7.90270e-11,1.05450e-13
210.80007,7.49240e-11,1.02320e-13
210.93750,7.22800e-11,1.00200e-13
211.07493,7.13630e-11,9.93080e-14
211.21235,7.02590e-11,9.84290e-14
211.34976,7.13070e-11,9.85350e-14
211.48718,7.50520e-11,1.00460e-13
211.62461,7.88500e-11,1.03010e-13
211.76204,7.92740e-11,1.02630e-13
211.89946,7.91940e-11,1.02200e-13
212.03689,7.93020e-11,1.02450e-13
212.17432,7.85870e-11,1.01490e-13
212.31174,7.75740e-11,1.00660e-13
212.44917,7.56000e-11,9.92250e-14
212.58657,7.38260e-11,9.77150e-14
212.72400,7.25590e-11,9.65710e-14
212.86143,7.05370e-11,9.53840e-14
212.99888,6.76880e-11,9.28230e-14
213.13630,6.42950e-11,9.01640e-14
213.27373,6.11140e-11,8.75870e-14
213.41116,5.78130e-11,8.48990e-14
213.54858,5.87470e-11,8.47440e-14
213.68601,6.41890e-11,8.90160e-14
213.82344,6.72700e-11,9.09450e-14
213.96086,6.65570e-11,9.01800e-14
214.09829,6.84520e-11,9.13870e-14
214.23574,7.16930e-11,9.31750e-14
214.37317,7.35170e-11,9.39310e-14
214.51060,7.45210e-11,9.49020e-14
214.64802,7.32130e-11,9.30290e-14
214.78545,7.22740e-11,9.23840e-14
214.92290,7.24220e-11,9.30140e-14
215.06033,7.17590e-11,9.18170e-14
215.19775,7.17890e-11,9.15270e-14
215.33521,7.39850e-11,9.28030e-14
215.47263,7.52070e-11,9.34340e-14
215.61006,7.47000e-11,9.29640e-14
215.74751,7.38180e-11,9.26650e-14
215.88494,7.05420e-11,8.96760e-14
216.02239,6.93210e-11,8.81270e-14
216.15981,6.99030e-11,8.86880e-14
216.29724,7.04440e-11,8.87850e-14
216.43469,7.11450e-11,8.92150e-14
216.57212,6.91110e-11,8.74090e-14
216.70957,6.76690e-11,8.63170e-14
216.84700,6.66680e-11,8.53050e-14
216.98445,6.65550e-11,8.52130e-14
217.12187,6.67550e-11,8.52920e-14
217.25933,6.78540e-11,8.58070e-14
217.39675,6.66660e-11,8.50770e-14
217.53420,6.50110e-11,8.36800e-14
217.67163,6.60850e-11,8.41470e-14
217.80908,6.88540e-11,8.54700e-14
217.94653,7.09180e-11,8.65530e-14
218.08396,7.18650e-11,8.70340e-14
218.22141,7.30510e-11,8.76070e-14
218.35886,7.29260e-11,8.72290e-14
218.49629,7.05570e-11,8.56740e-14
218.63374,6.91320e-11,8.44980e-14
218.77117,6.66260e-11,8.27330e-14
218.90862,6.69200e-11,8.28310e-14
219.04607,6.94890e-11,8.42870e-14
219.18352,6.99810e-11,8.45990e-14
219.32095,7.08130e-11,8.46100e-14
219.45840,7.38110e-11,8.58510e-14
219.59585,7.62650e-11,8.72620e-14
219.73330,7.64110e-11,8.73990e-14
219.87073,7.54470e-11,8.67000e-14
220.00818,7.41030e-11,8.57090e-14
220.14563,7.21670e-11,8.40930e-14
220.28308,7.27550e-11,8.42790e-14
220.42053,7.38140e-11,8.47270e-14
220.55796,7.13780e-11,8.32870e-14
220.69541,6.82670e-11,8.10450e-14
220.83286,6.69750e-11,8.01310e-14
220.97031,6.58340e-11,7.92880e-14
221.10776,6.39990e-11,7.79600e-14
221.24521,6.37500e-11,7.76870e-14
221.38267,6.42750e-11,7.81200e-14
221.52012,6.41160e-11,7.76730e-14
221.65754,6.38800e-11,7.74320e-14
221.79500,6.49620e-11,7.80770e-14
221.93245,6.64710e-11,7.87370e-14
222.06990,6.64260e-11,7.86380e-14
222.20735,6.63980e-11,7.84370e-14
222.34480,6.55220e-11,7.76980e-14
