wave,flux,fluxerr
166.89792,3.91410e-11,3.24210e-13
167.03501,3.79710e-11,3.13190e-13
167.17211,4.08050e-11,3.17240e-13
167.30920,4.26540e-11,2.20740e-13
167.44630,4.34910e-11,2.18590e-13
167.58341,4.50820e-11,2.17480e-13
167.72051,4.53230e-11,2.15260e-13
167.85762,4.59800e-11,2.10910e-13
167.99471,4.62050e-11,2.06710e-13
168.13182,4.65000e-11,2.04440e-13
168.26893,4.68440e-11,2.01720e-13
168.40604,4.68580e-11,1.98670e-13
168.54315,4.52220e-11,1.93570e-13
168.68026,4.54880e-11,1.92460e-13
168.81738,4.63000e-11,1.89320e-13
168.95449,4.69230e-11,1.86690e-13
169.09161,4.63260e-11,1.83070e-13
169.22872,4.58970e-11,1.80500e-13
169.36584,4.53880e-11,1.76870e-13
169.50297,4.45480e-11,1.73300e-13
169.64009,4.37800e-11,1.69740e-13
169.77721,4.45630e-11,1.69790e-13
169.91434,4.49680e-11,1.68600e-13
170.05146,4.42260e-11,1.65700e-13
170.18860,4.37000e-11,1.63250e-13
170.32572,4.37420e-11,1.60870e-13
170.46285,4.37150e-11,1.59250e-13
170.59999,4.38780e-11,1.59120e-13
170.73712,4.30240e-11,1.55200e-13
170.87426,4.31040e-11,1.54040e-13
171.01140,4.27500e-11,1.51720e-13
171.14854,4.28680e-11,1.50490e-13
171.28567,4.32170e-11,1.50250e-13
171.42281,4.35420e-11,1.51370e-13
171.55996,4.37060e-11,1.49190e-13
171.69711,4.33320e-11,1.47140e-13
171.83425,4.27920e-11,1.44800e-13
171.97140,4.08860e-11,1.40500e-13
172.10854,4.06340e-11,1.39410e-13
172.24569,4.08970e-11,1.39700e-13
172.38284,4.02540e-11,1.36760e-13
172.52000,3.98120e-11,1.34860e-13
172.65715,4.14170e-11,1.36530e-13
172.79430,4.36150e-11,1.39200e-13
172.93146,4.36350e-11,1.38000e-13
173.06862,4.20970e-11,1.34860e-13
173.20577,4.14670e-11,1.32720e-13
173.34294,4.11170e-11,1.31590e-13
173.48010,4.23370e-11,1.33270e-13
173.61726,4.23610e-11,1.31750e-13
173.75443,4.24570e-11,1.31550e-13
