wave,flux,fluxerr
114.05233,3.92330e-12,3.43940e-14
114.11074,3.97270e-12,3.17180e-14
114.16915,3.92430e-12,2.89320e-14
114.22756,4.01860e-12,2.66700e-14
114.28597,3.98180e-12,2.44670e-14
114.34438,3.96650e-12,2.26230e-14
114.40280,3.94880e-12,2.05340e-14
114.46119,3.95260e-12,1.91520e-14
114.51960,3.96920e-12,1.78180e-14
114.57802,3.96130e-12,1.65600e-14
114.63643,3.95690e-12,1.55950e-14
114.69484,4.02150e-12,1.49030e-14
114.75325,3.99710e-12,1.40820e-14
114.81166,3.98980e-12,1.32670e-14
114.87007,3.96970e-12,1.25600e-14
114.92848,3.96980e-12,1.20690e-14
114.98688,3.95150e-12,1.15180e-14
115.04529,3.94620e-12,1.10420e-14
115.10370,3.92140e-12,1.06750e-14
115.16211,3.91610e-12,1.02470e-14
115.22052,3.95550e-12,1.00190e-14
115.27893,3.94260e-12,9.73000e-15
115.33734,3.91600e-12,9.42780e-15
115.39574,3.90460e-12,9.14160e-15
115.45415,3.92550e-12,8.98010e-15
115.51256,3.92470e-12,8.77490e-15
115.57097,3.93560e-12,8.58000e-15
115.62938,3.91800e-12,8.42310e-15
115.68779,3.89380e-12,8.25460e-15
115.74619,3.88520e-12,8.12280e-15
115.80460,3.87540e-12,8.03780e-15
115.86301,3.86330e-12,7.85810e-15
115.92142,3.86810e-12,7.66640e-15
115.97983,3.87320e-12,7.59410e-15
116.03823,3.84940e-12,7.46920e-15
116.09664,3.84150e-12,7.39310e-15
116.15505,3.81900e-12,7.32170e-15
116.21346,3.79630e-12,7.18460e-15
116.27186,3.77920e-12,7.09800e-15
116.33027,3.81990e-12,7.05550e-15
116.38868,3.83500e-12,6.95600e-15
116.44709,3.82190e-12,6.91680e-15
116.50549,3.80370e-12,6.76680e-15
116.56390,3.78510e-12,6.74990e-15
116.62231,3.78020e-12,6.74100e-15
116.68073,3.75320e-12,6.58370e-15
116.73912,3.74510e-12,6.51900e-15
116.79753,3.73930e-12,6.45620e-15
116.85594,3.72420e-12,6.37820e-15
