wave,flux,fluxerr
114.01211,1.70020e-12,3.51960e-14
114.07053,1.55970e-12,1.28000e-14
114.12894,1.56870e-12,1.16750e-14
114.18735,1.57400e-12,1.07260e-14
114.24578,1.59400e-12,9.89230e-15
114.30419,1.59710e-12,9.08920e-15
114.36260,1.59940e-12,8.45520e-15
114.42101,1.58750e-12,7.74200e-15
114.47943,1.57400e-12,7.12130e-15
114.53784,1.57840e-12,6.66480e-15
114.59625,1.57300e-12,6.23220e-15
114.65466,1.58360e-12,5.84770e-15
114.71309,1.59040e-12,5.56990e-15
114.77150,1.58850e-12,5.30520e-15
114.82991,1.57680e-12,4.98780e-15
114.88832,1.58010e-12,4.74780e-15
114.94674,1.57180e-12,4.51670e-15
115.00515,1.56940e-12,4.34600e-15
115.06356,1.56340e-12,4.15040e-15
115.12197,1.55680e-12,4.01560e-15
115.18040,1.55530e-12,3.86670e-15
115.23881,1.54700e-12,3.73500e-15
115.29722,1.54330e-12,3.62190e-15
115.35563,1.53700e-12,3.53420e-15
115.41404,1.53570e-12,3.42870e-15
115.47246,1.53810e-12,3.34910e-15
115.53087,1.53840e-12,3.28710e-15
115.58928,1.53320e-12,3.20540e-15
115.64769,1.51510e-12,3.12890e-15
115.70610,1.50700e-12,3.07650e-15
115.76451,1.49900e-12,3.01780e-15
115.82294,1.48460e-12,2.96280e-15
115.88135,1.48030e-12,2.92720e-15
115.93976,1.47430e-12,2.85030e-15
115.99817,1.46650e-12,2.78980e-15
116.05658,1.46200e-12,2.76000e-15
116.11499,1.45020e-12,2.71810e-15
116.17340,1.43410e-12,2.67920e-15
116.23182,1.41310e-12,2.63890e-15
116.29023,1.39880e-12,2.57520e-15
116.34865,1.38690e-12,2.54790e-15
116.40706,1.38300e-12,2.50160e-15
116.46547,1.38030e-12,2.48470e-15
116.52388,1.36740e-12,2.44190e-15
116.58229,1.34620e-12,2.39510e-15
116.64070,1.32700e-12,2.38100e-15
116.69911,1.30810e-12,2.34390e-15
116.75752,1.28620e-12,2.28790e-15
116.81594,1.27290e-12,2.25640e-15
116.87435,1.26360e-12,2.23520e-15
116.93276,1.24870e-12,2.18690e-15
116.99117,1.23520e-12,2.16830e-15
117.04959,1.21630e-12,2.14100e-15
117.10800,1.19970e-12,2.09850e-15
117.16641,1.18030e-12,2.05930e-15
117.22482,1.16880e-12,2.03630e-15
117.28323,1.15280e-12,2.00480e-15
117.34164,1.13420e-12,1.96040e-15
117.40005,1.11200e-12,1.93180e-15
117.45846,1.08340e-12,1.89380e-15
117.51687,1.05670e-12,1.84640e-15
117.57528,1.03160e-12,1.80810e-15
117.63369,1.01900e-12,1.79100e-15
117.69210,1.01350e-12,1.78360e-15
117.75051,1.00360e-12,1.76020e-15
117.80892,9.89930e-13,1.73710e-15
117.86733,9.77550e-13,1.70800e-15
117.92574,9.56870e-13,1.68450e-15
117.98416,9.35460e-13,1.65400e-15
118.04257,9.13840e-13,1.62160e-15
118.10098,8.91240e-13,1.58810e-15
118.15939,8.77330e-13,1.57880e-15
118.21780,8.58500e-13,1.54300e-15
118.27621,8.37950e-13,1.51590e-15
118.33462,8.18220e-13,1.48430e-15
