wave,flux,fluxerr
114.00958,2.08770e-14,1.34830e-14
114.06796,4.24990e-15,6.20940e-15
114.12632,9.86330e-17,3.36230e-15
114.18469,2.98140e-15,4.39470e-15
114.24307,2.74530e-15,4.18390e-15
114.30143,4.10460e-15,4.05790e-15
114.35980,1.76770e-15,2.84160e-15
114.41818,4.12520e-15,3.62030e-15
114.47654,3.16140e-15,2.82730e-15
114.53491,2.15630e-15,2.25380e-15
114.59327,8.22370e-16,1.55020e-15
114.65165,-6.37100e-16,0.00000
114.71002,5.44040e-15,2.70110e-15
114.76838,1.60300e-15,1.54490e-15
114.82676,4.56890e-16,1.01420e-15
114.88512,1.25840e-15,1.24560e-15
114.94349,1.13080e-15,1.14910e-15
115.00186,2.59980e-15,1.52990e-15
115.06023,9.23170e-16,9.82380e-16
115.11859,2.24720e-16,6.38060e-16
115.17697,1.81290e-16,6.21450e-16
115.23533,1.22130e-15,9.33960e-16
115.29370,8.95290e-17,4.98620e-16
115.35206,5.72400e-16,6.79620e-16
115.41042,7.03540e-17,4.73140e-16
115.46880,-3.75990e-16,0.00000
115.52716,9.16490e-16,7.52560e-16
115.58553,-3.79920e-16,0.00000
115.64390,7.88180e-16,6.73450e-16
115.70226,3.92460e-16,5.44570e-16
115.76063,-1.22420e-16,3.13420e-16
115.81899,5.92850e-16,5.89650e-16
115.87736,3.48130e-16,5.15740e-16
115.93573,-2.46260e-17,3.59630e-16
115.99409,9.21340e-16,6.43530e-16
116.05245,2.93800e-16,4.68920e-16
116.11082,2.49000e-16,4.38860e-16
116.16919,5.28250e-16,5.18730e-16
116.22755,5.49110e-16,5.34990e-16
116.28591,8.20960e-16,5.98730e-16
116.34427,5.32040e-16,4.94140e-16
116.40265,4.90510e-16,5.04620e-16
116.46101,4.32190e-16,4.59440e-16
116.51937,8.49080e-16,5.88450e-16
116.57773,6.71250e-16,5.20040e-16
116.63610,-4.74030e-17,2.84540e-16
116.69446,9.33090e-16,5.89530e-16
116.75283,-1.33130e-16,2.45090e-16
116.81119,-1.38680e-16,2.35740e-16
116.86956,3.43230e-17,3.17520e-16
116.92792,3.23980e-16,4.05490e-16
116.98628,7.59800e-17,3.16690e-16
117.04464,8.78770e-17,3.31100e-16
117.10300,-1.54710e-16,2.22810e-16
117.16136,4.99200e-16,4.36670e-16
117.21973,-1.45940e-16,2.26650e-16
117.27809,4.92880e-16,4.34120e-16
117.33645,1.06680e-15,5.44480e-16
117.39481,1.36300e-15,5.86750e-16
117.45317,1.10600e-15,5.59050e-16
117.51154,1.03600e-15,5.31250e-16
117.56990,1.50870e-15,5.93390e-16
117.62826,2.21980e-15,6.98780e-16
117.68662,1.26210e-15,5.56350e-16
117.74498,1.52920e-15,6.01020e-16
117.80334,1.33440e-15,5.58530e-16
117.86171,1.44530e-15,5.74470e-16
117.92007,7.00900e-16,4.34950e-16
117.97842,1.27050e-15,5.46910e-16
118.03678,3.42750e-16,3.53580e-16
118.09514,1.18960e-15,5.18470e-16
118.15350,4.59830e-16,3.67160e-16
118.21187,8.57250e-16,4.63830e-16
118.27023,9.32020e-16,4.55880e-16
118.32858,9.43030e-16,4.62580e-16
118.38694,4.28020e-16,3.50710e-16
118.44530,5.81130e-16,3.81810e-16
118.50366,1.47020e-15,5.34020e-16
118.56202,4.38480e-16,4.37690e-16
118.62037,-1.69270e-16,3.29630e-16
118.67874,1.02970e-15,6.18110e-16
118.73710,2.14380e-16,4.16800e-16
118.79545,2.78650e-15,7.55960e-16
118.85381,3.01000e-16,4.86020e-16
118.91217,-1.34090e-16,5.35160e-16
118.97052,-4.56340e-16,6.03200e-16
119.02888,-9.63260e-17,5.63540e-16
119.08724,3.05650e-16,8.09430e-16
119.14559,-1.06500e-15,1.12140e-15
119.20396,4.44220e-15,2.00830e-15
119.26232,1.45460e-15,2.25090e-15
119.32067,1.64260e-15,2.29130e-15
119.37903,5.85750e-15,2.41950e-15
119.43738,3.51260e-16,2.31960e-15
119.49574,-9.10910e-16,2.31660e-15
119.55409,5.01540e-16,2.28020e-15
119.61245,-2.99240e-15,2.25280e-15
119.67080,1.64220e-17,2.21280e-15
119.72916,-3.00180e-15,2.17040e-15
119.78751,3.70100e-16,2.19940e-15
119.84587,-3.14740e-15,2.20710e-15
119.90422,-2.78270e-16,2.23210e-15
119.96259,1.99900e-15,2.22980e-15
120.02094,-6.36570e-16,2.15880e-15
120.07930,-5.06130e-16,2.12870e-15
120.13765,2.79640e-15,2.13350e-15
120.19601,2.23810e-15,2.12650e-15
120.25436,-4.69690e-15,2.01580e-15
120.31271,-6.47020e-17,1.96220e-15
120.37107,1.99660e-15,2.11950e-15
120.42942,2.27350e-15,2.02120e-15
120.48777,5.20600e-16,2.00750e-15
120.54613,4.26250e-15,2.10080e-15
120.60448,1.15150e-15,2.25740e-15
120.66283,3.40750e-15,2.02910e-15
120.72119,-2.08000e-16,2.02230e-15
120.77954,-2.43400e-16,1.87720e-15
120.83789,-5.74170e-16,1.93080e-15
120.89624,-2.72700e-16,1.84450e-15
120.95460,4.64720e-16,1.95220e-15
121.01295,4.24610e-15,1.90300e-15
121.07130,1.20050e-15,1.93620e-15
121.12965,4.98960e-16,1.78460e-15
121.18801,-1.87120e-15,1.77370e-15
