wave,flux,fluxerr
114.02686,-8.02640e-16,0.00000
114.08523,-6.38090e-16,0.00000
114.14360,3.34540e-15,3.89730e-15
114.20198,-4.24830e-16,0.00000
114.26034,2.37720e-16,1.32560e-15
114.31871,-3.09060e-16,0.00000
114.37709,-2.74730e-16,0.00000
114.43546,-2.40490e-16,0.00000
114.49384,-2.02230e-16,0.00000
114.55221,-1.76910e-16,0.00000
114.61057,-1.60170e-16,0.00000
114.66895,-1.37930e-16,0.00000
114.72732,-1.26240e-16,0.00000
114.78569,6.49870e-16,7.70650e-16
114.84407,5.32560e-16,6.41400e-16
114.90243,-9.98130e-17,0.00000
114.96080,-9.42440e-17,0.00000
115.01918,3.16810e-16,4.56240e-16
115.07754,3.99830e-16,4.85930e-16
115.13591,-7.62600e-17,0.00000
115.19429,-7.97330e-17,0.00000
115.25265,2.88780e-16,3.58990e-16
115.31102,-7.18660e-17,0.00000
115.36940,2.65190e-16,3.32700e-16
115.42776,5.79850e-16,4.59250e-16
115.48613,-6.38530e-17,0.00000
115.54451,2.29140e-16,2.95040e-16
115.60287,-6.29070e-17,0.00000
115.66124,2.06890e-16,2.70380e-16
115.71960,2.40400e-16,2.76170e-16
115.77798,-6.30400e-17,0.00000
115.83634,6.44210e-16,4.06970e-16
115.89471,-6.26800e-17,0.00000
115.95308,-6.15520e-17,0.00000
116.01145,-5.84760e-17,0.00000
116.06981,1.56750e-16,2.15610e-16
116.12819,-5.91590e-17,0.00000
116.18655,-5.86700e-17,0.00000
116.24492,-5.95290e-17,0.00000
116.30328,5.45490e-16,3.49170e-16
116.36166,1.73510e-16,2.11430e-16
116.42002,3.28720e-16,2.75370e-16
116.47839,1.16190e-16,1.72200e-16
116.53676,1.30860e-16,1.91190e-16
116.59512,1.14090e-16,1.71180e-16
116.65349,6.37410e-16,3.47800e-16
116.71185,-5.97370e-17,0.00000
116.77021,2.77260e-16,2.37750e-16
116.82859,1.01720e-16,1.59340e-16
116.88695,2.63540e-16,2.28000e-16
116.94531,-5.78650e-17,0.00000
117.00369,1.03200e-16,1.60580e-16
117.06205,9.74130e-17,1.55990e-16
117.12041,-5.79680e-17,0.00000
117.17878,8.95180e-17,1.46840e-16
117.23715,2.51730e-16,2.09040e-16
117.29551,3.76160e-16,2.50410e-16
117.35387,8.14890e-17,1.38440e-16
117.41223,8.20640e-17,1.38280e-16
117.47061,2.04860e-16,1.85260e-16
117.52897,6.11410e-16,2.98990e-16
117.58733,7.58250e-17,1.31820e-16
117.64569,-5.58540e-17,0.00000
117.70405,7.42780e-17,1.30570e-16
117.76241,3.45410e-16,2.25630e-16
117.82079,3.21710e-16,2.18240e-16
117.87915,-5.66920e-17,0.00000
117.93751,6.32110e-17,1.18900e-16
117.99587,1.85790e-16,1.71210e-16
118.05424,4.32290e-16,2.38840e-16
118.11260,5.75900e-17,1.13260e-16
118.17096,1.76700e-16,1.64280e-16
118.22932,1.81840e-16,1.69010e-16
118.28768,5.58090e-17,1.10780e-16
118.34604,1.77770e-16,1.65760e-16
118.40441,6.77880e-16,2.80680e-16
118.46277,3.82230e-16,2.18420e-16
118.52113,2.67240e-16,1.86110e-16
118.57949,2.05060e-16,1.50150e-16
118.63785,9.91570e-17,1.05500e-16
118.69622,6.69140e-17,1.25830e-16
118.75458,2.87500e-16,1.69580e-16
118.81294,1.56900e-16,1.99800e-16
118.87130,-1.45620e-16,1.46530e-16
118.92966,2.17230e-16,2.24260e-16
118.98801,1.66580e-16,1.37290e-16
119.04637,1.82420e-16,2.13640e-16
119.10474,1.58860e-16,1.82000e-16
119.16310,-1.80560e-16,1.95350e-16
119.22146,5.57070e-16,4.36360e-16
119.27982,5.80100e-16,5.86360e-16
119.33817,-1.13370e-16,5.44760e-16
119.39653,-1.76090e-16,5.04990e-16
119.45490,1.61530e-16,4.49370e-16
119.51326,2.00630e-16,5.04180e-16
119.57161,3.76530e-16,5.02990e-16
119.62997,-3.87230e-16,4.62140e-16
119.68833,-3.60210e-18,4.77090e-16
119.74669,5.54170e-16,4.71140e-16
119.80504,1.12460e-16,4.73340e-16
119.86340,7.64910e-17,5.26590e-16
119.92177,3.66000e-16,4.93510e-16
119.98011,-1.73570e-16,4.54290e-16
120.03848,1.54040e-15,5.35140e-16
120.09684,-4.45030e-16,4.58950e-16
120.15519,2.49310e-16,4.53920e-16
120.21355,4.40770e-17,4.21920e-16
120.27190,6.91450e-16,5.87600e-16
120.33026,2.75030e-16,5.08740e-16
120.38862,-8.18110e-16,5.16430e-16
120.44697,1.11400e-16,4.79370e-16
120.50533,-3.08270e-16,4.65010e-16
120.56368,2.33400e-16,4.91800e-16
120.62205,4.28960e-16,5.12100e-16
120.68040,2.44030e-16,4.66850e-16
120.73876,8.04430e-17,4.27400e-16
120.79711,-1.30920e-16,3.92080e-16
120.85547,5.13230e-17,4.18150e-16
120.91382,-8.53850e-16,3.92330e-16
120.97218,1.06900e-16,3.91940e-16
121.03053,4.96430e-17,3.98660e-16
121.08889,-4.59350e-16,3.78360e-16
121.14724,-3.75370e-16,3.48860e-16
121.20559,5.10770e-16,4.41160e-16
121.26395,8.93440e-17,3.74150e-16
121.32230,-4.70940e-16,3.48710e-16
121.38066,1.95060e-17,3.36640e-16
121.43901,3.39140e-16,4.26160e-16
121.49736,6.16760e-16,4.34380e-16
121.55573,6.56010e-16,3.75180e-16
121.61407,-6.19050e-16,3.74530e-16
