wave,flux,fluxerr
290.06897,1.40790e-15,1.79380e-15
290.34346,3.28470e-16,9.24770e-16
290.61794,-1.42620e-16,8.19410e-16
290.89246,-1.45350e-16,9.82630e-16
291.16694,-2.01260e-15,8.33040e-16
291.44143,-7.73130e-16,5.54380e-16
291.71594,6.72250e-16,5.11570e-16
291.99045,1.84590e-15,5.65440e-16
292.26494,6.89160e-16,4.91380e-16
292.53945,2.22220e-15,4.49940e-16
292.81396,2.35150e-14,4.04840e-16
293.08848,1.21230e-15,4.01670e-16
293.36299,8.90560e-16,7.27800e-16
293.63752,6.36450e-16,1.21100e-15
293.91204,3.86760e-16,3.29240e-16
294.18655,2.24060e-16,1.75290e-16
294.46108,2.39430e-16,1.67680e-16
294.73560,3.89500e-16,2.08790e-16
295.01013,2.84230e-17,1.56270e-16
295.28467,2.81430e-16,1.12140e-16
295.55918,2.30970e-16,1.04950e-16
295.83372,5.45500e-16,1.45190e-16
296.10825,4.07860e-16,1.09980e-16
296.38279,1.83080e-16,8.33210e-17
296.65735,7.84170e-16,8.12260e-17
296.93188,1.09250e-16,7.28180e-17
297.20642,3.30260e-16,7.25450e-17
297.48096,3.47980e-16,7.16010e-17
297.75552,1.91900e-16,7.12030e-17
298.03008,2.26040e-16,6.83860e-17
298.30461,2.71060e-16,7.04910e-17
298.57917,1.74330e-16,8.20400e-17
298.85374,1.66880e-16,7.00120e-17
299.12830,1.62930e-16,5.98990e-17
299.40286,2.54000e-17,5.92540e-17
299.67742,1.59540e-16,5.73960e-17
299.95198,2.17020e-16,5.67030e-17
300.22654,1.28180e-16,7.05070e-17
300.50112,2.83630e-16,1.18930e-16
300.77568,2.16620e-16,8.10410e-17
301.05027,1.53710e-16,5.61820e-17
301.32483,2.79420e-16,5.57560e-17
301.59941,1.04010e-16,8.30890e-17
301.87397,1.98130e-16,8.17340e-17
302.14856,1.67200e-16,4.97970e-17
302.42314,1.46630e-16,4.85560e-17
302.69773,2.34740e-16,5.49160e-17
302.97231,3.23120e-16,5.22700e-17
303.24690,2.57190e-16,5.11770e-17
303.52151,4.24150e-16,5.02000e-17
303.79609,2.39190e-16,5.64430e-17
304.07068,2.67070e-16,5.78340e-17
304.34529,3.12990e-16,4.90230e-17
304.61987,3.44310e-16,4.58770e-17
304.89448,3.32920e-16,4.75580e-17
305.16909,2.80300e-16,4.64700e-17
305.44368,4.10280e-16,4.45660e-17
305.71829,3.19360e-16,5.14500e-17
305.99290,2.71390e-16,4.58120e-17
306.26750,3.00500e-16,4.15730e-17
306.54211,3.50830e-16,4.15010e-17
306.81672,2.45130e-16,3.99290e-17
307.09136,3.72340e-16,4.02020e-17
307.36597,4.26800e-16,4.32420e-17
307.64058,4.12660e-16,4.42450e-17
307.91521,4.34670e-16,6.03260e-17
308.18982,3.84900e-16,6.67530e-17
308.46445,3.95720e-16,4.72330e-17
308.73906,4.11470e-16,4.47070e-17
309.01370,3.25870e-16,4.13520e-17
309.28833,3.07620e-16,4.54760e-17
309.56296,2.41450e-16,4.74750e-17
309.83760,2.19150e-16,4.12540e-17
310.11223,2.69470e-16,3.62130e-17
310.38687,3.72090e-16,3.99250e-17
310.66150,4.45830e-16,4.11090e-17
310.93616,5.57450e-16,4.09610e-17
311.21079,5.87620e-16,4.12110e-17
311.48542,5.32530e-16,4.99230e-17
311.76008,4.79980e-16,4.85670e-17
312.03472,4.35590e-16,3.68880e-17
312.30937,3.65460e-16,3.49110e-17
312.58403,3.78640e-16,3.72870e-17
312.85867,4.53760e-16,4.01930e-17
313.13333,4.72770e-16,3.80770e-17
313.40798,5.22530e-16,3.85880e-17
313.68264,5.99630e-16,3.91620e-17
313.95730,6.71430e-16,5.74810e-17
314.23196,6.12380e-16,8.24680e-17
314.50662,4.95770e-16,5.00820e-17
314.78130,4.94160e-16,4.75470e-17
315.05596,4.67530e-16,4.36160e-17
315.33062,4.42360e-16,4.10630e-17
315.60530,4.49670e-16,3.82960e-17
315.87996,4.42400e-16,4.08750e-17
316.15464,5.16090e-16,5.21510e-17
316.42930,6.23110e-16,4.30440e-17
316.70398,5.11220e-16,3.65630e-17
316.97866,6.42940e-16,3.72320e-17
317.25334,7.09480e-16,3.82490e-17
317.52803,7.32010e-16,3.77880e-17
317.80271,7.74000e-16,4.04360e-17
318.07739,6.64080e-16,3.73860e-17
318.35208,4.84830e-16,3.32220e-17
