wave,flux,fluxerr
290.01528,-5.13940e-15,1.66330e-15
290.28977,2.05090e-15,9.00860e-16
290.56428,3.13280e-15,8.42300e-16
290.83877,3.48790e-16,8.49350e-16
291.11326,2.77300e-15,1.48570e-15
291.38777,2.04630e-15,6.14990e-16
291.66226,3.76230e-16,5.49980e-16
291.93677,8.54680e-16,4.96150e-16
292.21128,1.19040e-15,5.23680e-16
292.48579,7.33980e-16,4.06520e-16
292.76030,1.23770e-15,3.95350e-16
293.03481,1.74300e-15,3.49080e-16
293.30933,2.09750e-15,5.45850e-16
293.58384,2.11410e-15,1.06530e-15
293.85835,1.36060e-15,7.37790e-16
294.13289,1.16790e-15,1.91730e-16
294.40740,1.10010e-15,1.71730e-16
294.68193,1.36940e-15,1.70780e-16
294.95645,1.43470e-15,1.95170e-16
295.23098,1.32040e-15,1.34160e-16
295.50552,1.18620e-15,1.17490e-16
295.78005,1.34830e-15,1.20890e-16
296.05459,1.39430e-15,1.45220e-16
296.32913,1.59790e-15,9.79130e-17
296.60366,1.11990e-15,9.29630e-17
296.87820,7.92150e-16,1.08090e-16
297.15276,6.86100e-16,7.55040e-17
297.42729,8.50880e-16,7.36860e-17
297.70183,1.11970e-15,7.54910e-17
297.97639,1.46670e-15,8.26940e-17
298.25095,1.06640e-15,8.12040e-17
298.52549,9.69690e-16,8.44440e-17
298.80005,1.04140e-15,8.99370e-17
299.07461,1.12840e-15,7.72260e-17
299.34917,1.09310e-15,8.42480e-17
299.62373,9.17220e-16,7.45990e-17
299.89832,9.15410e-16,6.64820e-17
300.17288,8.81310e-16,7.27070e-17
300.44744,8.13490e-16,9.86800e-17
300.72202,1.06550e-15,1.57110e-16
300.99658,7.06930e-16,5.99240e-17
301.27117,1.00180e-15,6.60260e-17
301.54573,8.80130e-16,7.40300e-17
301.82031,8.95750e-16,1.51650e-16
302.09490,7.07510e-16,5.84380e-17
302.36948,7.92750e-16,5.74300e-17
302.64407,9.83700e-16,6.30400e-17
302.91865,1.33750e-15,7.90260e-17
303.19324,1.55090e-15,6.23400e-17
303.46782,1.77510e-15,6.75130e-17
303.74241,1.60490e-15,7.19830e-17
304.01702,1.26770e-15,7.75950e-17
304.29160,1.48870e-15,7.50820e-17
304.56621,1.54050e-15,6.00900e-17
304.84080,1.52490e-15,5.67480e-17
305.11541,1.66740e-15,6.24320e-17
305.39001,1.74740e-15,8.66110e-17
305.66462,1.69870e-15,5.79810e-17
305.93923,1.32600e-15,6.32300e-17
306.21384,1.27140e-15,5.15230e-17
306.48845,1.39700e-15,5.39310e-17
306.76306,1.33010e-15,5.10280e-17
307.03767,1.50970e-15,5.13320e-17
307.31228,1.80900e-15,5.41680e-17
307.58691,1.78790e-15,5.61200e-17
307.86152,1.72650e-15,6.11950e-17
308.13616,1.82870e-15,6.90210e-17
308.41077,1.60160e-15,6.01640e-17
308.68540,1.88090e-15,5.52730e-17
308.96003,1.87550e-15,6.12000e-17
309.23467,1.55340e-15,5.28860e-17
309.50930,1.44770e-15,6.31620e-17
309.78394,1.51070e-15,6.00860e-17
310.05857,1.41510e-15,4.72310e-17
310.33320,1.40800e-15,4.86490e-17
310.60784,1.93300e-15,5.65940e-17
310.88247,2.38240e-15,6.60770e-17
311.15713,2.70740e-15,1.22140e-16
311.43176,2.59210e-15,5.91010e-17
311.70640,2.38010e-15,6.42140e-17
311.98105,2.11640e-15,5.32160e-17
312.25571,1.92870e-15,5.40360e-17
312.53035,2.02100e-15,7.67800e-17
312.80500,2.05500e-15,5.35160e-17
313.07966,2.08980e-15,5.43540e-17
313.35432,2.10040e-15,5.12350e-17
313.62898,2.11170e-15,5.36380e-17
313.90364,2.30800e-15,5.61060e-17
314.17830,2.19680e-15,5.73600e-17
314.45295,2.00660e-15,5.66760e-17
314.72761,1.83200e-15,5.09160e-17
315.00229,2.19600e-15,6.26070e-17
315.27695,2.34320e-15,5.36520e-17
315.55164,2.48970e-15,5.58520e-17
315.82629,2.22970e-15,5.33410e-17
316.10098,1.89620e-15,6.59890e-17
316.37563,1.79770e-15,9.84440e-17
316.65032,2.06730e-15,4.84250e-17
316.92500,2.26430e-15,5.08690e-17
317.19968,2.54300e-15,5.47490e-17
317.47437,2.85510e-15,5.47390e-17
317.74905,2.98010e-15,5.70490e-17
318.02373,2.57110e-15,5.75800e-17
318.29841,2.15460e-15,5.42800e-17
318.57310,2.09370e-15,4.82680e-17
318.84778,2.36460e-15,5.74650e-17
319.12249,2.55050e-15,4.97120e-17
319.39717,2.18730e-15,4.75500e-17
319.67185,2.27470e-15,5.05380e-17
319.94656,2.57150e-15,5.21200e-17
320.22124,3.30850e-15,5.70790e-17
320.49595,2.98140e-15,5.37790e-17
320.77065,2.92250e-15,5.54580e-17
321.04534,2.78590e-15,5.79050e-17
321.32004,2.20330e-15,8.03770e-17
321.59475,2.18720e-15,4.80740e-17
321.86946,2.36880e-15,5.61240e-17
322.14417,2.56840e-15,5.03540e-17
322.41887,2.53550e-15,4.93040e-17
322.69358,2.28500e-15,4.75820e-17
322.96831,1.96470e-15,4.32430e-17
323.24302,1.93090e-15,4.51560e-17
323.51772,2.35040e-15,6.51420e-17
323.79243,2.17900e-15,4.86400e-17
324.06716,2.41280e-15,6.10120e-17
324.34187,2.56860e-15,4.78110e-17
324.61660,2.55790e-15,4.60270e-17
324.89131,2.49770e-15,4.79710e-17
325.16604,2.62480e-15,4.78620e-17
325.44077,2.76550e-15,4.84630e-17
325.71550,3.29550e-15,5.76320e-17
325.99023,3.67620e-15,5.22720e-17
326.26494,3.74430e-15,5.27300e-17
326.53967,3.61730e-15,5.42850e-17
326.81440,3.52890e-15,5.45560e-17
327.08914,3.66970e-15,5.49560e-17
327.36389,3.66400e-15,5.93620e-17
327.63862,3.71220e-15,5.27220e-17
327.91335,3.66530e-15,5.17050e-17
328.18809,3.52780e-15,5.20260e-17
328.46284,3.49640e-15,5.22860e-17
328.73757,3.44720e-15,5.15160e-17
329.01230,3.37840e-15,4.91170e-17
329.28706,3.87420e-15,5.17590e-17
329.56182,4.29870e-15,5.53650e-17
329.83655,4.40440e-15,5.51990e-17
330.11130,4.43030e-15,5.53640e-17
330.38606,4.53180e-15,5.79400e-17
330.66079,3.88370e-15,5.63770e-17
330.93555,3.46810e-15,5.00700e-17
331.21030,3.72370e-15,5.06070e-17
331.48506,3.61740e-15,5.02410e-17
331.75981,3.32340e-15,4.81620e-17
332.03457,3.69280e-15,4.99810e-17
332.30933,3.74400e-15,5.08140e-17
332.58408,3.65170e-15,5.27060e-17
332.85884,3.89620e-15,5.13720e-17
333.13362,3.66520e-15,4.99190e-17
333.40837,3.70790e-15,4.95380e-17
333.68313,3.41950e-15,4.76320e-17
333.95791,3.28350e-15,4.64180e-17
334.23267,3.49440e-15,4.76460e-17
334.50745,3.61730e-15,4.91640e-17
334.78220,3.82610e-15,6.03700e-17
335.05698,3.83200e-15,1.19230e-16
335.33176,3.71550e-15,4.99240e-17
335.60652,3.98080e-15,5.94190e-17
335.88130,3.80630e-15,5.14000e-17
336.15608,3.01240e-15,4.53890e-17
