wave,flux,fluxerr
166.74657,1.68340e-10,1.47230e-12
166.88362,1.44200e-10,1.35100e-12
167.02068,1.36850e-10,1.29440e-12
167.15774,1.54430e-10,1.33700e-12
167.29480,1.60850e-10,9.27530e-13
167.43186,1.71300e-10,9.31100e-13
167.56892,1.78520e-10,9.29320e-13
167.70598,1.85450e-10,9.23720e-13
167.84304,1.82750e-10,9.09340e-13
167.98011,1.83380e-10,8.92970e-13
168.11718,1.87130e-10,8.79360e-13
168.25425,1.87660e-10,8.64960e-13
168.39132,1.86630e-10,8.47480e-13
168.52839,1.83500e-10,8.31310e-13
168.66547,1.82450e-10,8.11110e-13
168.80254,1.90250e-10,8.14180e-13
168.93962,1.88210e-10,7.99860e-13
169.07670,1.86530e-10,7.86350e-13
169.21378,1.86980e-10,7.76380e-13
169.35085,1.83250e-10,7.58580e-13
169.48794,1.81770e-10,7.44310e-13
169.62502,1.80650e-10,7.33360e-13
169.76211,1.83650e-10,7.30090e-13
169.89919,1.85060e-10,7.27070e-13
170.03628,1.80060e-10,7.09420e-13
170.17338,1.77480e-10,6.96060e-13
170.31046,1.78090e-10,6.89610e-13
170.44756,1.78740e-10,6.84920e-13
170.58464,1.77590e-10,6.77020e-13
170.72174,1.75610e-10,6.65430e-13
170.85884,1.73380e-10,6.55400e-13
170.99594,1.74540e-10,6.53270e-13
171.13303,1.71850e-10,6.40640e-13
171.27014,1.75240e-10,6.43130e-13
171.40724,1.77390e-10,6.41450e-13
171.54435,1.74310e-10,6.31180e-13
171.68145,1.75680e-10,6.27240e-13
171.81855,1.70590e-10,6.12370e-13
171.95566,1.62190e-10,5.90650e-13
172.09277,1.61050e-10,5.91450e-13
172.22988,1.61710e-10,5.85740e-13
172.36699,1.59520e-10,5.76650e-13
172.50410,1.56220e-10,5.66510e-13
172.64122,1.64270e-10,5.76950e-13
172.77833,1.72590e-10,5.85470e-13
172.91545,1.72170e-10,5.82260e-13
173.05258,1.66640e-10,5.67270e-13
173.18969,1.65050e-10,5.61870e-13
173.32681,1.65300e-10,5.58110e-13
173.46393,1.67440e-10,5.58170e-13
173.60106,1.70360e-10,5.59020e-13
173.73818,1.70920e-10,5.58170e-13
173.87531,1.77450e-10,5.64360e-13
174.01244,1.75710e-10,5.57140e-13
174.14956,1.71090e-10,5.46710e-13
