wave,flux,fluxerr
114.86000,3.17994e-09,1.39347e-10
114.98000,3.30890e-09,1.61028e-10
115.10000,3.10566e-09,1.38715e-10
115.22000,2.96700e-09,1.02985e-10
115.34000,3.00088e-09,1.29634e-10
115.46000,2.99124e-09,1.21507e-10
115.58000,3.02658e-09,9.79235e-11
115.70000,3.07949e-09,9.86773e-11
115.82000,3.00350e-09,9.22377e-11
115.92000,3.02023e-09,9.28858e-11
116.04000,3.05519e-09,8.48636e-11
116.16000,3.11737e-09,8.09104e-11
116.28000,3.04041e-09,7.82372e-11
116.40000,2.93447e-09,6.50777e-11
116.52000,2.83267e-09,5.87916e-11
116.64000,2.76181e-09,6.46857e-11
116.76000,2.72633e-09,6.37334e-11
116.88000,2.65921e-09,5.28279e-11
117.00000,2.55607e-09,6.04348e-11
117.10000,2.37314e-09,5.02035e-11
117.22000,2.22439e-09,4.44863e-11
117.34000,2.10053e-09,5.91862e-11
117.46000,1.96565e-09,5.73951e-11
117.58000,2.00971e-09,5.34120e-11
117.70000,2.16057e-09,7.68178e-11
117.82000,2.38417e-09,7.79864e-11
117.94000,2.61150e-09,7.57889e-11
118.06000,2.69032e-09,7.15003e-11
118.16000,2.74696e-09,5.64024e-11
118.28000,2.71954e-09,4.81040e-11
118.40000,2.77759e-09,5.30811e-11
118.52000,2.80698e-09,6.99851e-11
118.64000,2.73618e-09,7.40569e-11
118.76000,2.71919e-09,6.35665e-11
118.88000,2.67686e-09,4.59216e-11
119.00000,2.59216e-09,4.42381e-11
119.12000,2.60107e-09,4.26561e-11
119.24000,2.60475e-09,3.48445e-11
119.34000,2.51413e-09,3.73197e-11
119.46000,2.44755e-09,3.45910e-11
119.58000,2.39670e-09,3.19550e-11
119.70000,2.37765e-09,3.73014e-11
119.82000,2.35374e-09,4.44581e-11
119.94000,2.29092e-09,4.87694e-11
120.06000,2.31119e-09,6.20405e-11
120.18000,2.38559e-09,5.37535e-11
120.30000,2.38982e-09,7.06301e-11
120.42000,2.35876e-09,5.46165e-11
120.52000,2.31064e-09,3.54286e-11
120.64000,2.27732e-09,3.29947e-11
120.76000,2.26775e-09,5.52305e-11
120.88000,2.18330e-09,4.77399e-11
121.00000,1.97654e-09,4.71717e-11
121.12000,1.70171e-09,5.91418e-11
121.24000,1.36429e-09,6.76059e-11
121.36000,1.12710e-09,6.18130e-11
121.48000,9.51958e-10,3.25347e-11
121.60000,1.03082e-09,6.00145e-11
121.70000,1.37611e-09,1.28983e-10
121.82000,1.79056e-09,1.46185e-10
121.94000,2.21684e-09,1.29952e-10
122.06000,2.57903e-09,1.21497e-10
122.18000,2.77257e-09,1.22662e-10
122.30000,2.79283e-09,8.42072e-11
122.42000,2.88830e-09,6.71503e-11
122.54000,2.86748e-09,6.47133e-11
122.66000,2.77600e-09,4.18498e-11
122.78000,2.71949e-09,5.37441e-11
122.88000,2.72115e-09,7.14980e-11
123.00000,2.80777e-09,8.00938e-11
123.12000,2.80692e-09,8.32929e-11
123.24000,2.81877e-09,6.64236e-11
123.36000,2.76843e-09,7.28675e-11
123.48000,2.53038e-09,4.50386e-11
123.60000,2.56440e-09,4.56813e-11
123.72000,2.54599e-09,7.38079e-11
123.84000,2.40573e-09,7.01164e-11
123.96000,2.48302e-09,5.52724e-11
124.06000,2.57686e-09,7.17652e-11
124.18000,2.53123e-09,6.60877e-11
124.30000,2.60356e-09,5.32856e-11
124.42000,2.60933e-09,5.62145e-11
124.54000,2.51164e-09,5.35946e-11
124.66000,2.47042e-09,5.75304e-11
124.78000,2.51663e-09,5.86064e-11
124.90000,2.56976e-09,4.10151e-11
125.02000,2.52821e-09,4.54900e-11
125.14000,2.50646e-09,5.60255e-11
125.24000,2.44455e-09,4.18036e-11
125.36000,2.45150e-09,5.41955e-11
125.48000,2.45637e-09,4.68760e-11
125.60000,2.49609e-09,5.04796e-11
125.72000,2.52975e-09,4.11285e-11
125.84000,2.48145e-09,3.78837e-11
125.96000,2.52793e-09,6.47815e-11
126.08000,2.70220e-09,7.87292e-11
126.20000,2.70259e-09,5.55897e-11
126.32000,2.76483e-09,4.87862e-11
126.42000,2.85294e-09,6.23409e-11
126.54000,2.71916e-09,4.18434e-11
126.66000,2.71819e-09,4.18285e-11
126.78000,2.77109e-09,6.45323e-11
126.90000,2.72397e-09,5.74268e-11
127.02000,2.72572e-09,4.99138e-11
127.14000,2.70741e-09,4.66621e-11
127.26000,2.73000e-09,5.64336e-11
127.38000,2.85641e-09,4.46192e-11
127.50000,2.90287e-09,8.23769e-11
127.60000,2.77469e-09,4.39206e-11
127.72000,2.73534e-09,4.81402e-11
127.84000,2.78289e-09,4.46301e-11
127.96000,2.81754e-09,4.76798e-11
128.08000,2.76746e-09,6.06659e-11
128.20000,2.73947e-09,6.17639e-11
128.32000,2.66172e-09,4.87850e-11
128.44000,2.67696e-09,4.18162e-11
128.56000,2.69739e-09,4.21353e-11
128.68000,2.64515e-09,4.07045e-11
128.78000,2.66487e-09,5.49506e-11
128.90000,2.73695e-09,4.21171e-11
129.02000,2.77336e-09,5.53384e-11
129.14000,2.78005e-09,6.00350e-11
129.26000,2.73090e-09,6.70984e-11
129.38000,2.64783e-09,4.07457e-11
129.50000,2.58686e-09,3.98074e-11
129.62000,2.52193e-09,5.07094e-11
129.74000,2.48413e-09,5.03318e-11
129.86000,2.52280e-09,7.07849e-11
129.96000,2.46459e-09,4.28564e-11
130.08000,2.47226e-09,5.68124e-11
130.20000,2.40640e-09,6.34457e-11
130.32000,2.49092e-09,5.72411e-11
130.44000,2.47462e-09,5.12815e-11
130.56000,2.48670e-09,5.16592e-11
130.68000,2.62858e-09,5.35154e-11
130.80000,2.63899e-09,5.02921e-11
130.92000,2.64950e-09,5.10443e-11
131.04000,2.72522e-09,4.55527e-11
131.14000,2.75678e-09,6.49775e-11
131.26000,2.67692e-09,4.62981e-11
131.38000,2.63776e-09,5.41051e-11
131.50000,2.62105e-09,6.63913e-11
131.62000,2.69754e-09,4.20054e-11
131.74000,2.65328e-09,4.19719e-11
131.86000,2.64799e-09,4.32844e-11
131.98000,2.64787e-09,5.08749e-11
132.10000,2.53035e-09,4.08277e-11
132.22000,2.52911e-09,5.21432e-11
132.32000,2.56444e-09,4.16483e-11
132.44000,2.57678e-09,4.07618e-11
132.56000,2.58402e-09,4.08762e-11
132.68000,2.58405e-09,4.08767e-11
132.80000,2.53316e-09,3.94458e-11
132.92000,2.61233e-09,5.03282e-11
133.04000,2.61251e-09,4.97874e-11
133.16000,2.52283e-09,6.56808e-11
133.28000,2.49045e-09,6.70423e-11
133.40000,2.33844e-09,5.54163e-11
133.50000,2.22520e-09,4.24603e-11
133.62000,2.27952e-09,4.91092e-11
133.74000,2.36459e-09,5.76130e-11
133.86000,2.40142e-09,5.13658e-11
133.98000,2.39185e-09,5.17747e-11
134.10000,2.38120e-09,4.44599e-11
134.22000,2.42252e-09,4.52312e-11
134.34000,2.38744e-09,6.04964e-11
134.46000,2.31923e-09,7.35196e-11
134.58000,2.36172e-09,4.79726e-11
134.68000,2.38548e-09,3.67086e-11
134.80000,2.44855e-09,6.45568e-11
134.92000,2.39390e-09,5.12050e-11
