wave,flux,fluxerr
199.91127,9.73650e-17,4.76570e-17
200.06587,1.08450e-16,4.86910e-17
200.22048,6.35380e-17,4.46850e-17
200.37509,1.33610e-16,5.02260e-17
200.52970,1.33500e-16,5.00340e-17
200.68430,1.00000e-18,3.79600e-17
200.83892,8.71460e-17,4.60130e-17
200.99352,9.78100e-17,4.61850e-17
201.14813,1.16180e-16,4.80390e-17
201.30275,3.34930e-17,4.04870e-17
201.45736,1.29290e-16,4.89410e-17
201.61198,1.06060e-16,4.61300e-17
201.76659,1.16060e-16,4.75160e-17
201.92120,1.19900e-16,4.73730e-17
202.07582,8.43320e-17,4.43300e-17
202.23044,1.37560e-16,4.84950e-17
202.38506,1.30600e-16,4.66120e-17
202.53967,1.26770e-16,4.74140e-17
202.69430,1.26400e-16,4.63900e-17
202.84891,7.66330e-17,4.27830e-17
203.00354,9.42430e-17,4.44410e-17
203.15817,1.09900e-16,4.40950e-17
203.31279,1.05500e-16,4.48190e-17
203.46741,1.56330e-16,4.81990e-17
203.62203,1.35390e-16,4.66650e-17
203.77666,1.35700e-16,4.60370e-17
203.93129,1.59120e-16,4.76210e-17
204.08593,1.75640e-16,4.85950e-17
204.24055,1.82800e-16,4.93730e-17
204.39518,1.63670e-16,4.79210e-17
204.54982,1.94080e-16,4.93040e-17
204.70444,1.11910e-16,4.35900e-17
204.85908,1.21470e-16,4.39130e-17
205.01372,1.77960e-16,4.81370e-17
205.16833,1.93370e-16,4.87820e-17
205.32297,1.40930e-16,4.44800e-17
205.47761,2.04810e-16,4.91800e-17
205.63225,1.27910e-16,4.38200e-17
205.78689,1.12510e-16,4.21830e-17
205.94153,7.02590e-17,3.85200e-17
206.09617,1.42130e-16,4.47120e-17
206.25081,5.48310e-17,3.67240e-17
206.40547,1.38260e-16,4.39390e-17
206.56011,1.01390e-16,4.08620e-17
206.71475,1.67130e-16,4.43880e-17
206.86938,1.47960e-16,4.40190e-17
207.02402,1.50520e-16,4.39340e-17
207.17869,1.44110e-16,4.31730e-17
207.33333,1.07620e-16,4.04730e-17
207.48799,1.61840e-16,4.40620e-17
207.64263,1.93300e-16,4.58740e-17
207.79727,1.84920e-16,4.54860e-17
207.95193,1.76910e-16,4.42460e-17
208.10657,2.01360e-16,4.62490e-17
208.26123,2.22420e-16,4.76270e-17
208.41589,2.39800e-16,4.83640e-17
208.57053,2.04280e-16,4.64080e-17
208.72520,2.25210e-16,4.62850e-17
208.87986,2.98130e-16,5.12440e-17
209.03452,3.33810e-16,5.28460e-17
209.18916,3.59770e-16,5.40580e-17
209.34382,4.68310e-16,6.04140e-17
209.49849,3.29830e-16,5.19800e-17
209.65315,3.97930e-16,5.62670e-17
209.80781,4.44960e-16,5.74640e-17
209.96248,4.74430e-16,5.94970e-17
210.11714,5.33060e-16,6.15500e-17
210.27180,4.87410e-16,6.03380e-17
210.42646,5.69890e-16,6.42220e-17
210.58113,6.23040e-16,6.47570e-17
210.73579,4.32470e-16,5.73270e-17
210.89048,4.81200e-16,5.85530e-17
211.04514,5.83310e-16,6.27210e-17
211.19980,6.69050e-16,6.79180e-17
211.35447,6.15540e-16,6.44890e-17
211.50916,6.41140e-16,6.55620e-17
211.66382,6.67670e-16,6.62370e-17
211.81851,5.91690e-16,6.30640e-17
211.97317,7.49560e-16,7.01720e-17
212.12786,5.01620e-16,5.81100e-17
212.28252,4.75370e-16,5.73840e-17
212.43721,4.53130e-16,5.65830e-17
212.59187,5.57600e-16,6.08250e-17
212.74656,6.17810e-16,6.44070e-17
212.90125,5.71610e-16,6.07830e-17
213.05591,5.73960e-16,6.09440e-17
213.21060,5.18860e-16,5.81380e-17
213.36528,5.49570e-16,6.01490e-17
213.51997,6.42950e-16,6.33450e-17
213.67466,5.39250e-16,5.84520e-17
213.82935,6.06860e-16,6.22000e-17
213.98403,6.78450e-16,6.50580e-17
214.13872,8.38910e-16,7.01810e-17
214.29341,7.68740e-16,6.79270e-17
214.44810,7.86900e-16,6.81890e-17
214.60278,7.44070e-16,6.58550e-17
214.75747,6.68690e-16,6.41770e-17
214.91216,8.13150e-16,6.88880e-17
215.06685,7.78120e-16,6.73110e-17
215.22153,6.88840e-16,6.41570e-17
215.37625,7.01580e-16,6.34460e-17
215.53093,6.95020e-16,6.44220e-17
215.68562,5.78700e-16,5.84770e-17
215.84033,5.70930e-16,5.89480e-17
215.99502,6.33160e-16,6.14510e-17
216.14973,7.22050e-16,6.41120e-17
216.30442,7.62090e-16,6.57180e-17
216.45913,5.92560e-16,5.81690e-17
216.61382,5.77130e-16,5.82120e-17
216.76853,5.99960e-16,5.89880e-17
216.92324,5.50540e-16,5.72570e-17
217.07793,7.53210e-16,6.50380e-17
217.23264,6.34690e-16,6.01520e-17
217.38735,4.88480e-16,5.29940e-17
217.54207,6.76290e-16,6.16670e-17
217.69675,7.12670e-16,6.22760e-17
217.85146,7.34790e-16,6.32590e-17
218.00618,9.83040e-16,7.35420e-17
218.16089,8.67160e-16,6.74800e-17
218.31560,9.98520e-16,7.28650e-17
218.47031,8.79000e-16,6.92440e-17
218.62502,7.83930e-16,6.40760e-17
218.77974,9.02870e-16,6.87250e-17
218.93445,8.06500e-16,6.62380e-17
219.08918,8.60190e-16,6.66370e-17
219.24390,8.54570e-16,6.70540e-17
219.39861,1.02110e-15,7.18080e-17
219.55332,9.39910e-16,6.92200e-17
219.70806,9.05840e-16,6.93430e-17
219.86277,9.06750e-16,6.81320e-17
220.01748,9.27240e-16,6.84340e-17
220.17222,9.75190e-16,7.01300e-17
220.32693,1.08310e-15,7.35290e-17
220.48167,9.66220e-16,7.03100e-17
220.63638,9.10530e-16,6.73550e-17
220.79111,7.09390e-16,6.02120e-17
220.94585,6.40100e-16,5.73620e-17
221.10056,6.17860e-16,5.70240e-17
221.25530,8.07680e-16,6.50370e-17
221.41003,7.04510e-16,5.99350e-17
221.56475,7.94800e-16,6.32190e-17
221.71948,6.19770e-16,5.69510e-17
221.87422,9.26060e-16,6.75220e-17
222.02896,9.84930e-16,6.91970e-17
222.18369,9.48970e-16,6.75360e-17
222.23000,1.04160e-15,0.00000
222.28000,1.08390e-15,0.00000
222.33000,9.25860e-16,0.00000
222.38000,9.09110e-16,0.00000
222.43000,9.47500e-16,0.00000
222.48999,9.89650e-16,0.00000
222.53999,1.03520e-15,0.00000
222.58999,1.12910e-15,0.00000
222.63999,9.79190e-16,0.00000
222.68999,9.29590e-16,0.00000
222.73999,9.37210e-16,0.00000
222.78999,8.66030e-16,0.00000
222.85000,8.82780e-16,0.00000
222.90000,1.10930e-15,0.00000
222.95000,9.52460e-16,0.00000
223.00000,1.09590e-15,0.00000
223.05000,1.00350e-15,0.00000
223.10000,1.04660e-15,0.00000
223.15000,1.11910e-15,0.00000
223.21001,1.04060e-15,0.00000
223.26001,1.24750e-15,0.00000
223.31001,1.44100e-15,0.00000
223.36001,1.42090e-15,0.00000
223.41001,1.52700e-15,0.00000
223.46001,1.45740e-15,0.00000
223.51001,1.42200e-15,0.00000
223.57000,1.45700e-15,0.00000
223.62000,1.35380e-15,0.00000
223.67000,1.56870e-15,0.00000
223.72000,1.40580e-15,0.00000
223.77000,1.17990e-15,0.00000
223.82000,1.42840e-15,0.00000
223.87000,1.22360e-15,0.00000
