wave,flux,fluxerr
290.09822,-1.64970e-15,1.38500e-15
290.37273,1.59740e-15,1.29180e-15
290.64727,-8.76210e-18,1.15840e-15
290.92178,-5.32920e-16,1.64810e-15
291.19629,2.94690e-15,9.82500e-16
291.47083,-1.70980e-16,8.12970e-16
291.74536,5.56840e-16,7.51210e-16
292.01987,4.51940e-16,6.47650e-16
292.29441,1.07330e-15,5.96660e-16
292.56895,-8.29220e-16,4.98700e-16
292.84348,8.43560e-16,4.56220e-16
293.11802,-4.54910e-16,4.19190e-16
293.39255,1.01990e-15,2.53240e-15
293.66709,6.38830e-16,1.36090e-15
293.94165,-1.21490e-16,2.69600e-16
294.21619,7.12560e-16,2.51050e-16
294.49075,4.76060e-16,2.51650e-16
294.76528,-7.69610e-17,2.77010e-16
295.03984,5.38430e-16,1.79580e-16
295.31440,7.39000e-17,1.57850e-16
295.58896,2.98220e-17,1.45370e-16
295.86353,4.26560e-16,1.43440e-16
296.13809,1.22130e-16,1.24260e-16
296.41265,-1.03100e-16,1.10970e-16
296.68721,3.07330e-16,1.15410e-16
296.96177,4.66130e-17,1.02970e-16
297.23635,3.55210e-16,1.07430e-16
297.51091,3.75610e-16,9.83990e-17
297.78550,2.00680e-16,1.11110e-16
298.06006,4.82280e-16,9.57380e-17
298.33464,3.54370e-16,9.36790e-17
298.60923,1.75390e-16,1.23040e-16
298.88381,2.20430e-16,9.55710e-17
299.15840,2.64680e-16,8.63830e-17
299.43298,2.43310e-16,8.73810e-17
299.70757,3.95210e-16,8.68290e-17
299.98215,9.37550e-17,7.93340e-17
300.25676,6.51660e-17,8.11430e-17
300.53135,3.46380e-16,2.62590e-16
300.80593,3.67970e-16,8.63380e-17
301.08054,5.18540e-16,1.01170e-16
301.35515,3.43530e-16,9.30140e-17
301.62974,2.67320e-16,2.69720e-16
301.90435,2.60410e-16,8.05040e-17
302.17896,2.09190e-16,7.38660e-17
302.45356,3.31770e-16,7.55680e-17
302.72817,2.95390e-16,7.42410e-17
303.00278,4.04070e-16,7.39220e-17
303.27739,4.14960e-16,7.84850e-17
303.55203,4.89910e-16,7.90150e-17
303.82664,2.67240e-16,1.01530e-16
304.10125,1.81360e-16,6.53510e-17
304.37588,3.24610e-16,6.87310e-17
304.65051,2.72230e-16,6.63970e-17
304.92512,3.59080e-16,6.64600e-17
305.19976,3.53130e-16,6.58890e-17
305.47439,2.60820e-16,6.65310e-17
305.74902,3.04170e-16,6.45000e-17
306.02366,3.60870e-16,6.14110e-17
306.29829,2.78400e-16,5.98720e-17
306.57292,4.33800e-16,6.40980e-17
306.84756,2.75820e-16,5.78400e-17
307.12219,1.71300e-16,5.67910e-17
307.39685,4.02680e-16,6.02620e-17
307.67148,3.77960e-16,6.39400e-17
307.94614,3.55670e-16,1.32170e-16
308.22078,6.16930e-16,6.27780e-17
308.49543,2.20560e-16,5.52360e-17
308.77009,2.52360e-16,5.48200e-17
309.04473,3.59910e-16,5.84370e-17
309.31938,3.16820e-16,5.89040e-17
309.59404,2.39880e-16,7.70360e-17
309.86870,2.09920e-16,5.19280e-17
310.14336,2.08100e-16,5.35290e-17
310.41804,3.03010e-16,6.55600e-17
310.69270,4.07750e-16,6.43090e-17
310.96736,3.78280e-16,6.54280e-17
311.24204,4.40650e-16,5.67880e-17
311.51670,5.23010e-16,1.23370e-16
311.79138,2.87000e-16,5.36920e-17
312.06604,3.14680e-16,5.35680e-17
312.34072,2.99640e-16,5.24770e-17
312.61541,2.12850e-16,5.61520e-17
312.89006,3.07120e-16,5.46080e-17
313.16475,2.11290e-16,5.14950e-17
313.43943,2.02800e-16,6.26710e-17
313.71411,1.23370e-16,1.30510e-16
313.98879,2.13310e-16,1.06200e-15
314.26350,2.07190e-16,6.53720e-17
314.53818,2.39820e-16,4.98670e-17
314.81287,2.01870e-16,4.77600e-17
315.08755,4.24280e-16,5.20950e-17
315.36226,3.07080e-16,6.29740e-17
315.63694,2.62950e-16,5.29950e-17
315.91165,3.55710e-16,6.10270e-17
316.18635,2.75580e-16,7.38540e-17
316.46104,2.90290e-16,4.86210e-17
316.73574,3.87840e-16,5.21140e-17
317.01045,2.55180e-16,4.90510e-17
317.28516,2.60730e-16,4.77090e-17
317.55986,4.87480e-16,5.12250e-17
317.83457,2.82150e-16,4.71090e-17
318.10928,2.52410e-16,4.49040e-17
318.38398,2.82530e-16,4.61090e-17
318.65869,2.45210e-16,6.96560e-17
318.93342,3.92510e-16,4.97930e-17
319.20813,2.69940e-16,4.46730e-17
319.48284,2.35350e-16,4.76400e-17
319.75757,4.37630e-16,4.70160e-17
320.03228,3.10150e-16,4.52590e-17
320.30701,3.45050e-16,4.49270e-17
320.58174,4.78940e-16,5.04350e-17
320.85647,3.64250e-16,5.19080e-17
321.13118,2.78960e-16,4.67750e-17
321.40591,3.34480e-16,4.62820e-17
321.68064,2.66840e-16,4.70960e-17
321.95537,2.49940e-16,4.92700e-17
322.23010,4.13960e-16,4.44780e-17
322.50483,3.60730e-16,5.25940e-17
322.77957,3.37750e-16,4.20730e-17
323.05432,3.03390e-16,4.11130e-17
323.32905,2.89970e-16,4.23050e-17
323.60378,3.81230e-16,4.43690e-17
323.87854,3.02540e-16,6.74760e-17
324.15327,3.36940e-16,4.43860e-17
324.42803,4.58190e-16,4.40920e-17
324.70276,2.37970e-16,3.90750e-17
324.97751,3.75880e-16,4.60100e-17
325.25227,3.46150e-16,4.13850e-17
325.52703,3.12750e-16,4.09710e-17
325.80176,3.44350e-16,4.10500e-17
326.07651,4.35820e-16,4.18100e-17
326.35127,2.49370e-16,3.86580e-17
326.62603,5.32110e-16,4.50230e-17
326.90078,5.26370e-16,4.50240e-17
327.17554,3.33330e-16,6.06520e-17
327.45032,4.64490e-16,4.35920e-17
327.72507,4.32600e-16,4.28360e-17
327.99983,3.21740e-16,3.91210e-17
328.27459,4.25240e-16,4.20170e-17
328.54937,3.35860e-16,4.17520e-17
328.82412,3.22220e-16,3.98950e-17
329.09890,3.99490e-16,4.05350e-17
329.37366,3.63770e-16,4.00380e-17
329.64844,4.25850e-16,4.18970e-17
329.92322,4.37020e-16,4.17550e-17
330.19797,3.11560e-16,3.89910e-17
330.47275,4.84620e-16,4.23230e-17
330.74753,4.63540e-16,4.60920e-17
331.02231,3.21670e-16,3.90400e-17
331.29709,4.11730e-16,4.25240e-17
331.57187,3.71350e-16,4.03990e-17
331.84666,4.22250e-16,3.97800e-17
332.12144,4.53950e-16,4.04910e-17
332.39622,2.98270e-16,4.25040e-17
332.67100,3.59030e-16,3.88800e-17
332.94578,4.88990e-16,3.99210e-17
333.22058,3.86730e-16,3.96640e-17
333.49536,3.60370e-16,3.84440e-17
333.77014,4.02190e-16,3.80290e-17
334.04495,3.78150e-16,3.81820e-17
334.31973,3.32900e-16,3.75170e-17
334.59453,4.60130e-16,4.09320e-17
334.86934,3.81790e-16,8.44080e-17
335.14412,4.56860e-16,3.87910e-17
335.41892,4.03470e-16,3.96130e-17
335.69373,4.16700e-16,1.25450e-16
335.96851,3.80980e-16,3.99300e-17
336.24331,5.74260e-16,4.23080e-17
336.51812,3.65710e-16,4.01540e-17
336.79292,5.15340e-16,3.87120e-17
337.06772,2.64550e-16,3.42360e-17
337.34253,2.94540e-16,3.56300e-17
337.61733,3.75350e-16,3.68140e-17
337.89214,3.27360e-16,3.58850e-17
338.16694,4.00810e-16,3.95250e-17
338.44177,4.18470e-16,3.81810e-17
338.71658,3.11870e-16,4.13910e-17
338.99138,3.82390e-16,3.73430e-17
339.26621,4.10470e-16,6.27290e-17
339.54102,3.78410e-16,3.56670e-17
339.81582,5.31830e-16,4.18230e-17
340.09065,3.93800e-16,4.16600e-17
340.36545,3.55430e-16,3.47740e-17
340.64028,4.33720e-16,3.61180e-17
340.91511,3.62750e-16,3.49660e-17
341.18992,3.31750e-16,3.47490e-17
341.46475,4.90460e-16,3.70240e-17
341.73958,3.39900e-16,3.44320e-17
342.01440,4.72010e-16,4.64910e-17
