wave,flux,fluxerr
290.25981,-2.36640e-16,1.22360e-15
290.53430,-3.76440e-16,1.10230e-15
290.80881,7.25130e-16,1.69530e-15
291.08330,-1.04310e-15,8.59060e-16
291.35779,3.83300e-16,7.86990e-16
291.63230,-2.35310e-17,7.09300e-16
291.90679,-4.27640e-16,6.06630e-16
292.18130,1.03120e-15,5.92890e-16
292.45581,-9.08940e-16,4.77470e-16
292.73030,-5.25490e-16,4.22600e-16
293.00481,6.72730e-16,4.40510e-16
293.27932,1.19850e-15,2.56710e-15
293.55383,8.10370e-17,1.24180e-15
293.82837,1.27440e-16,2.81590e-16
294.10288,3.20660e-18,2.30480e-16
294.37739,1.47230e-16,2.41130e-16
294.65193,3.02000e-16,2.75200e-16
294.92644,5.23980e-16,1.74090e-16
295.20098,6.45120e-16,1.63360e-16
295.47549,5.45420e-16,1.70380e-16
295.75002,5.17440e-16,1.47560e-16
296.02456,3.02690e-16,1.19240e-16
296.29910,1.36550e-16,1.12170e-16
296.57363,2.75670e-17,1.06830e-16
296.84817,2.11400e-16,9.90350e-17
297.12271,2.88160e-16,9.93220e-17
297.39727,3.21880e-16,9.17830e-17
297.67180,3.00920e-16,1.06290e-16
297.94634,3.82750e-16,8.82040e-17
298.22090,1.13010e-16,8.42630e-17
298.49546,3.96260e-16,1.58160e-16
298.77000,3.18880e-16,9.60260e-17
299.04456,1.14670e-16,1.25240e-16
299.31912,6.87540e-17,9.12110e-17
299.59368,3.25740e-16,8.04840e-17
299.86824,4.17940e-16,8.07730e-17
300.14280,3.28050e-16,7.93950e-17
300.41736,2.89620e-16,1.30120e-16
300.69194,3.28670e-16,7.93710e-17
300.96650,3.67050e-16,8.21890e-17
301.24106,4.30420e-16,8.05190e-17
301.51565,4.21660e-16,2.62300e-16
301.79023,1.72780e-16,7.93250e-17
302.06479,2.19400e-16,6.69840e-17
302.33938,3.92900e-16,7.24700e-17
302.61396,3.52860e-16,7.09850e-17
302.88855,3.49460e-16,6.81130e-17
303.16313,5.12760e-16,7.28410e-17
303.43772,3.39150e-16,6.92640e-17
303.71230,2.90610e-16,1.09610e-16
303.98689,2.76560e-16,6.25440e-17
304.26150,4.58430e-16,6.71500e-17
304.53608,4.14500e-16,6.67190e-17
304.81069,4.89860e-16,7.38770e-17
305.08528,6.10110e-16,6.68510e-17
305.35989,4.34300e-16,6.33600e-17
305.63450,3.43660e-16,6.11500e-17
305.90908,2.35700e-16,5.56380e-17
306.18369,2.97080e-16,5.63070e-17
306.45830,3.23590e-16,5.84510e-17
306.73291,3.62070e-16,5.54650e-17
307.00752,4.13710e-16,5.72560e-17
307.28215,4.29260e-16,5.69250e-17
307.55676,3.21820e-16,5.92230e-17
307.83137,5.10470e-16,8.22300e-17
308.10601,4.42710e-16,5.57870e-17
308.38062,3.61860e-16,5.52060e-17
308.65525,3.91130e-16,5.38860e-17
308.92986,2.66720e-16,5.23250e-17
309.20449,3.41850e-16,5.52400e-17
309.47913,3.26780e-16,5.16330e-17
309.75376,2.36440e-16,4.98140e-17
310.02837,3.73580e-16,5.38040e-17
310.30300,4.25770e-16,5.73260e-17
310.57766,5.26710e-16,5.80410e-17
310.85229,5.74040e-16,7.79120e-17
311.12693,5.68240e-16,5.65980e-17
311.40156,5.67650e-16,1.12150e-16
311.67622,4.78270e-16,5.30740e-17
311.95085,3.60010e-16,5.06940e-17
312.22549,4.02060e-16,5.10000e-17
312.50015,3.83220e-16,5.60580e-17
312.77480,4.16680e-16,5.27110e-17
313.04944,5.41510e-16,5.29350e-17
313.32410,4.98310e-16,6.79520e-17
313.59875,4.48270e-16,5.36420e-17
313.87341,5.28520e-16,3.13180e-16
314.14807,5.60590e-16,6.09220e-17
314.42273,3.36070e-16,4.85440e-17
314.69739,3.27100e-16,4.88440e-17
314.97205,3.97540e-16,4.84930e-17
315.24673,4.08830e-16,5.95970e-17
315.52139,4.13510e-16,5.02250e-17
315.79604,2.82470e-16,4.81740e-17
316.07073,3.25940e-16,7.02430e-17
316.34539,4.58980e-16,4.85050e-17
316.62007,3.89730e-16,4.95450e-17
316.89475,5.14500e-16,5.01600e-17
317.16941,5.43520e-16,4.96440e-17
317.44409,5.11870e-16,5.00990e-17
317.71877,4.85550e-16,5.16660e-17
317.99346,3.84950e-16,4.47650e-17
318.26814,4.48020e-16,4.66140e-17
318.54282,4.50770e-16,7.06530e-17
318.81750,4.90120e-16,4.93820e-17
319.09219,3.91060e-16,4.48180e-17
319.36687,4.04670e-16,4.57300e-17
319.64158,4.95150e-16,4.60670e-17
319.91626,5.32990e-16,4.64830e-17
320.19097,5.35110e-16,4.56370e-17
320.46565,5.05460e-16,4.53450e-17
320.74036,5.53210e-16,4.83050e-17
321.01504,4.62830e-16,4.48770e-17
321.28975,3.97500e-16,4.24310e-17
321.56445,3.80690e-16,4.33450e-17
321.83916,4.96920e-16,4.58930e-17
322.11384,5.47060e-16,4.39300e-17
322.38855,4.12940e-16,5.07920e-17
322.66326,4.59590e-16,4.20030e-17
322.93796,3.57810e-16,3.98490e-17
323.21270,3.94520e-16,4.20910e-17
323.48740,4.67110e-16,4.29440e-17
323.76211,5.11910e-16,7.30270e-17
324.03682,4.52040e-16,4.52590e-17
324.31155,5.47160e-16,4.35540e-17
324.58625,4.85420e-16,4.13710e-17
324.86099,5.44330e-16,4.65380e-17
325.13569,5.13110e-16,4.20430e-17
325.41042,5.21070e-16,4.26560e-17
325.68513,6.87180e-16,4.54120e-17
325.95986,6.69680e-16,4.35670e-17
326.23459,5.70330e-16,4.24620e-17
326.50933,6.19010e-16,4.47340e-17
326.78406,5.83750e-16,4.44970e-17
327.05876,6.08750e-16,6.10990e-17
327.33350,6.09840e-16,4.36330e-17
327.60825,6.32080e-16,4.64260e-17
327.88298,6.18410e-16,4.51530e-17
328.15771,7.48350e-16,4.49710e-17
328.43245,6.35130e-16,4.44010e-17
328.70718,5.50260e-16,4.14030e-17
328.98193,6.00660e-16,4.16450e-17
329.25666,8.07190e-16,4.73540e-17
329.53140,6.95740e-16,4.39700e-17
329.80615,7.11130e-16,4.37430e-17
330.08091,7.31130e-16,4.40120e-17
330.35564,7.08120e-16,4.33020e-17
330.63040,6.58400e-16,4.69430e-17
330.90513,6.47250e-16,4.23610e-17
331.17988,7.82920e-16,4.59750e-17
331.45464,8.10700e-16,4.72460e-17
331.72939,6.77190e-16,4.45310e-17
332.00415,6.25020e-16,4.12040e-17
332.27891,6.54200e-16,4.72240e-17
332.55366,6.46740e-16,4.16370e-17
332.82842,6.61470e-16,4.10250e-17
333.10317,6.02780e-16,4.20170e-17
333.37793,4.99220e-16,3.88030e-17
333.65269,5.92780e-16,3.95600e-17
333.92747,5.53900e-16,3.86290e-17
334.20222,5.49710e-16,3.89020e-17
334.47698,6.15150e-16,3.95430e-17
334.75176,6.52220e-16,6.71400e-17
335.02651,5.69340e-16,3.95050e-17
335.30129,7.86890e-16,4.49100e-17
335.57605,5.81000e-16,1.28600e-16
335.85083,6.31860e-16,4.72090e-17
336.12561,5.21830e-16,3.75300e-17
336.40037,4.59930e-16,3.61130e-17
336.67515,5.81610e-16,3.73550e-17
336.94993,5.84060e-16,3.79450e-17
337.22471,5.84720e-16,3.85750e-17
337.49949,7.53110e-16,4.10520e-17
337.77427,8.02250e-16,4.74310e-17
338.04905,6.89090e-16,5.65580e-17
338.32383,6.54170e-16,5.08410e-17
338.59861,6.15430e-16,5.09740e-17
338.87339,7.18830e-16,4.46030e-17
339.14817,6.06190e-16,6.25630e-17
339.42295,6.14130e-16,3.71500e-17
339.69775,6.58980e-16,4.07660e-17
339.97253,7.83900e-16,4.01400e-17
340.24731,6.96480e-16,3.80740e-17
340.52212,7.48730e-16,3.92330e-17
340.79690,5.68760e-16,3.62500e-17
341.07170,6.18960e-16,3.77650e-17
341.34648,5.80710e-16,3.65850e-17
341.62129,5.41310e-16,4.02530e-17
341.89607,7.26770e-16,4.80110e-17
342.17087,8.17520e-16,3.93720e-17
342.44568,7.36710e-16,3.98010e-17
342.72048,7.72370e-16,4.51620e-17
342.99526,7.59950e-16,4.83440e-17
343.27007,7.45730e-16,6.06440e-17
343.54487,7.49150e-16,4.17510e-17
343.81968,6.46710e-16,3.67860e-17
344.09448,4.24250e-16,3.27930e-17
344.36929,5.28780e-16,3.41230e-17
344.64409,5.52020e-16,3.52460e-17
344.91890,6.39270e-16,3.72830e-17
345.19370,6.47150e-16,3.70210e-17
345.46851,6.74130e-16,3.62600e-17
345.74331,7.03760e-16,3.77840e-17
346.01814,6.40690e-16,3.61350e-17
346.29294,6.81530e-16,3.85690e-17
346.56775,7.30390e-16,3.78030e-17
346.84258,8.59330e-16,4.04210e-17
347.11738,7.64170e-16,5.27590e-17
347.39219,5.89950e-16,4.21830e-17
347.66702,5.19390e-16,3.64200e-17
347.94182,6.47690e-16,3.51920e-17
348.21665,6.84740e-16,3.64030e-17
348.49146,6.58320e-16,3.50020e-17
348.76628,7.12990e-16,3.62790e-17
349.04111,6.03710e-16,3.42380e-17
349.31592,6.40130e-16,3.50380e-17
349.59075,6.79830e-16,4.04430e-17
349.86558,7.00740e-16,4.08040e-17
350.14038,6.77870e-16,3.52410e-17
350.41521,7.61040e-16,3.87860e-17
350.69004,6.71790e-16,3.53850e-17
350.96487,6.81110e-16,3.53880e-17
351.23970,7.16110e-16,3.61760e-17
351.51453,7.09970e-16,3.57400e-17
351.78936,7.43600e-16,3.72650e-17
352.06418,6.88050e-16,4.13810e-17
352.33901,5.80890e-16,3.64200e-17
352.61384,6.12110e-16,3.36630e-17
352.88867,6.61900e-16,3.45310e-17
353.16350,7.08660e-16,3.57680e-17
353.43833,7.73640e-16,3.60120e-17
353.71318,7.12120e-16,3.51750e-17
353.98801,7.82760e-16,3.58770e-17
354.26284,7.73530e-16,3.60690e-17
354.53767,7.83270e-16,4.67980e-17
354.81252,8.17640e-16,3.62950e-17
355.08735,8.09920e-16,3.67970e-17
355.36218,8.05180e-16,3.59990e-17
355.63704,6.52940e-16,3.36480e-17
355.91187,6.86520e-16,3.47500e-17
356.18672,7.49710e-16,3.47900e-17
356.46155,8.74300e-16,3.90900e-17
356.73640,6.28910e-16,3.59940e-17
357.01123,5.90220e-16,3.30190e-17
357.28608,5.74890e-16,4.21640e-17
357.56091,6.04960e-16,6.87740e-17
357.83577,6.72260e-16,3.57520e-17
358.11062,5.58780e-16,3.16900e-17
358.38545,5.19320e-16,3.10860e-17
358.66030,4.93810e-16,3.10990e-17
358.93516,5.34960e-16,3.11630e-17
359.21001,7.18900e-16,3.49790e-17
359.48486,6.88620e-16,3.44880e-17
359.75969,7.47200e-16,3.45590e-17
360.03455,6.98890e-16,3.44290e-17
360.30940,6.84730e-16,3.39000e-17
360.58425,6.30160e-16,3.38370e-17
360.85911,6.10460e-16,3.58620e-17
361.13396,6.38470e-16,4.13420e-17
361.40881,6.58660e-16,3.41140e-17
361.68367,6.84560e-16,3.39040e-17
361.95852,5.41090e-16,3.06290e-17
362.23337,6.90050e-16,3.63820e-17
362.50823,7.49630e-16,3.38610e-17
362.78308,7.83460e-16,3.45760e-17
363.05793,6.01150e-16,3.29780e-17
363.33279,6.19250e-16,3.15990e-17
363.60764,6.36710e-16,3.18840e-17
363.88252,6.74730e-16,3.26660e-17
364.15737,7.85020e-16,3.48990e-17
364.43223,7.39880e-16,3.33900e-17
364.70708,6.87040e-16,3.28190e-17
364.98193,6.38240e-16,3.27790e-17
365.25681,6.68940e-16,3.96030e-17
365.53167,7.77110e-16,3.30570e-17
365.80652,8.25860e-16,3.53910e-17
366.08140,7.88830e-16,3.33040e-17
366.35625,8.46440e-16,3.56660e-17
366.63110,8.98230e-16,3.44090e-17
366.90598,8.65600e-16,3.43990e-17
367.18084,8.56410e-16,3.61190e-17
367.45571,8.46480e-16,4.89160e-17
367.73057,8.32710e-16,3.42890e-17
368.00544,7.36240e-16,3.20000e-17
368.28030,7.78420e-16,3.37360e-17
368.55515,7.30290e-16,4.51630e-17
368.83003,7.90430e-16,3.24890e-17
369.10491,8.25300e-16,3.30590e-17
369.37976,8.53490e-16,5.65850e-17
369.65464,8.61460e-16,3.32690e-17
369.92949,8.13740e-16,3.24760e-17
370.20437,7.97070e-16,3.24000e-17
370.47922,7.50190e-16,3.86810e-17
370.75410,7.35920e-16,3.15660e-17
371.02898,7.52030e-16,3.28460e-17
371.30383,9.26840e-16,3.52780e-17
371.57871,9.18640e-16,3.33370e-17
371.85359,8.17300e-16,3.37290e-17
372.12844,6.59640e-16,3.00650e-17
372.40332,6.62180e-16,3.00480e-17
372.67820,7.59200e-16,3.08580e-17
372.95308,7.92270e-16,3.12500e-17
373.22793,6.86180e-16,3.04650e-17
373.50281,5.83620e-16,2.79120e-17
373.77769,5.18390e-16,2.68390e-17
374.05256,6.14650e-16,2.83710e-17
374.32742,7.30060e-16,3.01990e-17
374.60229,5.99830e-16,2.82390e-17
374.87717,5.43650e-16,2.78760e-17
375.15205,6.14510e-16,2.86750e-17
375.42693,7.14670e-16,3.78160e-17
375.70178,7.85290e-16,2.98650e-17
375.97666,6.89520e-16,2.93440e-17
376.25154,7.26130e-16,3.55560e-17
376.52642,7.10970e-16,2.98620e-17
376.80129,7.95700e-16,2.96960e-17
377.07617,7.59790e-16,2.89680e-17
377.35105,8.34970e-16,3.09050e-17
377.62593,9.29200e-16,3.13210e-17
377.90081,9.17740e-16,4.65440e-17
378.17568,9.47280e-16,3.09360e-17
378.45054,9.59780e-16,3.11110e-17
378.72541,8.92770e-16,2.98760e-17
379.00029,8.19530e-16,2.90780e-17
379.27517,7.87580e-16,3.05990e-17
379.55005,7.94420e-16,2.81790e-17
379.82493,6.99150e-16,2.68550e-17
380.09980,7.91370e-16,2.88560e-17
380.37468,8.71150e-16,2.90770e-17
380.64956,8.91030e-16,2.98370e-17
380.92444,8.73070e-16,2.92160e-17
381.19932,8.92890e-16,3.48230e-17
381.47419,8.26780e-16,2.87190e-17
381.74907,6.84340e-16,2.64600e-17
382.02395,6.94710e-16,2.64820e-17
382.29883,6.51100e-16,2.56800e-17
382.57371,5.35780e-16,2.45190e-17
382.84858,4.96810e-16,2.45360e-17
383.12346,4.82790e-16,2.31430e-17
383.39834,4.51150e-16,2.24130e-17
383.67322,4.76690e-16,2.28680e-17
383.94810,4.57090e-16,2.23110e-17
384.22297,5.96500e-16,2.49780e-17
