wave,flux,fluxerr
115.05227,1.48280e-13,7.26590e-15
115.11064,1.46830e-13,7.24550e-15
115.16901,1.47780e-13,6.75190e-15
115.22738,1.45800e-13,6.63860e-15
115.28575,1.48670e-13,6.41250e-15
115.34413,1.54400e-13,6.49320e-15
115.40250,1.48350e-13,6.00970e-15
115.46086,1.52200e-13,6.05470e-15
115.51924,1.58470e-13,6.00860e-15
115.57761,1.40170e-13,5.52580e-15
115.63599,1.50420e-13,5.61310e-15
115.69435,1.46780e-13,5.49340e-15
115.75272,1.53440e-13,5.46680e-15
115.81110,1.47870e-13,5.34120e-15
115.86946,1.45140e-13,5.25440e-15
115.92783,1.49970e-13,5.08920e-15
115.98621,1.53140e-13,5.10480e-15
116.04457,1.51930e-13,5.03000e-15
116.10294,1.61460e-13,5.11590e-15
116.16130,1.55000e-13,5.01410e-15
116.21968,1.56460e-13,4.95400e-15
116.27805,1.54930e-13,4.77790e-15
116.33641,1.48420e-13,4.77840e-15
116.39479,1.55780e-13,4.62120e-15
116.45315,1.60430e-13,4.86280e-15
116.51152,1.49570e-13,4.48700e-15
116.56989,1.51950e-13,4.48260e-15
116.62826,1.51010e-13,4.56740e-15
116.68662,1.48710e-13,4.41580e-15
116.74500,1.46140e-13,4.29670e-15
116.80336,1.44200e-13,4.28070e-15
116.86173,1.36120e-13,4.11410e-15
116.92009,1.39260e-13,4.04930e-15
116.97847,1.48270e-13,4.22890e-15
117.03683,1.51110e-13,4.21160e-15
117.09519,1.41850e-13,4.01330e-15
117.15356,1.51470e-13,4.10950e-15
117.21193,1.40920e-13,3.96640e-15
117.27030,1.46240e-13,3.98770e-15
117.32866,1.42640e-13,3.84260e-15
117.38702,1.51990e-13,4.01090e-15
117.44540,1.49900e-13,3.91520e-15
117.50376,1.53460e-13,3.90360e-15
117.56212,1.48660e-13,3.79660e-15
117.62050,1.38930e-13,3.67870e-15
117.67886,1.43030e-13,3.74620e-15
117.73722,1.42510e-13,3.67250e-15
117.79558,1.45560e-13,3.69680e-15
117.85396,1.47290e-13,3.65840e-15
117.91232,1.39730e-13,3.60370e-15
117.97068,1.44300e-13,3.58520e-15
118.02904,1.40050e-13,3.50580e-15
118.08740,1.43810e-13,3.49060e-15
118.14578,1.48280e-13,3.64270e-15
118.20414,1.35620e-13,3.32460e-15
118.26250,1.41020e-13,3.47660e-15
118.32086,1.43690e-13,3.38060e-15
118.37922,1.38090e-13,3.30020e-15
118.43759,1.36220e-13,3.28470e-15
118.49596,1.33740e-13,3.27740e-15
118.55432,1.33450e-13,3.14530e-15
118.61268,1.41630e-13,3.35280e-15
118.67104,1.33350e-13,3.13120e-15
118.72941,1.25210e-13,3.09990e-15
118.78777,1.25760e-13,3.01710e-15
118.84613,1.28190e-13,3.07170e-15
118.90449,1.25780e-13,2.96630e-15
118.96285,1.20940e-13,2.92130e-15
119.02122,1.15220e-13,2.82530e-15
119.07958,1.16760e-13,2.92530e-15
119.13794,1.23260e-13,3.00690e-15
119.19630,1.23660e-13,3.12470e-15
119.25466,1.19130e-13,3.08910e-15
119.31302,1.21250e-13,3.13610e-15
119.37139,1.19730e-13,3.06160e-15
119.42975,1.18710e-13,3.04940e-15
119.48811,1.17140e-13,2.98410e-15
119.54646,1.12750e-13,2.94780e-15
119.60482,1.17590e-13,2.94240e-15
119.66318,1.10580e-13,2.93380e-15
119.72155,1.09360e-13,2.82570e-15
119.77991,1.08520e-13,2.84580e-15
119.83827,1.06230e-13,2.84600e-15
119.89663,1.07250e-13,2.77480e-15
119.95498,9.77460e-14,2.66040e-15
120.01334,9.83330e-14,2.64940e-15
120.07170,9.15100e-14,2.56570e-15
120.13007,1.01220e-13,2.67690e-15
120.18842,1.01130e-13,2.68290e-15
120.24678,1.01790e-13,2.61550e-15
120.30514,1.04950e-13,2.67910e-15
120.36350,9.90720e-14,2.57290e-15
120.42185,9.64760e-14,2.53710e-15
120.48021,9.25510e-14,2.49460e-15
120.53857,8.82960e-14,2.47310e-15
120.59692,8.53350e-14,2.42770e-15
120.65529,8.22080e-14,2.32150e-15
120.71365,8.14800e-14,2.27500e-15
120.77200,7.81370e-14,2.27220e-15
120.83036,7.40780e-14,2.17880e-15
120.88872,7.71620e-14,2.21700e-15
120.94707,7.25800e-14,2.15020e-15
121.00543,6.40820e-14,2.05400e-15
121.06378,6.31950e-14,1.99930e-15
121.12214,5.58340e-14,1.93490e-15
121.18049,5.30120e-14,1.87480e-15
121.23885,4.75870e-14,1.81040e-15
121.29722,4.41180e-14,1.71470e-15
121.35557,3.45250e-14,1.62170e-15
121.41393,3.05370e-14,1.50750e-15
121.47228,2.43210e-14,1.41220e-15
121.53063,2.05170e-14,1.34930e-15
121.58899,2.23410e-14,1.33900e-15
121.64734,2.43990e-14,1.38140e-15
121.70570,2.63410e-14,1.43300e-15
121.76405,3.44170e-14,1.51780e-15
121.82241,3.84500e-14,1.57500e-15
121.88076,4.51010e-14,1.65630e-15
121.93911,4.92920e-14,1.68660e-15
121.99747,5.28850e-14,1.74020e-15
122.05582,5.71810e-14,1.74410e-15
122.11418,6.04590e-14,1.81310e-15
122.17253,6.70640e-14,1.87220e-15
122.23088,6.83180e-14,1.89600e-15
122.28925,7.19120e-14,1.89500e-15
122.34760,7.21950e-14,1.91270e-15
122.40594,7.16100e-14,1.84570e-15
122.46429,7.72020e-14,1.95590e-15
122.52266,7.53540e-14,1.86890e-15
122.58101,8.05900e-14,2.00620e-15
122.63936,8.70950e-14,1.97980e-15
122.69771,8.87060e-14,2.03990e-15
122.75607,9.14580e-14,2.04030e-15
122.81442,8.84850e-14,2.00110e-15
122.87277,9.41970e-14,2.02430e-15
122.93112,9.05430e-14,2.00240e-15
122.98947,9.65790e-14,2.03010e-15
123.04781,9.52380e-14,2.04080e-15
123.10618,1.00680e-13,2.05840e-15
123.16453,9.74700e-14,2.05330e-15
123.22288,9.75080e-14,2.02390e-15
123.28123,9.95960e-14,2.05090e-15
123.33958,1.06840e-13,2.04950e-15
123.39792,1.04880e-13,2.06960e-15
123.45627,1.01210e-13,1.99520e-15
123.51462,1.02770e-13,2.02310e-15
123.57297,1.00460e-13,1.96780e-15
123.63132,1.04800e-13,2.03020e-15
123.68967,1.03280e-13,1.97940e-15
123.74802,1.04040e-13,1.99080e-15
123.80637,1.06470e-13,2.04800e-15
123.86472,1.06520e-13,1.93690e-15
123.92307,1.05890e-13,1.97250e-15
123.98142,1.07810e-13,1.90470e-15
124.03977,1.09550e-13,1.91440e-15
124.09812,1.08930e-13,1.88980e-15
124.15647,1.09630e-13,1.90530e-15
124.21482,1.10010e-13,1.87750e-15
124.27317,1.12700e-13,1.92990e-15
124.33152,1.11650e-13,1.87380e-15
124.38987,1.12710e-13,1.90070e-15
124.44822,1.11560e-13,1.87520e-15
124.50656,1.11800e-13,1.85830e-15
124.56490,1.12950e-13,1.90340e-15
124.62325,1.11510e-13,1.88140e-15
124.68160,1.12140e-13,1.85080e-15
124.73995,1.16370e-13,1.92390e-15
124.79829,1.12870e-13,1.83890e-15
124.85664,1.14090e-13,1.87440e-15
124.91499,1.13870e-13,1.88670e-15
124.97334,1.15900e-13,1.88420e-15
125.03168,1.10230e-13,1.80600e-15
125.09003,1.10710e-13,1.85330e-15
125.14838,1.12650e-13,1.85730e-15
125.20673,1.18130e-13,1.90280e-15
125.26506,1.14640e-13,1.86360e-15
125.32341,1.11640e-13,1.83880e-15
125.38176,1.13170e-13,1.85670e-15
125.44010,1.16170e-13,1.85970e-15
125.49845,1.16540e-13,1.86830e-15
125.55680,1.14730e-13,1.85650e-15
125.61514,1.17000e-13,1.90540e-15
125.67349,1.13650e-13,1.82400e-15
125.73182,1.14340e-13,1.88130e-15
125.79017,1.13560e-13,1.80320e-15
125.84851,1.11620e-13,1.81540e-15
125.90686,1.07550e-13,1.79630e-15
125.96521,1.10020e-13,1.82890e-15
126.02355,1.08380e-13,1.74080e-15
126.08190,1.06090e-13,1.82480e-15
126.14023,1.08060e-13,1.75390e-15
126.19858,1.10430e-13,1.84040e-15
126.25692,1.13800e-13,1.79970e-15
126.31527,1.13330e-13,1.83990e-15
126.37361,1.13410e-13,1.78750e-15
126.43195,1.13050e-13,1.82440e-15
126.49030,1.16100e-13,1.81100e-15
126.54863,1.18420e-13,1.87420e-15
126.60698,1.12150e-13,1.77720e-15
126.66532,1.12200e-13,1.80130e-15
126.72366,1.14350e-13,1.81130e-15
126.78201,1.16360e-13,1.79940e-15
126.84034,1.13040e-13,1.80320e-15
126.89869,1.12100e-13,1.79610e-15
126.95703,1.11370e-13,1.75930e-15
