wave,flux,fluxerr
1350.5642,1.0959718e-11,0.0000000
1351.5643,1.0930919e-11,0.0000000
1352.5644,1.0904642e-11,0.0000000
1353.5644,1.0875413e-11,0.0000000
1354.5645,1.0849586e-11,0.0000000
1355.5646,1.0818707e-11,0.0000000
1356.5647,1.0795141e-11,0.0000000
1357.5648,1.0764430e-11,0.0000000
1358.5648,1.0740568e-11,0.0000000
1359.5649,1.0713840e-11,0.0000000
1360.5650,1.0685321e-11,0.0000000
1361.5651,1.0659354e-11,0.0000000
1362.5652,1.0633830e-11,0.0000000
1363.5652,1.0604807e-11,0.0000000
1364.5653,1.0579489e-11,0.0000000
1365.5654,1.0554424e-11,0.0000000
1366.5655,1.0525581e-11,0.0000000
1367.5656,1.0501043e-11,0.0000000
1368.5657,1.0476158e-11,0.0000000
1369.5657,1.0447345e-11,0.0000000
1370.5658,1.0422894e-11,0.0000000
1371.5659,1.0396861e-11,0.0000000
1372.5660,1.0373094e-11,0.0000000
1373.5661,1.0342492e-11,0.0000000
1374.5662,1.0319120e-11,0.0000000
1375.5663,1.0295459e-11,0.0000000
1376.5663,1.0269501e-11,0.0000000
1377.5664,1.0240971e-11,0.0000000
1378.5665,1.0217031e-11,0.0000000
1379.5666,1.0192344e-11,0.0000000
1380.5667,1.0168947e-11,0.0000000
1381.5668,1.0140361e-11,0.0000000
1382.5669,1.0114103e-11,0.0000000
1383.5670,1.0091352e-11,0.0000000
1384.5671,1.0066982e-11,0.0000000
1385.5671,1.0043654e-11,0.0000000
1386.5672,1.0015682e-11,0.0000000
1387.5673,9.9908350e-12,0.0000000
1388.5674,9.9682525e-12,0.0000000
1389.5675,9.9445299e-12,0.0000000
1390.5676,9.9204819e-12,0.0000000
1391.5677,9.8954215e-12,0.0000000
1392.5678,9.8681215e-12,0.0000000
1393.5679,9.8454151e-12,0.0000000
1394.5680,9.8228407e-12,0.0000000
1395.5681,9.7992640e-12,0.0000000
1396.5682,9.7750920e-12,0.0000000
1397.5683,9.7505151e-12,0.0000000
1398.5684,9.7253137e-12,0.0000000
1399.5685,9.7015252e-12,0.0000000
1400.5686,9.6778386e-12,0.0000000
1401.5687,9.6553475e-12,0.0000000
1402.5688,9.6327144e-12,0.0000000
1403.5689,9.6097306e-12,0.0000000
1404.5690,9.5859758e-12,0.0000000
1405.5691,9.5615527e-12,0.0000000
1406.5692,9.5400498e-12,0.0000000
1407.5693,9.5160749e-12,0.0000000
1408.5694,9.4895752e-12,0.0000000
1409.5695,9.4653926e-12,0.0000000
1410.5696,9.4445508e-12,0.0000000
1411.5697,9.4206040e-12,0.0000000
1412.5698,9.3996553e-12,0.0000000
1413.5699,9.3751084e-12,0.0000000
1414.5700,9.3534409e-12,0.0000000
1415.5701,9.3288409e-12,0.0000000
1416.5702,9.3083380e-12,0.0000000
1417.5703,9.2849689e-12,0.0000000
1418.5704,9.2629870e-12,0.0000000
1419.5705,9.2403999e-12,0.0000000
1420.5706,9.2176540e-12,0.0000000
1421.5707,9.1960636e-12,0.0000000
1422.5708,9.1744403e-12,0.0000000
1423.5709,9.1528465e-12,0.0000000
1424.5711,9.1311089e-12,0.0000000
1425.5712,9.1092593e-12,0.0000000
1426.5713,9.0866313e-12,0.0000000
1427.5714,9.0640336e-12,0.0000000
1428.5715,9.0424406e-12,0.0000000
1429.5716,9.0210941e-12,0.0000000
1430.5717,8.9996744e-12,0.0000000
1431.5718,8.9783656e-12,0.0000000
1432.5719,8.9569228e-12,0.0000000
1433.5720,8.9360310e-12,0.0000000
1434.5722,8.9146842e-12,0.0000000
1435.5723,8.8933016e-12,0.0000000
1436.5724,8.8719383e-12,0.0000000
1437.5725,8.8507221e-12,0.0000000
1438.5726,8.8293639e-12,0.0000000
1439.5727,8.8089848e-12,0.0000000
1440.5728,8.7867778e-12,0.0000000
1441.5729,8.7666661e-12,0.0000000
1442.5731,8.7448183e-12,0.0000000
1443.5732,8.7251062e-12,0.0000000
1444.5733,8.7028656e-12,0.0000000
1445.5734,8.6831578e-12,0.0000000
1446.5735,8.6634902e-12,0.0000000
1447.5736,8.6416168e-12,0.0000000
1448.5738,8.6219651e-12,0.0000000
1449.5739,8.6008847e-12,0.0000000
1450.5740,8.5806331e-12,0.0000000
1451.5741,8.5600379e-12,0.0000000
1452.5742,8.5397953e-12,0.0000000
1453.5743,8.5197619e-12,0.0000000
1454.5745,8.4996768e-12,0.0000000
1455.5746,8.4795607e-12,0.0000000
1456.5747,8.4593466e-12,0.0000000
1457.5748,8.4392289e-12,0.0000000
1458.5749,8.4194284e-12,0.0000000
1459.5751,8.3995700e-12,0.0000000
1460.5752,8.3799992e-12,0.0000000
1461.5753,8.3599921e-12,0.0000000
1462.5754,8.3404271e-12,0.0000000
1463.5756,8.3205559e-12,0.0000000
1464.5757,8.3013653e-12,0.0000000
1465.5758,8.2817285e-12,0.0000000
