wave,flux
338.000,4.15145e-15
340.000,4.06162e-15
342.000,3.97422e-15
344.000,3.88916e-15
346.000,3.80637e-15
348.000,3.72577e-15
350.000,3.64731e-15
352.000,3.57090e-15
354.000,3.49650e-15
356.000,3.42403e-15
358.000,3.35343e-15
360.000,3.28464e-15
362.000,3.21763e-15
364.000,3.15231e-15
366.000,3.08754e-15
368.000,3.02438e-15
370.000,2.96271e-15
372.000,2.90227e-15
374.000,2.84366e-15
376.000,2.78752e-15
378.000,2.73466e-15
380.000,2.68397e-15
382.000,2.63538e-15
384.000,2.58493e-15
386.000,2.54671e-15
388.000,2.47686e-15
390.000,2.43718e-15
392.000,2.42794e-15
394.000,2.37459e-15
396.000,2.26234e-15
398.000,2.21326e-15
400.000,2.25520e-15
402.000,2.24709e-15
404.000,2.21131e-15
406.000,2.15258e-15
408.000,2.04971e-15
410.000,1.89360e-15
412.000,1.94810e-15
414.000,1.99634e-15
416.000,1.99023e-15
418.000,1.96577e-15
420.000,1.93499e-15
422.000,1.90176e-15
424.000,1.86709e-15
426.000,1.83051e-15
428.000,1.78935e-15
430.000,1.73460e-15
432.000,1.63717e-15
434.000,1.49096e-15
436.000,1.56668e-15
438.000,1.61515e-15
440.000,1.61218e-15
442.000,1.59366e-15
444.000,1.57040e-15
446.000,1.54562e-15
448.000,1.52049e-15
450.000,1.49546e-15
452.000,1.47071e-15
454.000,1.44635e-15
456.000,1.42240e-15
458.000,1.39888e-15
460.000,1.37580e-15
462.000,1.35314e-15
464.000,1.33090e-15
466.000,1.30905e-15
468.000,1.28756e-15
470.000,1.26638e-15
472.000,1.24543e-15
474.000,1.22456e-15
476.000,1.20347e-15
478.000,1.18150e-15
480.000,1.15691e-15
482.000,1.12437e-15
484.000,1.06672e-15
486.000,9.75058e-16
488.000,1.01836e-15
490.000,1.05168e-15
492.000,1.05187e-15
494.000,1.04180e-15
496.000,1.02850e-15
498.000,1.01413e-15
500.000,9.99423e-16
502.000,9.84703e-16
504.000,9.70093e-16
506.000,9.55678e-16
508.000,9.41477e-16
510.000,9.27670e-16
512.000,9.14098e-16
514.000,9.00587e-16
516.000,8.87319e-16
518.000,8.74287e-16
520.000,8.61487e-16
522.000,8.48918e-16
524.000,8.36576e-16
526.000,8.24453e-16
528.000,8.12549e-16
530.000,8.00857e-16
532.000,7.89375e-16
534.000,7.78097e-16
536.000,7.67020e-16
538.000,7.56138e-16
540.000,7.45450e-16
542.000,7.34948e-16
544.000,7.24668e-16
546.000,7.14531e-16
548.000,7.04570e-16
550.000,6.94782e-16
552.000,6.85163e-16
554.000,6.75711e-16
556.000,6.66422e-16
558.000,6.57292e-16
560.000,6.48318e-16
562.000,6.39498e-16
564.000,6.30827e-16
566.000,6.22303e-16
568.000,6.13922e-16
570.000,6.05683e-16
572.000,5.97582e-16
574.000,5.89616e-16
576.000,5.81783e-16
578.000,5.74079e-16
580.000,5.66504e-16
582.000,5.59052e-16
584.000,5.51723e-16
586.000,5.44514e-16
588.000,5.37423e-16
590.000,5.30446e-16
592.000,5.23584e-16
594.000,5.16832e-16
596.000,5.10173e-16
598.000,5.03619e-16
600.000,4.97185e-16
602.000,4.90854e-16
604.000,4.84623e-16
606.000,4.78491e-16
608.000,4.72454e-16
610.000,4.66513e-16
612.000,4.60664e-16
614.000,4.54906e-16
616.000,4.49237e-16
618.000,4.43656e-16
620.000,4.38159e-16
622.000,4.32746e-16
624.000,4.27414e-16
626.000,4.22163e-16
628.000,4.16988e-16
630.000,4.11888e-16
632.000,4.06860e-16
634.000,4.01901e-16
636.000,3.97006e-16
638.000,3.92168e-16
640.000,3.87378e-16
642.000,3.82619e-16
644.000,3.77862e-16
646.000,3.73047e-16
648.000,3.68047e-16
650.000,3.62511e-16
652.000,3.55382e-16
654.000,3.43108e-16
656.000,3.20332e-16
658.000,3.28179e-16
660.000,3.36924e-16
662.000,3.37153e-16
664.000,3.34781e-16
666.000,3.31591e-16
668.000,3.28112e-16
670.000,3.24536e-16
672.000,3.20937e-16
674.000,3.17349e-16
676.000,3.13788e-16
678.000,3.10263e-16
680.000,3.06777e-16
682.000,3.03336e-16
684.000,2.99937e-16
686.000,2.96585e-16
688.000,2.93317e-16
690.000,2.90094e-16
692.000,2.86873e-16
694.000,2.83697e-16
696.000,2.80562e-16
698.000,2.77471e-16
700.000,2.74327e-16
702.000,2.71273e-16
704.000,2.68310e-16
706.000,2.65398e-16
708.000,2.62511e-16
710.000,2.59663e-16
712.000,2.56857e-16
714.000,2.54088e-16
716.000,2.51353e-16
718.000,2.48669e-16
720.000,2.46018e-16
722.000,2.43387e-16
724.000,2.40782e-16
726.000,2.38252e-16
728.000,2.35734e-16
730.000,2.33247e-16
732.000,2.30776e-16
734.000,2.28355e-16
736.000,2.25963e-16
738.000,2.23611e-16
740.000,2.21272e-16
742.000,2.18984e-16
744.000,2.16719e-16
746.000,2.14463e-16
748.000,2.12259e-16
750.000,2.10083e-16
752.000,2.07926e-16
754.000,2.05809e-16
756.000,2.03703e-16
758.000,2.01622e-16
760.000,1.99589e-16
762.000,1.97564e-16
764.000,1.95556e-16
766.000,1.93602e-16
768.000,1.91648e-16
770.000,1.89734e-16
772.000,1.87840e-16
774.000,1.85968e-16
776.000,1.84120e-16
778.000,1.82299e-16
780.000,1.80500e-16
782.000,1.78710e-16
784.000,1.76954e-16
786.000,1.75212e-16
788.000,1.73494e-16
790.000,1.71808e-16
792.000,1.70126e-16
794.000,1.68481e-16
796.000,1.66836e-16
798.000,1.65211e-16
800.000,1.63630e-16
802.000,1.62046e-16
804.000,1.60501e-16
806.000,1.58962e-16
808.000,1.57434e-16
810.000,1.55944e-16
812.000,1.54452e-16
814.000,1.52997e-16
816.000,1.51540e-16
818.000,1.50120e-16
820.000,1.48699e-16
822.000,1.47307e-16
824.000,1.45918e-16
826.000,1.44554e-16
828.000,1.43208e-16
830.000,1.41856e-16
832.000,1.40544e-16
834.000,1.39243e-16
836.000,1.37952e-16
838.000,1.36676e-16
840.000,1.35415e-16
842.000,1.34172e-16
844.000,1.32939e-16
846.000,1.31721e-16
848.000,1.30514e-16
850.000,1.29335e-16
852.000,1.28155e-16
854.000,1.26991e-16
856.000,1.25840e-16
858.000,1.24703e-16
860.000,1.23592e-16
862.000,1.22463e-16
864.000,1.21376e-16
866.000,1.20298e-16
868.000,1.19223e-16
870.000,1.18163e-16
872.000,1.17110e-16
874.000,1.16083e-16
876.000,1.15054e-16
878.000,1.14041e-16
880.000,1.13033e-16
882.000,1.12050e-16
884.000,1.11071e-16
886.000,1.10128e-16
888.000,1.09164e-16
890.000,1.08210e-16
892.000,1.07279e-16
894.000,1.06350e-16
896.000,1.05426e-16
898.000,1.04511e-16
900.000,1.03630e-16
902.000,1.02754e-16
904.000,1.01873e-16
906.000,1.01022e-16
908.000,1.00187e-16
910.000,9.93349e-17
912.000,9.84971e-17
914.000,9.76461e-17
916.000,9.67925e-17
918.000,9.59195e-17
920.000,9.50681e-17
922.000,9.42883e-17
924.000,9.35030e-17
926.000,9.27344e-17
928.000,9.20386e-17
930.000,9.13329e-17
932.000,9.06054e-17
934.000,8.98952e-17
936.000,8.91708e-17
938.000,8.84390e-17
940.000,8.76982e-17
942.000,8.69512e-17
944.000,8.61946e-17
946.000,8.54238e-17
948.000,8.46364e-17
950.000,8.38338e-17
952.000,8.30564e-17
954.000,8.23941e-17
956.000,8.17164e-17
958.000,8.11065e-17
960.000,8.05729e-17
962.000,8.00330e-17
964.000,7.94749e-17
966.000,7.88984e-17
968.000,7.83118e-17
970.000,7.77184e-17
972.000,7.71215e-17
974.000,7.65223e-17
976.000,7.59223e-17
978.000,7.53244e-17
980.000,7.47260e-17
982.000,7.41284e-17
984.000,7.35308e-17
986.000,7.29327e-17
988.000,7.23314e-17
990.000,7.17231e-17
992.000,7.11071e-17
994.000,7.04715e-17
996.000,6.98166e-17
998.000,6.91271e-17
1000.00,6.83806e-17
1002.00,6.76263e-17
1004.00,6.70528e-17
1006.00,6.65366e-17
1008.00,6.61039e-17
1010.00,6.58155e-17
1012.00,6.54952e-17
1014.00,6.51294e-17
1016.00,6.47269e-17
1018.00,6.43008e-17
1020.00,6.38591e-17
