wave,flux
338.000,4.11773e-15
340.000,4.02863e-15
342.000,3.94194e-15
344.000,3.85757e-15
346.000,3.77545e-15
348.000,3.69551e-15
350.000,3.61768e-15
352.000,3.54190e-15
354.000,3.46810e-15
356.000,3.39621e-15
358.000,3.32619e-15
360.000,3.25796e-15
362.000,3.19149e-15
364.000,3.12670e-15
366.000,3.06247e-15
368.000,2.99982e-15
370.000,2.93865e-15
372.000,2.87870e-15
374.000,2.82057e-15
376.000,2.76487e-15
378.000,2.71245e-15
380.000,2.66216e-15
382.000,2.61397e-15
384.000,2.56394e-15
386.000,2.52602e-15
388.000,2.45674e-15
390.000,2.41739e-15
392.000,2.40821e-15
394.000,2.35530e-15
396.000,2.24396e-15
398.000,2.19528e-15
400.000,2.23688e-15
402.000,2.22884e-15
404.000,2.19334e-15
406.000,2.13509e-15
408.000,2.03306e-15
410.000,1.87822e-15
412.000,1.93228e-15
414.000,1.98012e-15
416.000,1.97406e-15
418.000,1.94981e-15
420.000,1.91927e-15
422.000,1.88631e-15
424.000,1.85193e-15
426.000,1.81565e-15
428.000,1.77481e-15
430.000,1.72051e-15
432.000,1.62388e-15
434.000,1.47885e-15
436.000,1.55395e-15
438.000,1.60203e-15
440.000,1.59908e-15
442.000,1.58072e-15
444.000,1.55765e-15
446.000,1.53307e-15
448.000,1.50814e-15
450.000,1.48331e-15
452.000,1.45877e-15
454.000,1.43460e-15
456.000,1.41084e-15
458.000,1.38752e-15
460.000,1.36462e-15
462.000,1.34215e-15
464.000,1.32009e-15
466.000,1.29842e-15
468.000,1.27710e-15
470.000,1.25609e-15
472.000,1.23531e-15
474.000,1.21461e-15
476.000,1.19370e-15
478.000,1.17191e-15
480.000,1.14751e-15
482.000,1.11524e-15
484.000,1.05806e-15
486.000,9.67138e-16
488.000,1.01009e-15
490.000,1.04314e-15
492.000,1.04333e-15
494.000,1.03334e-15
496.000,1.02014e-15
498.000,1.00589e-15
500.000,9.91305e-16
502.000,9.76704e-16
504.000,9.62214e-16
506.000,9.47915e-16
508.000,9.33830e-16
510.000,9.20135e-16
512.000,9.06674e-16
514.000,8.93272e-16
516.000,8.80112e-16
518.000,8.67186e-16
520.000,8.54490e-16
522.000,8.42023e-16
524.000,8.29781e-16
526.000,8.17757e-16
528.000,8.05949e-16
530.000,7.94352e-16
532.000,7.82963e-16
534.000,7.71777e-16
536.000,7.60790e-16
538.000,7.49996e-16
540.000,7.39395e-16
542.000,7.28979e-16
544.000,7.18782e-16
546.000,7.08727e-16
548.000,6.98847e-16
550.000,6.89138e-16
552.000,6.79598e-16
554.000,6.70222e-16
556.000,6.61009e-16
558.000,6.51953e-16
560.000,6.43052e-16
562.000,6.34303e-16
564.000,6.25703e-16
566.000,6.17248e-16
568.000,6.08936e-16
570.000,6.00764e-16
572.000,5.92728e-16
574.000,5.84827e-16
576.000,5.77057e-16
578.000,5.69416e-16
580.000,5.61902e-16
582.000,5.54511e-16
584.000,5.47241e-16
586.000,5.40091e-16
588.000,5.33057e-16
590.000,5.26138e-16
592.000,5.19331e-16
594.000,5.12634e-16
596.000,5.06029e-16
598.000,4.99528e-16
600.000,4.93147e-16
602.000,4.86867e-16
604.000,4.80687e-16
606.000,4.74604e-16
608.000,4.68616e-16
610.000,4.62724e-16
612.000,4.56922e-16
614.000,4.51211e-16
616.000,4.45588e-16
618.000,4.40052e-16
620.000,4.34600e-16
622.000,4.29231e-16
624.000,4.23942e-16
626.000,4.18733e-16
628.000,4.13601e-16
630.000,4.08543e-16
632.000,4.03556e-16
634.000,3.98637e-16
636.000,3.93781e-16
638.000,3.88982e-16
640.000,3.84231e-16
642.000,3.79512e-16
644.000,3.74793e-16
646.000,3.70017e-16
648.000,3.65057e-16
650.000,3.59566e-16
652.000,3.52496e-16
654.000,3.40321e-16
656.000,3.17730e-16
658.000,3.25513e-16
660.000,3.34187e-16
662.000,3.34414e-16
664.000,3.32062e-16
666.000,3.28897e-16
668.000,3.25447e-16
670.000,3.21900e-16
672.000,3.18330e-16
674.000,3.14771e-16
676.000,3.11239e-16
678.000,3.07743e-16
680.000,3.04285e-16
682.000,3.00872e-16
684.000,2.97501e-16
686.000,2.94176e-16
688.000,2.90935e-16
690.000,2.87738e-16
692.000,2.84543e-16
694.000,2.81393e-16
696.000,2.78283e-16
698.000,2.75218e-16
700.000,2.72099e-16
702.000,2.69069e-16
704.000,2.66130e-16
706.000,2.63242e-16
708.000,2.60379e-16
710.000,2.57553e-16
712.000,2.54771e-16
714.000,2.52024e-16
716.000,2.49312e-16
718.000,2.46649e-16
720.000,2.44020e-16
722.000,2.41410e-16
724.000,2.38827e-16
726.000,2.36317e-16
728.000,2.33819e-16
730.000,2.31352e-16
732.000,2.28901e-16
734.000,2.26500e-16
736.000,2.24128e-16
738.000,2.21795e-16
740.000,2.19475e-16
742.000,2.17205e-16
744.000,2.14959e-16
746.000,2.12721e-16
748.000,2.10535e-16
750.000,2.08377e-16
752.000,2.06237e-16
754.000,2.04137e-16
756.000,2.02048e-16
758.000,1.99984e-16
760.000,1.97968e-16
762.000,1.95959e-16
764.000,1.93967e-16
766.000,1.92030e-16
768.000,1.90091e-16
770.000,1.88193e-16
772.000,1.86315e-16
774.000,1.84458e-16
776.000,1.82624e-16
778.000,1.80818e-16
780.000,1.79034e-16
782.000,1.77258e-16
784.000,1.75517e-16
786.000,1.73789e-16
788.000,1.72085e-16
790.000,1.70412e-16
792.000,1.68744e-16
794.000,1.67112e-16
796.000,1.65481e-16
798.000,1.63869e-16
800.000,1.62301e-16
802.000,1.60730e-16
