wave,flux,fluxerr
135.05642,2.3558724e-12,0.0000000
135.15643,2.3502404e-12,0.0000000
135.25644,2.3447080e-12,0.0000000
135.35644,2.3394109e-12,0.0000000
135.45645,2.3339105e-12,0.0000000
135.55646,2.3283044e-12,0.0000000
135.65647,2.3228056e-12,0.0000000
135.75648,2.3173576e-12,0.0000000
135.85648,2.3120792e-12,0.0000000
135.95649,2.3066031e-12,0.0000000
136.05650,2.3012132e-12,0.0000000
136.15651,2.2957683e-12,0.0000000
136.25652,2.2905516e-12,0.0000000
136.35652,2.2851253e-12,0.0000000
136.45653,2.2798598e-12,0.0000000
136.55654,2.2744751e-12,0.0000000
136.65655,2.2691793e-12,0.0000000
136.75656,2.2638430e-12,0.0000000
136.85657,2.2586634e-12,0.0000000
136.95657,2.2532642e-12,0.0000000
137.05658,2.2480622e-12,0.0000000
137.15659,2.2428362e-12,0.0000000
137.25660,2.2376541e-12,0.0000000
137.35661,2.2324909e-12,0.0000000
137.45662,2.2273073e-12,0.0000000
137.55663,2.2219003e-12,0.0000000
137.65663,2.2169489e-12,0.0000000
137.75664,2.2117873e-12,0.0000000
137.85665,2.2066019e-12,0.0000000
137.95666,2.2014608e-12,0.0000000
138.05667,2.1963186e-12,0.0000000
138.15668,2.1914708e-12,0.0000000
138.25669,2.1862083e-12,0.0000000
138.35670,2.1813289e-12,0.0000000
138.45671,2.1762911e-12,0.0000000
138.55671,2.1712317e-12,0.0000000
138.65672,2.1661928e-12,0.0000000
138.75673,2.1612483e-12,0.0000000
138.85674,2.1563257e-12,0.0000000
138.95675,2.1512763e-12,0.0000000
139.05676,2.1462320e-12,0.0000000
139.15677,2.1412874e-12,0.0000000
139.25678,2.1364128e-12,0.0000000
139.35679,2.1314820e-12,0.0000000
139.45680,2.1265895e-12,0.0000000
139.55681,2.1217858e-12,0.0000000
139.65682,2.1167678e-12,0.0000000
139.75683,2.1119836e-12,0.0000000
139.85684,2.1071982e-12,0.0000000
139.95685,2.1022731e-12,0.0000000
140.05686,2.0974457e-12,0.0000000
140.15687,2.0926135e-12,0.0000000
140.25688,2.0878826e-12,0.0000000
140.35689,2.0832496e-12,0.0000000
140.45690,2.0785367e-12,0.0000000
140.55691,2.0735385e-12,0.0000000
140.65692,2.0688364e-12,0.0000000
140.75693,2.0640172e-12,0.0000000
140.85694,2.0592940e-12,0.0000000
140.95695,2.0546742e-12,0.0000000
141.05696,2.0500502e-12,0.0000000
141.15697,2.0454092e-12,0.0000000
141.25698,2.0407236e-12,0.0000000
141.35699,2.0359588e-12,0.0000000
141.45700,2.0314876e-12,0.0000000
141.55701,2.0267702e-12,0.0000000
141.65702,2.0222073e-12,0.0000000
141.75703,2.0175800e-12,0.0000000
141.85704,2.0131984e-12,0.0000000
141.95705,2.0085716e-12,0.0000000
142.05706,2.0041713e-12,0.0000000
142.15707,1.9995267e-12,0.0000000
142.25708,1.9948727e-12,0.0000000
142.35709,1.9905291e-12,0.0000000
142.45711,1.9858752e-12,0.0000000
142.55712,1.9812520e-12,0.0000000
142.65713,1.9768788e-12,0.0000000
142.75714,1.9724796e-12,0.0000000
142.85715,1.9681270e-12,0.0000000
142.95716,1.9637175e-12,0.0000000
143.05717,1.9591358e-12,0.0000000
143.15718,1.9549202e-12,0.0000000
143.25719,1.9503999e-12,0.0000000
143.35720,1.9458901e-12,0.0000000
143.45722,1.9416346e-12,0.0000000
143.55723,1.9372948e-12,0.0000000
143.65724,1.9329423e-12,0.0000000
143.75725,1.9286264e-12,0.0000000
143.85726,1.9241083e-12,0.0000000
143.95727,1.9201041e-12,0.0000000
144.05728,1.9156291e-12,0.0000000
144.15729,1.9113549e-12,0.0000000
144.25731,1.9070492e-12,0.0000000
144.35732,1.9028796e-12,0.0000000
144.45733,1.8983847e-12,0.0000000
144.55734,1.8943946e-12,0.0000000
144.65735,1.8901430e-12,0.0000000
144.75736,1.8859342e-12,0.0000000
144.85738,1.8816757e-12,0.0000000
144.95739,1.8774714e-12,0.0000000
145.05740,1.8732037e-12,0.0000000
145.15741,1.8692987e-12,0.0000000
145.25742,1.8648996e-12,0.0000000
145.35743,1.8608069e-12,0.0000000
145.45745,1.8566214e-12,0.0000000
145.55746,1.8524471e-12,0.0000000
145.65747,1.8485693e-12,0.0000000
145.75748,1.8441663e-12,0.0000000
145.85749,1.8402884e-12,0.0000000
145.95751,1.8361616e-12,0.0000000
146.05752,1.8321972e-12,0.0000000
146.15753,1.8281386e-12,0.0000000
146.25754,1.8239763e-12,0.0000000
146.35756,1.8201054e-12,0.0000000
146.45757,1.8160692e-12,0.0000000
146.55758,1.8118390e-12,0.0000000
146.65759,1.8079668e-12,0.0000000
146.75760,1.8040968e-12,0.0000000
146.85762,1.7999319e-12,0.0000000
146.95763,1.7960828e-12,0.0000000
147.05764,1.7922134e-12,0.0000000
147.15765,1.7883623e-12,0.0000000
147.25767,1.7841850e-12,0.0000000
147.35768,1.7803273e-12,0.0000000
147.45769,1.7764590e-12,0.0000000
147.55770,1.7726080e-12,0.0000000
147.65772,1.7687574e-12,0.0000000
147.75773,1.7648884e-12,0.0000000
147.85774,1.7610339e-12,0.0000000
147.95776,1.7571772e-12,0.0000000
148.05777,1.7533305e-12,0.0000000
148.15778,1.7494604e-12,0.0000000
148.25779,1.7456110e-12,0.0000000
148.35781,1.7419958e-12,0.0000000
148.45782,1.7381447e-12,0.0000000
148.55783,1.7342889e-12,0.0000000
148.65785,1.7305285e-12,0.0000000
148.75786,1.7266336e-12,0.0000000
148.85787,1.7226874e-12,0.0000000
148.95788,1.7189345e-12,0.0000000
149.05790,1.7151536e-12,0.0000000
149.15791,1.7116301e-12,0.0000000
149.25792,1.7078709e-12,0.0000000
149.35794,1.7041110e-12,0.0000000
149.45795,1.7006281e-12,0.0000000
149.55796,1.6968750e-12,0.0000000
149.65798,1.6933531e-12,0.0000000
149.75799,1.6895997e-12,0.0000000
149.85800,1.6858374e-12,0.0000000
149.95802,1.6820772e-12,0.0000000
150.05803,1.6785528e-12,0.0000000
