wave,flux
338.000,1.10151e-15
340.000,1.07903e-15
342.000,1.05712e-15
344.000,1.03577e-15
346.000,1.01497e-15
348.000,9.94682e-16
350.000,9.74906e-16
352.000,9.55623e-16
354.000,9.36817e-16
356.000,9.18475e-16
358.000,9.00584e-16
360.000,8.83130e-16
362.000,8.66099e-16
364.000,8.49480e-16
366.000,8.32459e-16
368.000,8.15755e-16
370.000,7.99366e-16
372.000,7.83276e-16
374.000,7.68204e-16
376.000,7.54547e-16
378.000,7.42641e-16
380.000,7.30253e-16
382.000,7.20485e-16
384.000,7.03259e-16
386.000,7.06383e-16
388.000,6.69068e-16
390.000,6.62009e-16
392.000,6.89046e-16
394.000,6.72076e-16
396.000,6.01361e-16
398.000,5.82820e-16
400.000,6.44481e-16
402.000,6.61137e-16
404.000,6.54468e-16
406.000,6.28708e-16
408.000,5.71278e-16
410.000,4.71868e-16
412.000,5.31448e-16
414.000,5.82799e-16
416.000,5.97242e-16
418.000,5.97124e-16
420.000,5.91072e-16
422.000,5.82215e-16
424.000,5.71474e-16
426.000,5.58468e-16
428.000,5.40918e-16
430.000,5.12452e-16
432.000,4.57748e-16
434.000,3.69125e-16
436.000,4.33240e-16
438.000,4.77056e-16
440.000,4.89692e-16
442.000,4.90053e-16
444.000,4.85741e-16
446.000,4.79646e-16
448.000,4.72823e-16
450.000,4.65697e-16
452.000,4.58466e-16
454.000,4.51228e-16
456.000,4.44037e-16
458.000,4.36916e-16
460.000,4.29880e-16
462.000,4.22930e-16
464.000,4.16059e-16
466.000,4.09254e-16
468.000,4.02486e-16
470.000,3.95711e-16
472.000,3.88848e-16
474.000,3.81751e-16
476.000,3.74127e-16
478.000,3.65362e-16
480.000,3.54044e-16
482.000,3.36674e-16
484.000,3.04236e-16
486.000,2.47463e-16
488.000,2.85283e-16
490.000,3.13566e-16
492.000,3.22162e-16
494.000,3.23183e-16
496.000,3.21164e-16
498.000,3.17854e-16
500.000,3.13967e-16
502.000,3.09822e-16
504.000,3.05570e-16
506.000,3.01289e-16
508.000,2.97020e-16
510.000,2.92839e-16
512.000,2.88707e-16
514.000,2.84577e-16
516.000,2.80509e-16
518.000,2.76505e-16
520.000,2.72564e-16
522.000,2.68689e-16
524.000,2.64879e-16
526.000,2.61134e-16
528.000,2.57453e-16
530.000,2.53834e-16
532.000,2.50277e-16
534.000,2.46782e-16
536.000,2.43347e-16
538.000,2.39970e-16
540.000,2.36651e-16
542.000,2.33389e-16
544.000,2.30226e-16
546.000,2.27074e-16
548.000,2.23973e-16
550.000,2.20926e-16
552.000,2.17929e-16
554.000,2.14984e-16
556.000,2.12088e-16
558.000,2.09241e-16
560.000,2.06442e-16
562.000,2.03689e-16
564.000,2.00982e-16
566.000,1.98320e-16
568.000,1.95702e-16
570.000,1.93127e-16
572.000,1.90595e-16
574.000,1.88103e-16
576.000,1.85653e-16
578.000,1.83242e-16
580.000,1.80870e-16
582.000,1.78537e-16
584.000,1.76241e-16
586.000,1.73982e-16
588.000,1.71758e-16
590.000,1.69572e-16
592.000,1.67419e-16
594.000,1.65300e-16
596.000,1.63196e-16
598.000,1.61122e-16
600.000,1.59099e-16
602.000,1.57108e-16
604.000,1.55148e-16
606.000,1.53218e-16
608.000,1.51317e-16
610.000,1.49445e-16
612.000,1.47601e-16
614.000,1.45784e-16
616.000,1.43995e-16
618.000,1.42231e-16
620.000,1.40493e-16
622.000,1.38779e-16
624.000,1.37088e-16
626.000,1.35421e-16
628.000,1.33774e-16
630.000,1.32147e-16
632.000,1.30537e-16
634.000,1.28941e-16
636.000,1.27356e-16
638.000,1.25773e-16
640.000,1.24184e-16
642.000,1.22569e-16
644.000,1.20895e-16
646.000,1.19101e-16
648.000,1.17052e-16
650.000,1.14441e-16
652.000,1.10493e-16
654.000,1.03106e-16
656.000,8.79441e-17
658.000,9.59395e-17
660.000,1.03788e-16
662.000,1.06142e-16
664.000,1.06481e-16
666.000,1.06022e-16
668.000,1.05221e-16
670.000,1.04262e-16
672.000,1.03230e-16
674.000,1.02162e-16
676.000,1.01080e-16
678.000,9.99942e-17
680.000,9.89120e-17
682.000,9.78365e-17
684.000,9.67705e-17
686.000,9.57151e-17
688.000,9.46845e-17
690.000,9.36659e-17
692.000,9.26463e-17
694.000,9.16400e-17
696.000,9.06463e-17
698.000,8.96651e-17
700.000,8.86385e-17
702.000,8.76276e-17
704.000,8.66855e-17
706.000,8.57539e-17
708.000,8.48482e-17
710.000,8.39424e-17
712.000,8.30471e-17
714.000,8.21603e-17
716.000,8.12855e-17
718.000,8.04261e-17
720.000,7.95795e-17
722.000,7.87480e-17
724.000,7.79212e-17
726.000,7.71105e-17
728.000,7.63136e-17
730.000,7.55093e-17
732.000,7.47257e-17
734.000,7.39549e-17
736.000,7.31869e-17
738.000,7.24445e-17
740.000,7.16967e-17
742.000,7.09638e-17
744.000,7.02351e-17
746.000,6.95241e-17
748.000,6.88107e-17
750.000,6.81115e-17
752.000,6.74307e-17
754.000,6.67518e-17
756.000,6.60736e-17
758.000,6.54126e-17
760.000,6.47595e-17
762.000,6.41143e-17
764.000,6.34719e-17
766.000,6.28374e-17
768.000,6.22128e-17
770.000,6.16021e-17
772.000,6.09906e-17
774.000,6.03941e-17
776.000,5.98033e-17
778.000,5.92170e-17
780.000,5.86408e-17
782.000,5.80657e-17
784.000,5.75015e-17
786.000,5.69436e-17
788.000,5.63932e-17
790.000,5.58488e-17
792.000,5.53114e-17
794.000,5.47805e-17
796.000,5.42556e-17
798.000,5.37375e-17
800.000,5.32241e-17
802.000,5.27192e-17
804.000,5.22172e-17
806.000,5.17250e-17
808.000,5.12352e-17
810.000,5.07529e-17
812.000,5.02750e-17
814.000,4.98031e-17
816.000,4.93374e-17
818.000,4.88772e-17
820.000,4.84223e-17
822.000,4.79713e-17
824.000,4.75271e-17
826.000,4.70885e-17
828.000,4.66511e-17
830.000,4.62047e-17
832.000,4.57777e-17
834.000,4.53570e-17
836.000,4.49405e-17
838.000,4.45288e-17
840.000,4.41222e-17
842.000,4.37192e-17
844.000,4.33202e-17
846.000,4.29263e-17
848.000,4.25366e-17
850.000,4.21523e-17
852.000,4.17715e-17
854.000,4.13950e-17
856.000,4.10235e-17
858.000,4.06556e-17
860.000,4.02932e-17
862.000,3.99353e-17
864.000,3.95815e-17
866.000,3.92325e-17
868.000,3.88898e-17
870.000,3.85513e-17
872.000,3.82137e-17
874.000,3.78799e-17
876.000,3.75572e-17
878.000,3.72393e-17
880.000,3.69209e-17
882.000,3.65986e-17
884.000,3.62701e-17
886.000,3.59593e-17
888.000,3.56667e-17
890.000,3.53909e-17
892.000,3.51107e-17
894.000,3.48132e-17
896.000,3.44968e-17
898.000,3.41628e-17
900.000,3.38364e-17
902.000,3.35537e-17
904.000,3.33187e-17
906.000,3.31079e-17
908.000,3.28832e-17
910.000,3.26347e-17
912.000,3.23602e-17
914.000,3.20590e-17
916.000,3.17265e-17
918.000,3.13584e-17
920.000,3.09653e-17
922.000,3.06136e-17
924.000,3.03799e-17
926.000,3.02594e-17
928.000,3.01633e-17
930.000,3.00367e-17
932.000,2.98745e-17
934.000,2.96837e-17
936.000,2.94709e-17
938.000,2.92375e-17
940.000,2.89862e-17
942.000,2.87137e-17
944.000,2.84166e-17
946.000,2.80898e-17
948.000,2.77187e-17
950.000,2.72949e-17
952.000,2.68324e-17
954.000,2.64498e-17
956.000,2.62931e-17
958.000,2.63193e-17
960.000,2.63468e-17
962.000,2.63178e-17
964.000,2.62394e-17
966.000,2.61232e-17
968.000,2.59816e-17
970.000,2.58216e-17
972.000,2.56508e-17
974.000,2.54694e-17
976.000,2.52821e-17
978.000,2.50880e-17
980.000,2.48892e-17
982.000,2.46857e-17
984.000,2.44757e-17
986.000,2.42585e-17
988.000,2.40319e-17
990.000,2.37912e-17
992.000,2.35322e-17
994.000,2.32453e-17
996.000,2.29194e-17
998.000,2.25352e-17
1000.00,2.20680e-17
1002.00,2.14999e-17
1004.00,2.09465e-17
1006.00,2.08102e-17
1008.00,2.10577e-17
1010.00,2.12856e-17
1012.00,2.14007e-17
1014.00,2.14306e-17
1016.00,2.14029e-17
1018.00,2.13350e-17
1020.00,2.12405e-17
