wave,flux
338.000,1.08988e-15
340.000,1.06764e-15
342.000,1.04596e-15
344.000,1.02484e-15
346.000,1.00425e-15
348.000,9.84182e-16
350.000,9.64614e-16
352.000,9.45535e-16
354.000,9.26928e-16
356.000,9.08780e-16
358.000,8.91078e-16
360.000,8.73808e-16
362.000,8.56956e-16
364.000,8.40513e-16
366.000,8.23671e-16
368.000,8.07143e-16
370.000,7.90928e-16
372.000,7.75008e-16
374.000,7.60094e-16
376.000,7.46582e-16
378.000,7.34802e-16
380.000,7.22545e-16
382.000,7.12880e-16
384.000,6.95835e-16
386.000,6.98926e-16
388.000,6.62005e-16
390.000,6.55021e-16
392.000,6.81772e-16
394.000,6.64981e-16
396.000,5.95013e-16
398.000,5.76667e-16
400.000,6.37677e-16
402.000,6.54158e-16
404.000,6.47559e-16
406.000,6.22072e-16
408.000,5.65247e-16
410.000,4.66887e-16
412.000,5.25838e-16
414.000,5.76647e-16
416.000,5.90937e-16
418.000,5.90821e-16
420.000,5.84833e-16
422.000,5.76069e-16
424.000,5.65441e-16
426.000,5.52573e-16
428.000,5.35208e-16
430.000,5.07043e-16
432.000,4.52915e-16
434.000,3.65228e-16
436.000,4.28667e-16
438.000,4.72020e-16
440.000,4.84523e-16
442.000,4.84880e-16
444.000,4.80613e-16
446.000,4.74583e-16
448.000,4.67832e-16
450.000,4.60781e-16
452.000,4.53627e-16
454.000,4.46465e-16
456.000,4.39350e-16
458.000,4.32304e-16
460.000,4.25342e-16
462.000,4.18466e-16
464.000,4.11667e-16
466.000,4.04933e-16
468.000,3.98237e-16
470.000,3.91534e-16
472.000,3.84744e-16
474.000,3.77721e-16
476.000,3.70177e-16
478.000,3.61505e-16
480.000,3.50307e-16
482.000,3.33120e-16
484.000,3.01025e-16
486.000,2.44851e-16
488.000,2.82271e-16
490.000,3.10256e-16
492.000,3.18761e-16
494.000,3.19771e-16
496.000,3.17773e-16
498.000,3.14498e-16
500.000,3.10653e-16
502.000,3.06551e-16
504.000,3.02344e-16
506.000,2.98108e-16
508.000,2.93885e-16
510.000,2.89748e-16
512.000,2.85659e-16
514.000,2.81573e-16
516.000,2.77548e-16
518.000,2.73586e-16
520.000,2.69687e-16
522.000,2.65853e-16
524.000,2.62083e-16
526.000,2.58378e-16
528.000,2.54735e-16
530.000,2.51154e-16
532.000,2.47635e-16
534.000,2.44177e-16
536.000,2.40778e-16
538.000,2.37437e-16
540.000,2.34153e-16
542.000,2.30926e-16
544.000,2.27796e-16
546.000,2.24677e-16
548.000,2.21609e-16
550.000,2.18593e-16
552.000,2.15629e-16
554.000,2.12715e-16
556.000,2.09850e-16
558.000,2.07032e-16
560.000,2.04263e-16
562.000,2.01539e-16
564.000,1.98860e-16
566.000,1.96227e-16
568.000,1.93636e-16
570.000,1.91089e-16
572.000,1.88583e-16
574.000,1.86118e-16
576.000,1.83693e-16
578.000,1.81308e-16
580.000,1.78961e-16
582.000,1.76652e-16
584.000,1.74380e-16
586.000,1.72145e-16
588.000,1.69945e-16
590.000,1.67782e-16
592.000,1.65651e-16
594.000,1.63555e-16
596.000,1.61473e-16
598.000,1.59421e-16
600.000,1.57420e-16
602.000,1.55450e-16
604.000,1.53510e-16
606.000,1.51600e-16
608.000,1.49720e-16
610.000,1.47867e-16
612.000,1.46043e-16
614.000,1.44245e-16
616.000,1.42475e-16
618.000,1.40730e-16
620.000,1.39010e-16
622.000,1.37314e-16
624.000,1.35641e-16
626.000,1.33991e-16
628.000,1.32362e-16
630.000,1.30752e-16
632.000,1.29159e-16
634.000,1.27580e-16
636.000,1.26012e-16
638.000,1.24446e-16
640.000,1.22873e-16
642.000,1.21275e-16
644.000,1.19619e-16
646.000,1.17844e-16
648.000,1.15816e-16
650.000,1.13233e-16
652.000,1.09327e-16
654.000,1.02018e-16
656.000,8.70158e-17
658.000,9.49268e-17
660.000,1.02692e-16
662.000,1.05021e-16
664.000,1.05357e-16
666.000,1.04903e-16
668.000,1.04111e-16
670.000,1.03162e-16
672.000,1.02141e-16
674.000,1.01084e-16
676.000,1.00013e-16
678.000,9.89386e-17
680.000,9.78679e-17
682.000,9.68037e-17
684.000,9.57489e-17
686.000,9.47047e-17
688.000,9.36850e-17
690.000,9.26771e-17
692.000,9.16683e-17
694.000,9.06726e-17
696.000,8.96894e-17
698.000,8.87186e-17
700.000,8.77028e-17
702.000,8.67026e-17
704.000,8.57704e-17
706.000,8.48487e-17
708.000,8.39525e-17
710.000,8.30563e-17
712.000,8.21705e-17
714.000,8.12930e-17
716.000,8.04274e-17
718.000,7.95771e-17
720.000,7.87394e-17
722.000,7.79168e-17
724.000,7.70987e-17
726.000,7.62965e-17
728.000,7.55080e-17
730.000,7.47123e-17
732.000,7.39369e-17
734.000,7.31743e-17
736.000,7.24143e-17
738.000,7.16798e-17
740.000,7.09398e-17
742.000,7.02147e-17
744.000,6.94937e-17
746.000,6.87902e-17
748.000,6.80843e-17
750.000,6.73925e-17
752.000,6.67189e-17
754.000,6.60471e-17
756.000,6.53761e-17
758.000,6.47221e-17
760.000,6.40759e-17
762.000,6.34375e-17
764.000,6.28019e-17
766.000,6.21741e-17
768.000,6.15561e-17
770.000,6.09518e-17
772.000,6.03467e-17
774.000,5.97566e-17
776.000,5.91720e-17
778.000,5.85919e-17
780.000,5.80217e-17
782.000,5.74527e-17
784.000,5.68945e-17
786.000,5.63425e-17
788.000,5.57979e-17
790.000,5.52592e-17
792.000,5.47276e-17
794.000,5.42023e-17
796.000,5.36829e-17
798.000,5.31703e-17
800.000,5.26622e-17
802.000,5.21627e-17
804.000,5.16660e-17
806.000,5.11790e-17
808.000,5.06943e-17
810.000,5.02171e-17
812.000,4.97443e-17
814.000,4.92774e-17
816.000,4.88166e-17
818.000,4.83612e-17
820.000,4.79112e-17
822.000,4.74649e-17
824.000,4.70254e-17
826.000,4.65914e-17
828.000,4.61587e-17
830.000,4.57170e-17
832.000,4.52944e-17
834.000,4.48782e-17
836.000,4.44661e-17
838.000,4.40588e-17
840.000,4.36564e-17
842.000,4.32577e-17
844.000,4.28629e-17
846.000,4.24732e-17
848.000,4.20876e-17
850.000,4.17074e-17
852.000,4.13306e-17
854.000,4.09581e-17
856.000,4.05905e-17
858.000,4.02264e-17
860.000,3.98678e-17
862.000,3.95137e-17
864.000,3.91637e-17
866.000,3.88183e-17
868.000,3.84792e-17
870.000,3.81444e-17
872.000,3.78103e-17
874.000,3.74800e-17
876.000,3.71607e-17
878.000,3.68462e-17
880.000,3.65312e-17
882.000,3.62123e-17
884.000,3.58872e-17
886.000,3.55797e-17
888.000,3.52902e-17
890.000,3.50173e-17
892.000,3.47401e-17
894.000,3.44457e-17
896.000,3.41327e-17
898.000,3.38021e-17
900.000,3.34793e-17
902.000,3.31995e-17
904.000,3.29669e-17
906.000,3.27584e-17
908.000,3.25361e-17
910.000,3.22902e-17
912.000,3.20186e-17
914.000,3.17206e-17
916.000,3.13916e-17
918.000,3.10273e-17
920.000,3.06384e-17
922.000,3.02905e-17
924.000,3.00592e-17
926.000,2.99400e-17
928.000,2.98449e-17
930.000,2.97196e-17
932.000,2.95592e-17
934.000,2.93704e-17
936.000,2.91598e-17
938.000,2.89288e-17
940.000,2.86802e-17
942.000,2.84106e-17
944.000,2.81166e-17
946.000,2.77932e-17
948.000,2.74261e-17
950.000,2.70067e-17
952.000,2.65492e-17
954.000,2.61706e-17
956.000,2.60156e-17
958.000,2.60414e-17
960.000,2.60687e-17
962.000,2.60400e-17
964.000,2.59624e-17
966.000,2.58474e-17
968.000,2.57073e-17
970.000,2.55490e-17
972.000,2.53800e-17
974.000,2.52005e-17
976.000,2.50153e-17
978.000,2.48232e-17
980.000,2.46264e-17
982.000,2.44251e-17
984.000,2.42173e-17
986.000,2.40024e-17
988.000,2.37782e-17
990.000,2.35401e-17
992.000,2.32838e-17
994.000,2.29999e-17
996.000,2.26775e-17
998.000,2.22973e-17
1000.00,2.18351e-17
1002.00,2.12729e-17
1004.00,2.07254e-17
1006.00,2.05905e-17
1008.00,2.08354e-17
1010.00,2.10609e-17
1012.00,2.11748e-17
1014.00,2.12044e-17
1016.00,2.11770e-17
1018.00,2.11098e-17
1020.00,2.10163e-17
