wave,flux
338.000,8.13285e-18
340.000,7.97589e-18
342.000,7.82280e-18
344.000,7.67337e-18
346.000,7.52752e-18
348.000,7.38515e-18
350.000,7.24615e-18
352.000,7.11044e-18
354.000,6.97795e-18
356.000,6.84853e-18
358.000,6.72212e-18
360.000,6.59870e-18
362.000,6.47808e-18
364.000,6.36028e-18
366.000,6.23750e-18
368.000,6.11673e-18
370.000,5.99801e-18
372.000,5.88126e-18
374.000,5.77295e-18
376.000,5.67668e-18
378.000,5.59618e-18
380.000,5.51017e-18
382.000,5.44998e-18
384.000,5.31827e-18
386.000,5.37284e-18
388.000,5.05541e-18
390.000,5.01672e-18
392.000,5.29295e-18
394.000,5.15560e-18
396.000,4.52424e-18
398.000,4.37624e-18
400.000,4.97552e-18
402.000,5.17343e-18
404.000,5.13819e-18
406.000,4.90307e-18
408.000,4.37026e-18
410.000,3.48871e-18
412.000,4.04260e-18
414.000,4.55340e-18
416.000,4.73792e-18
418.000,4.77497e-18
420.000,4.74599e-18
422.000,4.68379e-18
424.000,4.59872e-18
426.000,4.48645e-18
428.000,4.32141e-18
430.000,4.04130e-18
432.000,3.52788e-18
434.000,2.74248e-18
436.000,3.33187e-18
438.000,3.76883e-18
440.000,3.93277e-18
442.000,3.96902e-18
444.000,3.95117e-18
446.000,3.91183e-18
448.000,3.86327e-18
450.000,3.81039e-18
452.000,3.75549e-18
454.000,3.69977e-18
456.000,3.64387e-18
458.000,3.58815e-18
460.000,3.53276e-18
462.000,3.47776e-18
464.000,3.42308e-18
466.000,3.36855e-18
468.000,3.31384e-18
470.000,3.25840e-18
472.000,3.20125e-18
474.000,3.14059e-18
476.000,3.07298e-18
478.000,2.99143e-18
480.000,2.88098e-18
482.000,2.70853e-18
484.000,2.40167e-18
486.000,1.88462e-18
488.000,2.24351e-18
490.000,2.52342e-18
492.000,2.63087e-18
494.000,2.66174e-18
496.000,2.65833e-18
498.000,2.63920e-18
500.000,2.61255e-18
502.000,2.58220e-18
504.000,2.55005e-18
506.000,2.51709e-18
508.000,2.48384e-18
510.000,2.45103e-18
512.000,2.41842e-18
514.000,2.38572e-18
516.000,2.35340e-18
518.000,2.32150e-18
520.000,2.29006e-18
522.000,2.25908e-18
524.000,2.22857e-18
526.000,2.19854e-18
528.000,2.16898e-18
530.000,2.13989e-18
532.000,2.11126e-18
534.000,2.08310e-18
536.000,2.05538e-18
538.000,2.02812e-18
540.000,2.00129e-18
542.000,1.97489e-18
544.000,1.94950e-18
546.000,1.92393e-18
548.000,1.89875e-18
550.000,1.87398e-18
552.000,1.84960e-18
554.000,1.82562e-18
556.000,1.80202e-18
558.000,1.77880e-18
560.000,1.75594e-18
562.000,1.73346e-18
564.000,1.71132e-18
566.000,1.68954e-18
568.000,1.66811e-18
570.000,1.64700e-18
572.000,1.62624e-18
574.000,1.60580e-18
576.000,1.58567e-18
578.000,1.56587e-18
580.000,1.54636e-18
582.000,1.52717e-18
584.000,1.50827e-18
586.000,1.48966e-18
588.000,1.47134e-18
590.000,1.45330e-18
592.000,1.43554e-18
594.000,1.41805e-18
596.000,1.40056e-18
598.000,1.38330e-18
600.000,1.36657e-18
602.000,1.35009e-18
604.000,1.33384e-18
606.000,1.31784e-18
608.000,1.30207e-18
610.000,1.28653e-18
612.000,1.27121e-18
614.000,1.25610e-18
616.000,1.24121e-18
618.000,1.22651e-18
620.000,1.21202e-18
622.000,1.19771e-18
624.000,1.18358e-18
626.000,1.16961e-18
628.000,1.15580e-18
630.000,1.14211e-18
632.000,1.12853e-18
634.000,1.11501e-18
636.000,1.10150e-18
638.000,1.08792e-18
640.000,1.07411e-18
642.000,1.05987e-18
644.000,1.04476e-18
646.000,1.02801e-18
648.000,1.00805e-18
650.000,9.81456e-19
652.000,9.40538e-19
654.000,8.66987e-19
656.000,7.18045e-19
658.000,8.01079e-19
660.000,8.81246e-19
662.000,9.10622e-19
664.000,9.19219e-19
666.000,9.18635e-19
668.000,9.13797e-19
670.000,9.06890e-19
672.000,8.98929e-19
674.000,8.90421e-19
676.000,8.81631e-19
678.000,8.72712e-19
680.000,8.63752e-19
682.000,8.54803e-19
