wave,flux
338.000,6.59515e-17
340.000,6.46974e-17
342.000,6.34738e-17
344.000,6.22792e-17
346.000,6.11129e-17
348.000,5.99741e-17
350.000,5.88618e-17
352.000,5.77754e-17
354.000,5.67146e-17
356.000,5.56780e-17
358.000,5.46652e-17
360.000,5.36760e-17
362.000,5.27091e-17
364.000,5.17644e-17
366.000,5.07744e-17
368.000,4.97988e-17
370.000,4.88387e-17
372.000,4.78971e-17
374.000,4.70328e-17
376.000,4.62755e-17
378.000,4.56550e-17
380.000,4.49547e-17
382.000,4.45254e-17
384.000,4.33517e-17
386.000,4.40367e-17
388.000,4.11701e-17
390.000,4.08844e-17
392.000,4.35727e-17
394.000,4.24487e-17
396.000,3.68439e-17
398.000,3.55636e-17
400.000,4.10155e-17
402.000,4.28599e-17
404.000,4.26181e-17
406.000,4.05998e-17
408.000,3.59677e-17
410.000,2.82973e-17
412.000,3.31899e-17
414.000,3.77078e-17
416.000,3.93839e-17
418.000,3.97586e-17
420.000,3.95486e-17
422.000,3.90445e-17
424.000,3.83379e-17
426.000,3.73917e-17
428.000,3.59808e-17
430.000,3.35575e-17
432.000,2.91219e-17
434.000,2.23724e-17
436.000,2.74836e-17
438.000,3.13044e-17
440.000,3.27793e-17
442.000,3.31325e-17
444.000,3.30090e-17
446.000,3.26960e-17
448.000,3.23013e-17
450.000,3.18678e-17
452.000,3.14154e-17
454.000,3.09550e-17
456.000,3.04923e-17
458.000,3.00304e-17
460.000,2.95708e-17
462.000,2.91139e-17
464.000,2.86591e-17
466.000,2.82050e-17
468.000,2.77486e-17
470.000,2.72851e-17
472.000,2.68057e-17
474.000,2.62944e-17
476.000,2.57209e-17
478.000,2.50235e-17
480.000,2.40713e-17
482.000,2.25785e-17
484.000,1.99357e-17
486.000,1.54945e-17
488.000,1.86059e-17
490.000,2.10358e-17
492.000,2.19966e-17
494.000,2.22907e-17
496.000,2.22829e-17
498.000,2.21354e-17
500.000,2.19206e-17
502.000,2.16725e-17
504.000,2.14078e-17
506.000,2.11354e-17
508.000,2.08600e-17
510.000,2.05879e-17
512.000,2.03172e-17
514.000,2.00454e-17
516.000,1.97767e-17
518.000,1.95114e-17
520.000,1.92498e-17
522.000,1.89919e-17
524.000,1.87378e-17
526.000,1.84877e-17
528.000,1.82414e-17
530.000,1.79990e-17
532.000,1.77604e-17
534.000,1.75256e-17
536.000,1.72945e-17
538.000,1.70672e-17
540.000,1.68434e-17
542.000,1.66231e-17
544.000,1.64116e-17
546.000,1.61982e-17
548.000,1.59880e-17
550.000,1.57812e-17
552.000,1.55776e-17
554.000,1.53773e-17
556.000,1.51801e-17
558.000,1.49861e-17
560.000,1.47952e-17
562.000,1.46073e-17
564.000,1.44223e-17
566.000,1.42402e-17
568.000,1.40610e-17
570.000,1.38845e-17
572.000,1.37108e-17
574.000,1.35399e-17
576.000,1.33715e-17
578.000,1.32058e-17
580.000,1.30427e-17
582.000,1.28820e-17
584.000,1.27239e-17
586.000,1.25681e-17
588.000,1.24147e-17
590.000,1.22637e-17
592.000,1.21150e-17
594.000,1.19685e-17
596.000,1.18219e-17
598.000,1.16772e-17
600.000,1.15370e-17
602.000,1.13989e-17
604.000,1.12628e-17
606.000,1.11287e-17
608.000,1.09965e-17
610.000,1.08662e-17
612.000,1.07377e-17
614.000,1.06111e-17
616.000,1.04862e-17
618.000,1.03629e-17
620.000,1.02413e-17
622.000,1.01212e-17
624.000,1.00026e-17
626.000,9.88527e-18
628.000,9.76924e-18
630.000,9.65421e-18
632.000,9.53997e-18
634.000,9.42620e-18
636.000,9.31239e-18
638.000,9.19775e-18
640.000,9.08103e-18
642.000,8.96022e-18
644.000,8.83162e-18
646.000,8.68818e-18
648.000,8.51604e-18
650.000,8.28526e-18
652.000,7.92943e-18
654.000,7.29395e-18
656.000,5.99529e-18
658.000,6.73184e-18
660.000,7.42679e-18
662.000,7.68844e-18
664.000,7.76966e-18
666.000,7.76995e-18
668.000,7.73233e-18
670.000,7.67615e-18
672.000,7.61043e-18
674.000,7.53966e-18
676.000,7.46632e-18
678.000,7.39171e-18
680.000,7.31663e-18
682.000,7.24158e-18
684.000,7.16682e-18
686.000,7.09257e-18
688.000,7.01988e-18
690.000,6.94786e-18
692.000,6.87568e-18
694.000,6.80429e-18
696.000,6.73373e-18
698.000,6.66402e-18
700.000,6.59131e-18
702.000,6.51812e-18
704.000,6.45104e-18
706.000,6.38488e-18
708.000,6.31924e-18
710.000,6.25514e-18
712.000,6.19095e-18
714.000,6.12827e-18
716.000,6.06587e-18
718.000,6.00447e-18
720.000,5.94362e-18
722.000,5.88366e-18
724.000,5.82483e-18
726.000,5.76659e-18
728.000,5.70902e-18
730.000,5.65192e-18
732.000,5.59545e-18
734.000,5.53976e-18
736.000,5.48509e-18
738.000,5.43061e-18
740.000,5.37696e-18
742.000,5.32401e-18
744.000,5.27186e-18
746.000,5.22003e-18
748.000,5.16898e-18
750.000,5.11834e-18
752.000,5.06853e-18
754.000,5.01940e-18
756.000,4.97084e-18
758.000,4.92285e-18
760.000,4.87530e-18
762.000,4.82849e-18
764.000,4.78214e-18
766.000,4.73645e-18
768.000,4.69124e-18
770.000,4.64661e-18
772.000,4.60239e-18
774.000,4.55877e-18
776.000,4.51561e-18
778.000,4.47310e-18
780.000,4.43094e-18
782.000,4.38932e-18
784.000,4.34826e-18
786.000,4.30765e-18
788.000,4.26741e-18
790.000,4.22776e-18
792.000,4.18847e-18
794.000,4.14970e-18
796.000,4.11139e-18
798.000,4.07349e-18
800.000,4.03602e-18
802.000,3.99895e-18
804.000,3.96234e-18
806.000,3.92615e-18
808.000,3.89030e-18
810.000,3.85501e-18
812.000,3.82007e-18
814.000,3.78539e-18
816.000,3.75127e-18
818.000,3.71746e-18
820.000,3.68402e-18
822.000,3.65097e-18
824.000,3.61828e-18
826.000,3.58600e-18
828.000,3.55378e-18
830.000,3.52020e-18
832.000,3.48876e-18
834.000,3.45775e-18
836.000,3.42702e-18
838.000,3.39661e-18
840.000,3.36657e-18
842.000,3.33675e-18
844.000,3.30730e-18
846.000,3.27808e-18
848.000,3.24927e-18
850.000,3.22082e-18
852.000,3.19261e-18
854.000,3.16473e-18
856.000,3.13722e-18
858.000,3.10996e-18
860.000,3.08311e-18
862.000,3.05672e-18
864.000,3.03049e-18
866.000,3.00456e-18
868.000,2.97938e-18
870.000,2.95450e-18
872.000,2.92946e-18
874.000,2.90449e-18
876.000,2.88065e-18
878.000,2.85774e-18
880.000,2.83451e-18
882.000,2.81021e-18
884.000,2.78531e-18
886.000,2.76157e-18
888.000,2.74076e-18
890.000,2.72164e-18
892.000,2.70169e-18
894.000,2.67968e-18
896.000,2.65555e-18
898.000,2.62938e-18
900.000,2.60304e-18
902.000,2.58162e-18
904.000,2.56665e-18
906.000,2.55341e-18
908.000,2.53830e-18
910.000,2.52069e-18
912.000,2.50010e-18
914.000,2.47663e-18
916.000,2.44988e-18
918.000,2.41931e-18
920.000,2.38574e-18
922.000,2.35490e-18
924.000,2.33827e-18
926.000,2.33472e-18
928.000,2.33233e-18
930.000,2.32657e-18
932.000,2.31704e-18
934.000,2.30435e-18
936.000,2.28916e-18
938.000,2.27187e-18
940.000,2.25240e-18
942.000,2.23077e-18
944.000,2.20646e-18
