wave,flux,fluxerr
338.000,6.57715e-17,3.69369e-19
340.000,6.45208e-17,3.60902e-19
342.000,6.33006e-17,3.52499e-19
344.000,6.21092e-17,3.44164e-19
346.000,6.09461e-17,3.35898e-19
348.000,5.98105e-17,3.28201e-19
350.000,5.87011e-17,3.20297e-19
352.000,5.76178e-17,3.12942e-19
354.000,5.65598e-17,3.05665e-19
356.000,5.55260e-17,2.98435e-19
358.000,5.45160e-17,2.91746e-19
360.000,5.35295e-17,2.85053e-19
362.000,5.25653e-17,2.78505e-19
364.000,5.16231e-17,2.72282e-19
366.000,5.06358e-17,3.09323e-19
368.000,4.96629e-17,2.76871e-19
370.000,4.87054e-17,2.84028e-19
372.000,4.77664e-17,2.64266e-19
374.000,4.69044e-17,2.40718e-19
376.000,4.61492e-17,2.11949e-19
378.000,4.55304e-17,1.44093e-19
380.000,4.48320e-17,1.43479e-19
382.000,4.44038e-17,4.15837e-19
384.000,4.32334e-17,3.93930e-19
386.000,4.39165e-17,2.59739e-19
388.000,4.10578e-17,1.45068e-18
390.000,4.07728e-17,1.31683e-18
392.000,4.34538e-17,2.68960e-19
394.000,4.23329e-17,9.24796e-19
396.000,3.67433e-17,2.43153e-18
398.000,3.54665e-17,2.29366e-18
400.000,4.09036e-17,9.61382e-19
402.000,4.27430e-17,1.98551e-19
404.000,4.25018e-17,3.20356e-19
406.000,4.04890e-17,8.99823e-19
408.000,3.58696e-17,1.88985e-18
410.000,2.82201e-17,2.05281e-18
412.000,3.30994e-17,1.97066e-18
414.000,3.76049e-17,7.97258e-19
416.000,3.92764e-17,2.47945e-19
418.000,3.96501e-17,2.04249e-20
420.000,3.94407e-17,1.13218e-19
422.000,3.89379e-17,1.77990e-19
424.000,3.82333e-17,2.35348e-19
426.000,3.72897e-17,3.24703e-19
428.000,3.58826e-17,5.20469e-19
430.000,3.34659e-17,9.32412e-19
432.000,2.90424e-17,1.74221e-18
434.000,2.23113e-17,1.87378e-18
436.000,2.74086e-17,1.65833e-18
438.000,3.12190e-17,6.88313e-19
440.000,3.26899e-17,2.23518e-19
442.000,3.30420e-17,1.95824e-20
444.000,3.29189e-17,7.26391e-20
446.000,3.26068e-17,1.06461e-19
448.000,3.22132e-17,1.22161e-19
450.000,3.17808e-17,1.29842e-19
452.000,3.13297e-17,1.33424e-19
454.000,3.08705e-17,1.34743e-19
456.000,3.04091e-17,1.34862e-19
458.000,2.99484e-17,1.34336e-19
460.000,2.94901e-17,1.33546e-19
462.000,2.90344e-17,1.32802e-19
464.000,2.85809e-17,1.32343e-19
466.000,2.81280e-17,1.32469e-19
468.000,2.76729e-17,1.33702e-19
470.000,2.72106e-17,1.36816e-19
472.000,2.67325e-17,1.43247e-19
474.000,2.62226e-17,1.55880e-19
476.000,2.56507e-17,1.80723e-19
478.000,2.49552e-17,2.30718e-19
480.000,2.40056e-17,3.35412e-19
482.000,2.25169e-17,5.58951e-19
484.000,1.98813e-17,1.03641e-18
486.000,1.54522e-17,1.39088e-18
488.000,1.85551e-17,1.06492e-18
490.000,2.09783e-17,4.36361e-19
492.000,2.19366e-17,1.57127e-19
494.000,2.22298e-17,3.11875e-20
496.000,2.22221e-17,2.84913e-20
498.000,2.20750e-17,5.53522e-20
500.000,2.18608e-17,6.86733e-20
502.000,2.16133e-17,7.53480e-20
504.000,2.13494e-17,7.86188e-20
506.000,2.10777e-17,8.00194e-20
508.000,2.08031e-17,8.04088e-20
510.000,2.05317e-17,7.82174e-20
512.000,2.02617e-17,7.96017e-20
