wave,flux
338.000,3.33681e-17
340.000,3.26979e-17
342.000,3.20447e-17
344.000,3.14077e-17
346.000,3.07866e-17
348.000,3.01810e-17
350.000,2.95904e-17
352.000,2.90143e-17
354.000,2.84522e-17
356.000,2.79038e-17
358.000,2.73687e-17
360.000,2.68466e-17
362.000,2.63368e-17
364.000,2.58393e-17
366.000,2.53259e-17
368.000,2.48211e-17
370.000,2.43252e-17
372.000,2.38392e-17
374.000,2.33885e-17
376.000,2.29856e-17
378.000,2.26419e-17
380.000,2.22692e-17
382.000,2.20043e-17
384.000,2.14385e-17
386.000,2.16520e-17
388.000,2.03713e-17
390.000,2.01802e-17
392.000,2.12348e-17
394.000,2.07034e-17
396.000,1.82704e-17
398.000,1.76663e-17
400.000,1.98964e-17
402.000,2.05508e-17
404.000,2.03744e-17
406.000,1.95136e-17
408.000,1.75578e-17
410.000,1.41831e-17
412.000,1.62698e-17
414.000,1.80897e-17
416.000,1.86572e-17
418.000,1.87096e-17
420.000,1.85464e-17
422.000,1.82794e-17
424.000,1.79422e-17
426.000,1.75214e-17
428.000,1.69341e-17
430.000,1.59582e-17
432.000,1.40998e-17
434.000,1.11205e-17
436.000,1.33227e-17
438.000,1.48586e-17
440.000,1.53516e-17
442.000,1.54094e-17
444.000,1.52963e-17
446.000,1.51172e-17
448.000,1.49105e-17
450.000,1.46918e-17
452.000,1.44682e-17
454.000,1.42434e-17
456.000,1.40193e-17
458.000,1.37969e-17
460.000,1.35767e-17
462.000,1.33589e-17
464.000,1.31431e-17
466.000,1.29289e-17
468.000,1.27153e-17
470.000,1.25006e-17
472.000,1.22818e-17
474.000,1.20534e-17
476.000,1.18048e-17
478.000,1.15136e-17
480.000,1.11297e-17
482.000,1.05336e-17
484.000,9.43413e-18
486.000,7.51610e-18
488.000,8.82393e-18
490.000,9.80578e-18
492.000,1.01339e-17
494.000,1.01977e-17
496.000,1.01515e-17
498.000,1.00571e-17
500.000,9.94076e-18
502.000,9.81415e-18
504.000,9.68295e-18
506.000,9.55008e-18
508.000,9.41712e-18
510.000,9.28659e-18
512.000,9.15736e-18
514.000,9.02808e-18
516.000,8.90059e-18
518.000,8.77501e-18
520.000,8.65139e-18
522.000,8.52976e-18
524.000,8.41011e-18
526.000,8.29246e-18
528.000,8.17677e-18
530.000,8.06301e-18
532.000,7.95119e-18
534.000,7.84126e-18
536.000,7.73318e-18
538.000,7.62695e-18
540.000,7.52248e-18
542.000,7.41980e-18
544.000,7.32050e-18
546.000,7.22121e-18
548.000,7.12352e-18
550.000,7.02748e-18
552.000,6.93304e-18
554.000,6.84021e-18
556.000,6.74890e-18
558.000,6.65913e-18
560.000,6.57083e-18
562.000,6.48400e-18
