wave,flux
338.000,7.12978e-18
340.000,7.01567e-18
342.000,6.90390e-18
344.000,6.79442e-18
346.000,6.68715e-18
348.000,6.58205e-18
350.000,6.47908e-18
352.000,6.37818e-18
354.000,6.27928e-18
356.000,6.18237e-18
358.000,6.08735e-18
360.000,5.99423e-18
362.000,5.90295e-18
364.000,5.81344e-18
366.000,5.71428e-18
368.000,5.61438e-18
370.000,5.51529e-18
372.000,5.42186e-18
374.000,5.34693e-18
376.000,5.29201e-18
378.000,5.26076e-18
380.000,5.17323e-18
382.000,5.19959e-18
384.000,4.93675e-18
386.000,5.31995e-18
388.000,4.69161e-18
390.000,4.68617e-18
392.000,5.49945e-18
394.000,5.37190e-18
396.000,4.25443e-18
398.000,4.04873e-18
400.000,5.25433e-18
402.000,5.77407e-18
404.000,5.81154e-18
406.000,5.43249e-18
408.000,4.53537e-18
410.000,3.24439e-18
412.000,4.10331e-18
414.000,5.04894e-18
416.000,5.50053e-18
418.000,5.67187e-18
420.000,5.70123e-18
422.000,5.65328e-18
424.000,5.54996e-18
426.000,5.38239e-18
428.000,5.09948e-18
430.000,4.59979e-18
432.000,3.76520e-18
434.000,2.71435e-18
436.000,3.53247e-18
438.000,4.29972e-18
440.000,4.69040e-18
442.000,4.84615e-18
444.000,4.88450e-18
446.000,4.87154e-18
448.000,4.83460e-18
450.000,4.78495e-18
452.000,4.72812e-18
454.000,4.66714e-18
456.000,4.60379e-18
458.000,4.53900e-18
460.000,4.47327e-18
462.000,4.40675e-18
464.000,4.33932e-18
466.000,4.27055e-18
468.000,4.19963e-18
470.000,4.12512e-18
472.000,4.04457e-18
474.000,3.95363e-18
476.000,3.84441e-18
478.000,3.70224e-18
480.000,3.49965e-18
482.000,3.18782e-18
484.000,2.69445e-18
486.000,2.01897e-18
488.000,2.49660e-18
490.000,2.96227e-18
492.000,3.20745e-18
494.000,3.32037e-18
496.000,3.36198e-18
498.000,3.36630e-18
500.000,3.35092e-18
502.000,3.32484e-18
504.000,3.29284e-18
506.000,3.25751e-18
508.000,3.22033e-18
510.000,3.18265e-18
512.000,3.14454e-18
514.000,3.10584e-18
516.000,3.06724e-18
518.000,3.02888e-18
520.000,2.99087e-18
522.000,2.95326e-18
524.000,2.91609e-18
526.000,2.87939e-18
528.000,2.84318e-18
530.000,2.80747e-18
532.000,2.77227e-18
534.000,2.73756e-18
536.000,2.70337e-18
538.000,2.66967e-18
540.000,2.63646e-18
542.000,2.60375e-18
544.000,2.57331e-18
546.000,2.54151e-18
548.000,2.51014e-18
550.000,2.47926e-18
552.000,2.44884e-18
554.000,2.41888e-18
556.000,2.38939e-18
558.000,2.36033e-18
560.000,2.33172e-18
562.000,2.30354e-18
564.000,2.27579e-18
566.000,2.24844e-18
568.000,2.22152e-18
570.000,2.19498e-18
572.000,2.16886e-18
574.000,2.14312e-18
576.000,2.11775e-18
578.000,2.09276e-18
580.000,2.06815e-18
582.000,2.04390e-18
584.000,2.01999e-18
586.000,1.99645e-18
588.000,1.97324e-18
590.000,1.95038e-18
592.000,1.92785e-18
594.000,1.90564e-18
596.000,1.88296e-18
598.000,1.86050e-18
600.000,1.83915e-18
602.000,1.81810e-18
604.000,1.79733e-18
606.000,1.77684e-18
608.000,1.75663e-18
610.000,1.73667e-18
612.000,1.71697e-18
614.000,1.69751e-18
616.000,1.67829e-18
618.000,1.65928e-18
620.000,1.64048e-18
622.000,1.62186e-18
624.000,1.60340e-18
626.000,1.58506e-18
628.000,1.56683e-18
630.000,1.54862e-18
632.000,1.53038e-18
634.000,1.51199e-18
636.000,1.49330e-18
638.000,1.47407e-18
640.000,1.45392e-18
642.000,1.43221e-18
644.000,1.40789e-18
646.000,1.37908e-18
648.000,1.34234e-18
650.000,1.29137e-18
652.000,1.21484e-18
654.000,1.09427e-18
656.000,8.86912e-19
658.000,1.00639e-18
660.000,1.13145e-18
