wave,flux,fluxerr
338.000,5.16177e-18,2.78197e-20
340.000,5.06770e-18,2.71690e-20
342.000,4.97582e-18,2.65385e-20
344.000,4.88608e-18,2.59232e-20
346.000,4.79840e-18,2.53305e-20
348.000,4.71272e-18,2.47490e-20
350.000,4.62901e-18,2.41851e-20
352.000,4.54719e-18,2.36385e-20
354.000,4.46722e-18,2.31077e-20
356.000,4.38905e-18,2.25900e-20
358.000,4.31262e-18,2.20859e-20
360.000,4.23788e-18,2.15983e-20
362.000,4.16481e-18,2.11190e-20
364.000,4.09333e-18,2.06568e-20
366.000,4.01659e-18,2.46978e-20
368.000,3.94023e-18,2.17204e-20
370.000,3.86485e-18,2.23257e-20
372.000,3.79223e-18,1.98725e-20
374.000,3.72940e-18,1.69429e-20
376.000,3.67856e-18,1.51485e-20
378.000,3.64193e-18,7.94078e-21
380.000,3.58258e-18,2.24217e-20
382.000,3.57298e-18,5.06345e-20
384.000,3.43193e-18,7.17501e-20
386.000,3.59221e-18,2.48078e-20
388.000,3.24914e-18,1.87774e-19
390.000,3.23517e-18,1.85334e-19
392.000,3.63176e-18,4.83012e-20
394.000,3.54041e-18,1.02360e-19
396.000,2.91549e-18,2.68361e-19
398.000,2.78756e-18,2.63762e-19
400.000,3.43641e-18,1.22570e-19
402.000,3.68694e-18,3.24690e-20
404.000,3.68764e-18,3.03533e-20
406.000,3.47668e-18,9.75594e-20
408.000,2.98127e-18,1.98490e-19
410.000,2.21460e-18,2.05105e-19
412.000,2.71714e-18,2.07528e-19
414.000,3.22206e-18,9.65162e-20
416.000,3.43719e-18,3.58687e-20
418.000,3.50442e-18,7.16250e-21
420.000,3.50156e-18,7.30159e-21
422.000,3.46237e-18,1.53447e-20
424.000,3.39806e-18,2.24231e-20
426.000,3.30458e-18,3.32354e-20
428.000,3.15551e-18,5.65180e-20
430.000,2.89166e-18,1.01195e-19
432.000,2.43068e-18,1.74111e-19
434.000,1.79501e-18,1.78928e-19
436.000,2.28359e-18,1.66373e-19
438.000,2.69375e-18,8.09951e-20
440.000,2.87862e-18,3.14619e-20
442.000,2.93795e-18,6.63243e-21
444.000,2.94036e-18,3.78832e-21
446.000,2.91971e-18,7.93640e-21
448.000,2.88876e-18,9.99331e-21
450.000,2.85254e-18,1.10939e-20
452.000,2.81350e-18,1.16797e-20
454.000,2.77299e-18,1.19718e-20
456.000,2.73177e-18,1.21098e-20
458.000,2.69024e-18,1.21542e-20
460.000,2.64861e-18,1.21728e-20
