wave,flux
338.000,1.12098e-15
340.000,1.10467e-15
342.000,1.08858e-15
344.000,1.07282e-15
346.000,1.05740e-15
348.000,1.04222e-15
350.000,1.02725e-15
352.000,1.01417e-15
354.000,9.85293e-16
356.000,9.56758e-16
358.000,9.36738e-16
360.000,9.12026e-16
362.000,9.06949e-16
364.000,9.15618e-16
366.000,9.25307e-16
368.000,9.15437e-16
370.000,8.98797e-16
372.000,8.74160e-16
374.000,8.56541e-16
376.000,8.45990e-16
378.000,8.36792e-16
380.000,8.33342e-16
382.000,8.38295e-16
384.000,8.07097e-16
386.000,8.56566e-16
388.000,7.84428e-16
390.000,7.50205e-16
392.000,8.85876e-16
394.000,8.97247e-16
396.000,7.36720e-16
398.000,6.57589e-16
400.000,8.43731e-16
402.000,9.86727e-16
404.000,1.02776e-15
406.000,9.61173e-16
408.000,7.96113e-16
410.000,5.89636e-16
412.000,6.41574e-16
414.000,8.26405e-16
416.000,9.49707e-16
418.000,1.01193e-15
420.000,1.03894e-15
422.000,1.04382e-15
424.000,1.02183e-15
426.000,9.82503e-16
428.000,9.21014e-16
430.000,8.15284e-16
432.000,6.61676e-16
434.000,4.96753e-16
436.000,5.56208e-16
438.000,7.07601e-16
440.000,8.05660e-16
442.000,8.62703e-16
444.000,8.89520e-16
446.000,9.02121e-16
448.000,9.03611e-16
450.000,9.04550e-16
452.000,8.95457e-16
454.000,8.83874e-16
456.000,8.70550e-16
458.000,8.58065e-16
460.000,8.45044e-16
462.000,8.33344e-16
464.000,8.20669e-16
466.000,8.10509e-16
468.000,7.97974e-16
470.000,7.84602e-16
472.000,7.66913e-16
474.000,7.45944e-16
476.000,7.22727e-16
478.000,6.86668e-16
480.000,6.41588e-16
482.000,5.74246e-16
484.000,4.81789e-16
486.000,3.77418e-16
488.000,4.01597e-16
490.000,4.92242e-16
492.000,5.57064e-16
494.000,5.94205e-16
496.000,6.11854e-16
498.000,6.23091e-16
500.000,6.25470e-16
502.000,6.25038e-16
504.000,6.21587e-16
506.000,6.16827e-16
508.000,6.11502e-16
510.000,6.03125e-16
512.000,5.97576e-16
