wave,flux
338.000,2.90635e-15
340.000,2.98552e-15
342.000,2.97392e-15
344.000,2.88463e-15
346.000,2.93509e-15
348.000,3.00220e-15
350.000,3.13667e-15
352.000,3.02468e-15
354.000,3.18924e-15
356.000,3.12603e-15
358.000,2.93614e-15
360.000,3.01135e-15
362.000,2.81300e-15
364.000,2.92473e-15
366.000,3.13795e-15
368.000,3.02188e-15
370.000,3.05645e-15
372.000,3.11911e-15
374.000,3.15477e-15
376.000,3.36266e-15
378.000,3.65120e-15
380.000,3.65411e-15
382.000,3.50734e-15
384.000,3.59267e-15
386.000,3.79220e-15
388.000,3.42531e-15
390.000,3.65623e-15
392.000,3.36902e-15
394.000,3.60483e-15
396.000,3.41258e-15
398.000,3.96861e-15
400.000,4.17103e-15
402.000,4.19524e-15
404.000,4.11406e-15
406.000,4.06940e-15
408.000,4.03383e-15
410.000,3.85299e-15
412.000,4.15351e-15
414.000,4.14625e-15
416.000,4.19858e-15
418.000,4.09241e-15
420.000,4.04267e-15
422.000,3.99364e-15
424.000,3.98718e-15
426.000,3.91453e-15
428.000,3.72958e-15
430.000,3.40293e-15
432.000,3.80429e-15
434.000,3.74292e-15
436.000,3.97691e-15
438.000,4.03295e-15
440.000,4.10527e-15
442.000,4.16001e-15
444.000,4.16410e-15
446.000,4.16745e-15
448.000,4.17402e-15
450.000,4.21599e-15
452.000,4.18137e-15
454.000,4.19638e-15
456.000,4.22241e-15
458.000,4.20135e-15
460.000,4.18685e-15
462.000,4.21171e-15
464.000,4.20618e-15
466.000,4.19674e-15
468.000,4.19253e-15
470.000,4.17391e-15
472.000,4.17903e-15
474.000,4.17311e-15
476.000,4.11899e-15
478.000,4.12342e-15
480.000,4.14612e-15
482.000,4.12312e-15
484.000,4.01647e-15
486.000,3.76009e-15
488.000,4.01859e-15
490.000,4.04215e-15
492.000,4.01431e-15
494.000,4.02660e-15
496.000,4.03827e-15
498.000,4.01524e-15
500.000,3.98151e-15
502.000,3.99189e-15
504.000,3.97171e-15
506.000,3.97914e-15
508.000,3.99104e-15
510.000,3.97192e-15
512.000,3.93818e-15
514.000,3.93320e-15
516.000,3.89596e-15
518.000,3.84731e-15
520.000,3.85928e-15
522.000,3.92476e-15
524.000,3.92758e-15
526.000,3.87813e-15
528.000,3.90946e-15
530.000,3.93527e-15
532.000,3.87951e-15
534.000,3.90831e-15
536.000,3.92005e-15
538.000,3.89866e-15
540.000,3.85913e-15
542.000,3.87066e-15
544.000,3.85040e-15
546.000,3.87383e-15
548.000,3.87376e-15
550.000,3.86086e-15
