wave,flux,fluxerr
300.00000,2.1461988e-17,2.1915302e-19
300.10000,2.1173818e-17,2.1915302e-19
300.20000,2.0904847e-17,2.1915302e-19
300.30000,2.0688186e-17,2.1915302e-19
300.40000,2.0549287e-17,2.1915302e-19
300.50000,2.0501404e-17,2.1915302e-19
300.60000,2.0544135e-17,2.1915302e-19
300.70000,2.0664876e-17,2.1915302e-19
300.80000,2.0842006e-17,2.1915302e-19
300.90000,2.1048443e-17,2.1915302e-19
301.00000,2.1254822e-17,2.1915302e-19
301.10000,2.1432414e-17,2.1915302e-19
301.20000,2.1556226e-17,2.1915302e-19
301.30000,2.1608514e-17,2.1915302e-19
301.40000,2.1582173e-17,2.1915302e-19
301.50000,2.1482975e-17,2.1915302e-19
301.60000,2.1329501e-17,2.1915302e-19
301.70000,2.1150149e-17,2.1915302e-19
301.80000,2.0977506e-17,2.1915302e-19
301.90000,2.0841377e-17,2.1915302e-19
302.00000,2.0762392e-17,2.1915302e-19
302.10000,2.0748179e-17,2.1915302e-19
302.20000,2.0793317e-17,2.1915302e-19
302.30000,2.0882972e-17,2.1915302e-19
302.40000,2.0998780e-17,2.1915302e-19
302.50000,2.1124710e-17,2.1915302e-19
302.60000,2.1250884e-17,2.1915302e-19
302.70000,2.1374330e-17,2.1915302e-19
302.80000,2.1497053e-17,2.1915302e-19
302.90000,2.1622778e-17,2.1915302e-19
303.00000,2.1753920e-17,2.1915302e-19
303.10000,2.1889847e-17,2.1915302e-19
303.20000,2.2026684e-17,2.1915302e-19
303.30000,2.2158280e-17,2.1915302e-19
303.40000,2.2277683e-17,2.1915302e-19
303.50000,2.2378532e-17,2.1915302e-19
303.60000,2.2455972e-17,2.1915302e-19
303.70000,2.2506929e-17,2.1915302e-19
303.80000,2.2529773e-17,2.1915302e-19
303.90000,2.2523631e-17,2.1915302e-19
304.00000,2.2487734e-17,2.1915302e-19
304.10000,2.2421284e-17,2.1915302e-19
304.20000,2.2324185e-17,2.1915302e-19
304.30000,2.2198576e-17,2.1915302e-19
304.40000,2.2050649e-17,2.1915302e-19
304.50000,2.1891759e-17,2.1915302e-19
304.60000,2.1737818e-17,2.1915302e-19
304.70000,2.1606453e-17,2.1915302e-19
304.80000,2.1512317e-17,2.1915302e-19
304.90000,2.1462002e-17,2.1915302e-19
