source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs
2804091414920169344,8.387863,8.79093,7.801796,0.98913383,NOT_AVAILABLE,0,true,34,37
2317057722875195904,8.362503,9.04336,7.56349,1.4798698,NOT_AVAILABLE,0,false,33,33
2527043140743265664,9.936725,10.037822,9.7242565,0.31356525,NOT_AVAILABLE,0,true,52,52
5171417602530766976,9.643397,9.88322,9.2328825,0.6503372,NOT_AVAILABLE,0,true,45,44
112440873718983680,7.904065,8.160446,7.470908,0.689538,NOT_AVAILABLE,0,false,35,34
6963761190199424,6.792566,7.062214,6.352973,0.7092409,NOT_AVAILABLE,0,false,16,15
52624073910834176,9.093495,9.333844,8.676852,0.65699196,NOT_AVAILABLE,0,true,50,51
115302421446877184,5.896229,5.9498477,5.769623,0.1802249,NOT_AVAILABLE,0,false,16,16
3282524177258336512,5.6662173,5.692322,5.588814,0.103507996,NOT_AVAILABLE,0,true,62,56
219057458247921536,8.232109,8.697253,7.5901484,1.1071048,NOT_AVAILABLE,0,true,51,47
2593188145361730432,7.9686813,8.533286,7.2408996,1.2923865,NOT_AVAILABLE,0,true,36,33
4646981136249320832,6.395173,6.7532153,5.850523,0.9026923,NOT_AVAILABLE,0,true,27,25
2593188145361730432,7.9686813,8.533286,7.2408996,1.2923865,NOT_AVAILABLE,0,true,36,33
2993364748147267456,7.782677,8.246959,7.1363554,1.1106033,NOT_AVAILABLE,0,true,73,75
3125113282265023488,7.8168144,8.183103,7.262915,0.9201875,NOT_AVAILABLE,0,false,21,20
6734732303270177024,14.402383,15.114478,13.583762,1.530716,NOT_AVAILABLE,0,true,22,21
6734782399770915200,14.254106,14.863435,13.504695,1.3587399,NOT_AVAILABLE,0,true,23,24
6734782434130689024,14.261889,14.904243,13.495052,1.4091911,NOT_AVAILABLE,0,false,19,17
4387079367952007168,6.8062816,7.1006455,6.331867,0.7687783,NOT_AVAILABLE,0,true,59,61
4494267870326116864,5.975963,6.269591,5.5079093,0.76168156,NOT_AVAILABLE,0,true,35,36
4164893700353983104,9.435306,9.828104,8.850501,0.97760296,NOT_AVAILABLE,0,true,41,41
6734635821123930368,14.235855,14.706502,13.508961,1.1975412,NOT_AVAILABLE,0,true,22,21
4050203741234555392,15.386189,16.330328,14.395182,1.9351463,NOT_AVAILABLE,0,true,24,24
4165370682239910144,10.352126,10.7023735,9.813507,0.8888664,NOT_AVAILABLE,0,true,57,56
4286321977835614976,7.096605,7.221134,6.859585,0.36154938,NOT_AVAILABLE,1,false,23,23
4285492327595742080,7.2997394,8.164129,6.388428,1.775701,NOT_AVAILABLE,0,true,22,21
4266584541504540928,6.223891,6.2398505,6.1610613,0.078789234,NOT_AVAILABLE,0,false,18,17
4279028985902356096,7.66213,7.785633,7.425902,0.3597312,NOT_AVAILABLE,0,true,26,25
4265363121612814720,7.04533,7.6475706,6.308436,1.3391347,NOT_AVAILABLE,0,false,17,17
4050202886598183168,14.3780985,15.341077,13.401012,1.9400644,NOT_AVAILABLE,0,true,29,29
6734635821123930368,14.235855,14.706502,13.508961,1.1975412,NOT_AVAILABLE,0,true,22,21
1850440690450639232,7.9978223,8.211486,7.6224837,0.58900213,NOT_AVAILABLE,0,true,55,56
1800518563283501440,9.9238825,10.18379,9.489347,0.69444275,NOT_AVAILABLE,0,true,45,48
6916198691587462272,7.7473793,8.155676,7.1610155,0.9946604,NOT_AVAILABLE,0,true,30,30
2688034762857131136,6.4260726,6.4951463,6.2685266,0.22661972,NOT_AVAILABLE,0,true,41,35
2699301565882761344,8.345394,8.641029,7.8720226,0.7690067,NOT_AVAILABLE,0,true,43,38
2317057722875195904,8.362503,9.04336,7.56349,1.4798698,NOT_AVAILABLE,0,false,33,33
6905364821265383424,6.0476255,6.5087433,5.4141927,1.0945506,NOT_AVAILABLE,0,true,26,25
4246840611198113024,6.7431183,6.7294226,6.7277803,0.0016422272,NOT_AVAILABLE,0,true,39,35
1841916486040590080,7.831861,8.363016,7.146375,1.216641,NOT_AVAILABLE,1,true,50,44
1848170611255790848,10.360796,10.647755,9.896735,0.7510195,NOT_AVAILABLE,0,true,55,55
4231133434759619200,6.1950116,6.143953,6.248866,-0.104913235,NOT_AVAILABLE,0,true,34,31
6858374206854249728,8.095821,8.359884,7.657142,0.7027421,NOT_AVAILABLE,0,true,42,42
2506906787870475904,6.7326875,7.037203,6.255473,0.7817297,NOT_AVAILABLE,0,false,20,18
4651961099314703232,16.460499,17.228226,15.604555,1.6236706,NOT_AVAILABLE,0,true,34,31
4308878561939677824,6.678887,7.320527,5.9069552,1.4135718,NOT_AVAILABLE,0,true,23,21
1820374029621976704,7.42217,7.891383,6.770343,1.1210403,NOT_AVAILABLE,0,true,51,44
1833199729671740800,7.0359473,7.470217,6.425181,1.0450363,NOT_AVAILABLE,0,true,59,55
1833577819925426944,8.739379,9.015714,8.274733,0.7409811,NOT_AVAILABLE,0,true,58,58
2830267660041706752,7.312635,7.6253815,6.828521,0.7968607,NOT_AVAILABLE,0,false,28,25
2635543704085589504,6.5604353,6.8460126,6.1005425,0.74547005,NOT_AVAILABLE,0,false,12,13
4279028985902356096,7.66213,7.785633,7.425902,0.3597312,NOT_AVAILABLE,0,true,26,25
4264967400467007232,6.1876187,6.159304,6.205324,-0.04602003,NOT_AVAILABLE,0,false,19,18
4268663477469514496,7.529345,7.7904,7.1050415,0.6853585,NOT_AVAILABLE,0,true,19,21
2658240166703766016,10.083711,10.338301,9.6585245,0.6797762,NOT_AVAILABLE,0,true,29,28
2448177130188111232,5.0900393,5.030154,5.184928,-0.15477371,NOT_AVAILABLE,0,false,34,32
4565784161044390656,11.099416,11.40125,10.621751,0.77949905,NOT_AVAILABLE,0,true,75,77
4474806789394684544,6.749215,6.8025327,6.612589,0.18994379,NOT_AVAILABLE,0,true,37,32
4651957216664541184,16.53297,17.310047,15.676919,1.6331282,NOT_AVAILABLE,0,true,38,36
1172688357148006912,8.720366,8.700208,8.725305,-0.025096893,NOT_AVAILABLE,0,true,22,21
4358758216162768000,6.216174,6.2453284,6.123021,0.1223073,NOT_AVAILABLE,0,true,25,21
1833199729671740800,7.0359473,7.470217,6.425181,1.0450363,NOT_AVAILABLE,0,true,59,55
2317057722875195904,8.362503,9.04336,7.56349,1.4798698,NOT_AVAILABLE,0,false,33,33
6797587122396076928,6.656607,6.71127,6.520992,0.19027805,NOT_AVAILABLE,0,false,27,23
1820374029621976704,7.42217,7.891383,6.770343,1.1210403,NOT_AVAILABLE,0,true,51,44
4468813931327385600,6.5956593,6.926931,6.057903,0.8690281,NOT_AVAILABLE,0,true,28,27
4474747621924408320,6.256207,6.251908,6.2146378,0.03727007,NOT_AVAILABLE,0,true,51,44
4274869292908169088,8.0949135,8.087809,7.4978933,0.5899153,NOT_AVAILABLE,0,false,12,12
4308878561939677824,6.678887,7.320527,5.9069552,1.4135718,NOT_AVAILABLE,0,true,23,21
1841916486040590080,7.831861,8.363016,7.146375,1.216641,NOT_AVAILABLE,1,true,50,44
2699301565882761344,8.345394,8.641029,7.8720226,0.7690067,NOT_AVAILABLE,0,true,43,38
1850440690450639232,7.9978223,8.211486,7.6224837,0.58900213,NOT_AVAILABLE,0,true,55,56
2830267660041706752,7.312635,7.6253815,6.828521,0.7968607,NOT_AVAILABLE,0,false,28,25
2635543704085589504,6.5604353,6.8460126,6.1005425,0.74547005,NOT_AVAILABLE,0,false,12,13
2448177130188111232,5.0900393,5.030154,5.184928,-0.15477371,NOT_AVAILABLE,0,false,34,32
2506906787870475904,6.7326875,7.037203,6.255473,0.7817297,NOT_AVAILABLE,0,false,20,18
4279028985902356096,7.66213,7.785633,7.425902,0.3597312,NOT_AVAILABLE,0,true,26,25
3320346999297121536,7.148426,7.2206807,6.991155,0.22952557,NOT_AVAILABLE,0,true,47,44
2317057722875195904,8.362503,9.04336,7.56349,1.4798698,NOT_AVAILABLE,0,false,33,33
5504529287416164992,6.7886977,7.027925,6.3844395,0.64348555,NOT_AVAILABLE,0,true,34,32
4246840611198113024,6.7431183,6.7294226,6.7277803,0.0016422272,NOT_AVAILABLE,0,true,39,35
4231133434759619200,6.1950116,6.143953,6.248866,-0.104913235,NOT_AVAILABLE,0,true,34,31
6858374206854249728,8.095821,8.359884,7.657142,0.7027421,NOT_AVAILABLE,0,true,42,42
2688034762857131136,6.4260726,6.4951463,6.2685266,0.22661972,NOT_AVAILABLE,0,true,41,35
6916198691587462272,7.7473793,8.155676,7.1610155,0.9946604,NOT_AVAILABLE,0,true,30,30
4264967400467007232,6.1876187,6.159304,6.205324,-0.04602003,NOT_AVAILABLE,0,false,19,18
