CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or,radr3,decdr3,namefits,bestfitFLAG,COMMENT,Sp_simbad,Sp_calspec,Teff,logg,zeta,var,E_BV,RV
109_VIR,3655377057091634304,  3.7283771,  3.7357953,  3.6791286,  0.0566666,NOT_AVAILABLE,      0,false, 16, 16,     221.5621875000000216,       1.8928844444444444,     221.5616692829817396,       1.8927928769364972,109vir_stis_004.fits,  0,SAT,A0IIInn,A0III,   9730.0,   3.45,  -0.01,,   0.02,   3.10
10_LAC,1908095850396090880,  4.8254528,  4.7139649,  5.0169492, -0.3029842,NOT_AVAILABLE,      0,true, 50, 41,     339.8153291666666291,      39.0502697222222181,     339.8153178616346395,      39.0502452024007951,10lac_stis_007.fits,  0,DMS,O9V,O9V,  34200.0,   3.80,  -0.37,<0.23,   0.07,  99.00
16_CYG_B,2135550755683407232,  6.0734186,  6.4007215,  5.5745616,  0.8261600,NOT_AVAILABLE,      0,true, 29, 27,     295.4665541666666968,      50.5175247222222197,     295.4656128374423361,      50.5168016496982375,16cygb_stis_005.fits,  0,OK,G3V,G3V,   5820.0,   4.80,   0.16,<0.21,   0.02,   3.10
18_SCO,4345775217221821312,  5.3276510,  5.6549315,  4.8378544,  0.8170772,NOT_AVAILABLE,      0,true, 19, 17,     243.9052916666666988,      -8.3694394444444455,     243.9063360600599708,      -8.3716411615488013,18sco_stis_006.fits,  0,OK,G2Va,G2V,   6120.0,   4.90,   0.29,,   0.07,   3.10
1732526,1651137131123978112, 12.5153427, 12.5714874, 12.4144430,  0.1570444,NOT_AVAILABLE,      0,true, 36, 37,     263.2192916666667202,      71.0786444444444356,     263.2192963496160587,      71.0786326089252896,1732526_stisnic_008.fits,  1,OK,A4V,A4V,   8600.0,   4.10,  -0.33,1.40,   0.03,   3.10
17403462,1633143932573832448, 12.4608011, 12.5497608, 12.2901878,  0.2595730,NOT_AVAILABLE,      0,true, 39, 39,     265.1444958333333375,      65.4541027777777771,     265.1444359855501034,      65.4540883703819389,1740346_stisnic_005.fits,  1,OK,A6V,A6V,      0.0,   0.00,   0.00,,   0.00,   0.00
1743045,1634280312200704768, 13.4711504, 13.6078463, 13.2368307,  0.3710155,VARIABLE,      0,true,105,105,     265.7686916666666548,      66.9171277777777789,     265.7687029043779603,      66.9171161332906621,1743045_stisnic_008.fits,  0,VAR,A5V,A8III,   7380.0,   3.55,  -0.29,<1.32,   0.01,   3.10
2MASSJ17571324+6703409,1633585107317144960, 11.7669077, 11.8900509, 11.5464439,  0.3436069,NOT_AVAILABLE,      0,true, 35, 34,     269.3051333333333446,      67.0613213888888851,     269.3051437536860817,      67.0612637971275660,1757132_stiswfc_005.fits,  1,OK,A3V,A3V,   7380.0,   3.40,   0.05,<0.37,   0.00,   3.10
2MASSJ18022716+6043356,2158745262705810304, 11.9958010, 12.0237026, 11.9498949,  0.0738077,NOT_AVAILABLE,      0,true, 41, 41,     270.6132041666667192,      60.7265533333333352,     270.6132276878844323,      60.7265429458264592,1802271_stiswfcnic_005.fits,  1,OK,A2V,A2V,   8960.0,   4.05,  -0.41,<0.82,   0.01,   3.10
1805292,2161093682102883712, 12.2869501, 12.3421392, 12.1827669,  0.1593723,NOT_AVAILABLE,      0,true, 42, 39,     271.3719791666666197,      64.4644805555555536,     271.3719642653538813,      64.4645243997881323,1805292_stisnic_007.fits,  1,OK,A4V,A4V,   8650.0,   4.05,   0.07,<0.49,   0.04,   3.10
