CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or,radr3,decdr3,namefits,bestfitFLAG,COMMENT,Sp_simbad,Sp_calspec,Teff,logg,zeta,var,E_BV,RV
109_VIR,3655377057091634304,  3.7283771,  3.7357953,  3.6791286,  0.0566666,NOT_AVAILABLE,      0,0.0, 16, 16,     221.5621874999999932,       1.8928844000000000,     221.5616692829817111,       1.8927928769364968,109vir_stis_005.fits,  0,OK,A0IIInn,A0III,   9770.0,   3.00,  -0.18,,   0.02,   3.10
10_LAC,1908095850396090880,  4.8254528,  4.7139649,  5.0169492, -0.3029842,NOT_AVAILABLE,      0,1.0, 50, 41,     339.8153292000000079,      39.0502697000000012,     339.8153178616346395,      39.0502452024008022,10lac_stis_008.fits,  0,DMS,O9V,O9V,  34060.0,   3.85,  -0.09,<0.23,   0.08,   3.10
16_CYG_B,2135550755683407232,  6.0734186,  6.4007215,  5.5745616,  0.8261600,NOT_AVAILABLE,      0,1.0, 29, 27,     295.4665542000000187,      50.5175247000000027,     295.4656128374423361,      50.5168016496982375,16cygb_stis_005.fits,  0,OK,G3V,G3V,   5820.0,   4.80,   0.16,<0.21,   0.02,   3.10
18_SCO,4345775217221821312,  5.3276510,  5.6549315,  4.8378544,  0.8170772,NOT_AVAILABLE,      0,1.0, 19, 17,     243.9052916999999923,      -8.3694393999999992,     243.9063360600599992,      -8.3716411615488013,18sco_stis_006.fits,  0,OK,G2Va,G2V,   6120.0,   4.90,   0.29,,   0.07,   3.10
1732526,1651137131123978112, 12.5153427, 12.5714874, 12.4144430,  0.1570444,NOT_AVAILABLE,      0,1.0, 36, 37,     263.2192916999999852,      71.0786444000000017,     263.2192963496160587,      71.0786326089252896,1732526_stisnic_009.fits,  1,OK,A4V,A4V,   8310.0,   4.00,  -0.28,1.40,   0.00,   3.10
17403462,1633143932573832448, 12.4608011, 12.5497608, 12.2901878,  0.2595730,NOT_AVAILABLE,      0,1.0, 39, 39,     265.1444958000000156,      65.4541028000000011,     265.1444359855501034,      65.4540883703819389,1740346_stisnic_005.fits,  1,OK,A6V,A6V,     99.0,  99.99,  99.99,,  99.99, 100.00
1743045,1634280312200704768, 13.4711504, 13.6078463, 13.2368307,  0.3710155,VARIABLE,      0,1.0,105,105,     265.7686916999999767,      66.9171278000000029,     265.7687029043780171,      66.9171161332906621,1743045_stisnic_009.fits,  0,VAR,A5V,A8III,   7260.0,   3.35,  -0.53,<1.32,   0.00,   3.10
2MASSJ17571324+6703409,1633585107317144960, 11.7669077, 11.8900509, 11.5464439,  0.3436069,NOT_AVAILABLE,      0,1.0, 35, 34,     269.3051333000000227,      67.0613213999999971,     269.3051437536860817,      67.0612637971275660,1757132_stiswfc_006.fits,  1,OK,A3V,A3V,   7370.0,   3.40,   0.02,<0.37,   0.00,   3.10
2MASSJ18022716+6043356,2158745262705810304, 11.9958010, 12.0237026, 11.9498949,  0.0738077,NOT_AVAILABLE,      0,1.0, 41, 41,     270.6132041999999842,      60.7265532999999991,     270.6132276878844323,      60.7265429458264592,1802271_stiswfcnic_006.fits,  1,OK,A2V,A2V,   9060.0,   4.05,  -0.48,<0.82,   0.02,   3.10
1805292,2161093682102883712, 12.2869501, 12.3421392, 12.1827669,  0.1593723,NOT_AVAILABLE,      0,1.0, 42, 39,     271.3719791999999984,      64.4644806000000017,     271.3719642653538813,      64.4645243997881323,1805292_stisnic_008.fits,  1,OK,A4V,A4V,   8260.0,   3.85,  -0.26,<0.49,   0.00,   3.10
2MASSJ18083474+6927286,2260019315938461952, 12.0400524, 12.1321859, 11.8638315,  0.2683544,NOT_AVAILABLE,      0,1.0, 39, 39,     272.1447332999999844,      69.4579782999999935,     272.1447903730273197,      69.4580156024622966,1808347_stiswfc_006.fits,  0,OK,A3V,A3V,   7700.0,   3.60,  -0.89,1.65,   0.00,   3.10
