xshot,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,COMMENT,bestfitFLAG,nameSPECTRUM,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
G191B2B,266077145295627520,11.718442,11.546422,12.070696,-0.5242739,NOT_AVAILABLE,0,True,39,39,OK,1,G191B2B_SED.dat,1.009,0.016,0.013,1.588,1.343,1.512,-20.0
GD153,3944400490365194368,13.310926,13.1507225,13.632245,-0.48152256,NOT_AVAILABLE,0,True,51,50,OK,0,GD153_SED.dat,1.01,0.022,0.022,4.092,4.044,4.521,-20.0
GD71,3348071631670500736,12.999769,12.853095,13.305408,-0.45231247,NOT_AVAILABLE,0,True,26,26,OK,0,GD71_SED.dat,1.012,0.028,0.029,3.694,3.601,4.321,-20.0
WDFS0103-00,2536159496590552704,19.302286,19.163628,19.672174,-0.5085468,NOT_AVAILABLE,0,False,33,32,OK,0,WDFS0103-00_SED.dat,99.99,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
WDFS0122-30,5028544686500198144,18.664406,18.532076,19.010004,-0.47792816,NOT_AVAILABLE,0,False,61,63,OK,0,WDFS0122-30_SED.dat,99.99,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
WDFS0228-08,5176546064064586624,19.975046,19.819794,20.067978,-0.2481842,NOT_AVAILABLE,0,False,15,16,OK,0,WDFS0228-08_SED.dat,99.99,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
WDFS0238-36,4953936951336477440,18.235914,18.188326,18.385965,-0.19763947,NOT_AVAILABLE,0,True,58,54,OK,1,WDFS0238-36_SED.dat,0.998,0.073,0.07,6.295,6.265,8.96,-20.0
WDFS0248+33,139724391470489472,18.521025,18.422892,18.74237,-0.319479,NOT_AVAILABLE,0,False,24,25,OK,0,WDFS0248+33_SED.dat,99.99,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
WDFS0458-56,4764189621230467584,17.958984,17.846926,18.251036,-0.40410995,NOT_AVAILABLE,0,True,38,39,OK,0,WDFS0458-56_SED.dat,0.979,0.085,0.08,8.997,9.047,13.278,-20.0
WDFS0541-19,2967083052984612736,18.433365,18.34946,18.607077,-0.25761604,NOT_AVAILABLE,0,True,60,61,OK,1,WDFS0541-19_SED.dat,0.995,0.078,0.073,6.16,6.193,8.997,-20.0
WDFS0639-57,5484605140287436416,18.375322,18.269468,18.702349,-0.4328804,NOT_AVAILABLE,0,True,39,38,OK,0,WDFS0639-57_SED.dat,0.916,0.091,0.082,8.269,9.144,13.776,-20.0
WDFS0727+32,892231562565363072,18.188688,18.042826,18.451817,-0.40899086,NOT_AVAILABLE,0,False,23,24,OK,0,WDFS0727+32_SED.dat,99.99,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
WDFS0815+07,3097940536010212736,19.931236,19.787401,20.247822,-0.4604206,NOT_AVAILABLE,0,False,22,18,OK,0,WDFS0815+07_SED.dat,99.99,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
WDFS0956-38,5421579652019276160,18.002356,17.944874,18.157078,-0.21220398,NOT_AVAILABLE,0,True,72,75,OK,0,WDFS0956-38_SED.dat,0.976,0.08,0.074,8.305,7.746,10.871,-20.0
WDFS1024-00,3830980604624181376,19.083263,18.995747,19.234081,-0.23833466,NOT_AVAILABLE,0,False,19,18,OK,0,WDFS1024-00_SED.dat,99.99,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
