NGSL_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or, radr3, decdr3,namecsv,bestfitFLAG,COMMENT,Sp,Teff,logg,FeH,EBV
BD+064990,2720896455287475584,  9.5171833,  9.6918335,  9.1863728,  0.5054607,VARIABLE,      0,true, 22, 22,     333.8568329999999946,       6.8226220000000000,     333.8569363999999950,       6.8226196000000003,BD+064990.fits.csv,  0,VAR,kA4hF0.5,   7768.0,   2.70,  -1.02,   0.08
BD+112998,4458990005388621952,  8.8684120,  9.2352324,  8.3155336,  0.9196987,NOT_AVAILABLE,      0,true, 79, 79,     247.5699260000000095,      10.9977090000000004,     247.5694321000000002,      10.9974656999999993,BD+112998.fits.csv,  0,OK,F8,   5480.0,   3.00,  -1.12,   0.04
BD+172844,1208515290704236032,  7.6149917,  8.7014170,  6.5686417,  2.1327753,NOT_AVAILABLE,      0,true, 34, 34,     229.2756439999999998,      17.0666499999999992,     229.2755147000000022,      17.0666307999999987,BD+172844.fits.csv,  0,OK,M0,   4575.0,   2.50,   0.00,   0.04
BD+251981,690419295663797760,  9.2307215,  9.3960390,  8.9209652,  0.4750738,NOT_AVAILABLE,      0,true, 77, 76,     131.1028740000000141,      24.7965960000000010,     131.1023131999999976,      24.7950483999999989,BD+251981.fits.csv,  0,ChP,F0,   6858.0,   4.28,  -1.20,   0.01
BD+26595,71049724129117568,  8.0320148,  8.5842628,  7.3222818,  1.2619810,NOT_AVAILABLE,      0,false, 25, 24,      55.0418489999999991,      26.9603380000000001,      55.0424190000000024,      26.9599493999999993,BD+26595.fits.csv,  0,OK,G8III,   4383.0,   2.10,  -0.80,   0.04
BD+29366,300268314784686464,  8.6111908,  8.9137564,  8.1281261,  0.7856302,NOT_AVAILABLE,      0,true, 24, 24,      32.6021980000000013,      29.8065730000000002,      32.6036779000000010,      29.8053883000000006,BD+29366.fits.csv,  0,OK,G3,   5777.0,   4.46,  -0.86,   0.01
BD+302512,1284721994948665216,  8.0202570,  8.7514544,  7.1926694,  1.5587850,NOT_AVAILABLE,      0,true, 49, 47,     215.4884010000000103,      29.6296159999999986,     215.4851716000000010,      29.6282448000000009,BD+302512.fits.csv,  0,OK,K6V,   4313.0,   4.68,   0.21,   0.00
BD+302611,1275876252107941888,  8.7275190,  9.3954182,  7.9365087,  1.4589095,NOT_AVAILABLE,      0,true,111,111,     226.7242850000000089,      30.0102620000000009,     226.7243560000000002,      30.0102270000000004,BD+302611.fits.csv,  0,ChP,G8III,   4357.0,   0.96,  -1.48,   0.02
BD+363168,2096185937305282048,  5.8647346,  8.0406713,  4.5377283,  3.5029430,VARIABLE,      0,true, 28, 28,     278.0836540000000241,      36.9987830000000031,     278.0836226000000124,      36.9987672000000032,BD+363168.fits.csv,  0,C,C-J4:p,   2377.0,   0.00,   0.30,   0.04
BD+381670,946948827441088000,  9.2650785,  9.6066599,  8.7422342,  0.8644257,NOT_AVAILABLE,      0,false, 20, 19,     105.7702270000000055,      38.1422469999999976,     105.7701093000000014,      38.1411236000000002,BD+381670.fits.csv,  0,BIN,G0,   5535.0,   4.11,  -0.70,   0.02
BD+413306,2101486923385239808,  8.6545935,  9.0700760,  8.0447464,  1.0253296,NOT_AVAILABLE,      0,true, 44, 44,     289.7522870000000239,      41.6346059999999980,     289.7528499000000011,      41.6317961999999966,BD+413306.fits.csv,  0,planet,K0V,   5052.0,   4.41,  -0.53,   0.00
BD-122669,5735105839354643584, 10.1405363, 10.3063154,  9.8344803,  0.4718351,NOT_AVAILABLE,      0,true, 52, 54,     131.6649020000000121,     -13.3570569999999993,     131.6633919999999875,     -13.3577793000000007,BD-122669.fits.csv,  0,BIN,A5,   6892.0,   4.16,  -1.47,   0.05
BD+17_4708,1776289248313154688,  9.3297033,  9.5795650,  8.9045820,  0.6749830,NOT_AVAILABLE,      0,false, 21, 20,     332.8807300000000282,      18.0928220000000017,     332.8830975999999851,      18.0930907000000012,BD174708.fits.csv,  0,BIN,sdF8,   6198.0,   4.18,  -1.56,   0.04
BD+29_2091,731253779217024640, 10.1017380, 10.3872423,  9.6383467,  0.7488956,NOT_AVAILABLE,      0,true, 24, 24,     161.8465099999999950,      28.3988690000000013,     161.8474075999999968,      28.3952030999999998,BD292091.fits.csv,  0,OK,F5,   5615.0,   3.68,  -2.01,   0.02
BD+37_1458,955962241512224384,  8.7177391,  9.0567751,  8.1882925,  0.8684826,NOT_AVAILABLE,      0,true, 38, 38,      94.0063430000000011,      37.7218769999999992,      94.0067458000000045,      37.7203079000000017,BD371458.fits.csv,  0,ChP,G0,   5365.0,   3.29,  -2.01,   0.02
BD+41_3931,2065901676227318272, 10.0905685, 10.4240637,  9.5801849,  0.8438787,NOT_AVAILABLE,      0,true, 46, 45,     313.8198130000000106,      42.3001879999999986,     313.8201463999999987,      42.2984555999999969,BD413931.fits.csv,  0,OK,G5,   5530.0,   4.08,  -1.48,   0.04
BD+42_3607,2075007556661946880,  9.9451199, 10.2264690,  9.4850407,  0.7414284,NOT_AVAILABLE,      0,true, 43, 45,     302.2558890000000247,      42.8652579999999972,     302.2566135999999801,      42.8667702999999989,BD423607.fits.csv,  0,ChP,F3,   5659.0,   3.69,  -2.11,   0.00
BD+44_2051,778947814402602752,  7.9126649,  8.9820414,  6.8778634,  2.1041780,NOT_AVAILABLE,      0,true, 27, 25,     166.3690699999999936,      43.5267740000000032,     166.3420596999999930,      43.5309486000000021,BD442051.fits.csv,  0,OK,M1.0V,   3664.0,   4.70,  -0.83,   0.06
BD+51_1696,791249665893533568,  9.7319536, 10.0392513,  9.2440910,  0.7951603,NOT_AVAILABLE,      0,true, 86, 82,     176.6464819999999918,      50.8818559999999991,     176.6403621000000044,      50.8794375000000016,BD511696.fits.csv,  0,ChP,sdG0,   5746.0,   4.39,  -1.25,   0.03
BD+59_2723,2012367039189084928, 10.3210325, 10.5819159,  9.8892794,  0.6926365,NOT_AVAILABLE,      0,true, 47, 48,     351.6368299999999749,      60.6285499999999971,     351.6410779999999932,      60.6287348999999978,BD592723.fits.csv,  0,BIN,sdF8,   6035.0,   4.00,  -1.94,   0.06
BD+66_0268,491805851686912000,  9.7112513, 10.0742779,  9.1634550,  0.9108229,NOT_AVAILABLE,      0,true, 75, 73,      52.8225010000000026,      66.7302839999999975,      52.8359057999999990,      66.7255459000000002,BD660268.fits.csv,  0,OK,G0,   5240.0,   3.45,  -1.81,   0.00
BD+72_0094,558748070956581248,  9.8100138, 10.0451641,  9.4008484,  0.6443157,NOT_AVAILABLE,      0,true, 48, 47,      26.8016040000000011,      73.4742200000000025,      26.7983757000000011,      73.4749500000000069,BD720094.fits.csv,  0,OK,sdF2:,   6174.0,   4.06,  -1.76,   0.04
CD-259286,3499611306368945536, 10.6748285, 10.9597750, 10.2480755,  0.7116995,VARIABLE,      0,true, 39, 44,     187.6270959999999945,     -26.0475309999999993,     187.6269160999999883,     -26.0474634000000016,CD-259286.fits.csv,  0,VAR,kA2hF5,   6336.0,   4.11,  -1.22,   0.09
CD-621346,6451102215021927040,  9.6596842, 10.0308084,  9.1087160,  0.9220924,NOT_AVAILABLE,      0,true, 52, 50,     316.5121750000000134,     -61.5624019999999987,     316.5120350000000258,     -61.5628586999999996,CD-621346.fits.csv,  0,ChP,CEMP-s,   5296.0,   2.86,  -1.44,   0.07
G021-024,4258375617747092864,  8.2696028,  9.0283766,  7.4209270,  1.6074495,NOT_AVAILABLE,      0,true, 17, 18,     281.8635439999999903,      -3.6398329999999999,     281.8629551000000220,      -3.6410554999999998,G021-024.fits.csv,  0,OK,K5V,   3995.0,   4.49,  -0.44,   0.02
G029-023,2658240166703766016, 10.0837107, 10.3383007,  9.6585245,  0.6797762,NOT_AVAILABLE,      0,true, 29, 28,     349.9185420000000022,       3.3713030000000002,     349.9198935000000006,       3.3706760999999998,G029-023.fits.csv,  0,OK,sdF6,   6143.0,   4.09,  -1.74,   0.07
G114-26,5762455439477309440,  9.5054350,  9.7675209,  9.0613956,  0.7061253,NOT_AVAILABLE,      1,true, 40, 39,     134.7921279999999911,      -4.0268069999999998,     134.7936711000000116,      -4.0293985000000001,G114-26.fits.csv,  0,BIN,F3,   5966.0,   4.14,  -1.59,   0.02
G115-58,1011379899590855936, 11.9729252, 12.2198315, 11.5624666,  0.6573648,NOT_AVAILABLE,      0,true, 57, 60,     137.7004190000000108,      46.3768760000000029,     137.7003664000000072,      46.3758843000000027,G115-58.fits.csv,  0,OK,sdF5,   6117.0,   4.08,  -1.65,   0.05
G12-21,3920615854833203328, 10.0210476, 10.2822046,  9.5888300,  0.6933746,NOT_AVAILABLE,      0,true, 43, 43,     183.0057040000000086,      13.2612830000000006,     183.0047068000000081,      13.2593297000000003,G12-21.fits.csv,  0,OK,F6wl,   6021.0,   4.19,  -1.43,   0.03
G13-35,3699954179060804864,  9.5262346,  9.7676945,  9.1120262,  0.6556683,NOT_AVAILABLE,      0,true, 52, 50,     186.3956530000000100,       1.2839609999999999,     186.3955127000000118,       1.2818645000000000,G13-35.fits.csv,  0,OK,F0V,   6015.0,   3.99,  -1.84,   0.02
G169-28,4565784161044390656, 11.0994158, 11.4012499, 10.6217508,  0.7794991,NOT_AVAILABLE,      0,true, 75, 77,     252.5477860000000021,      22.3138949999999987,     252.5470677000000137,      22.3122660999999987,G169-28.fits.csv,  0,OK,G3V,   5849.0,   4.21,  -1.32,   0.01
G18-39,2722849325377392384, 10.2452536, 10.5059080,  9.8131027,  0.6928053,NOT_AVAILABLE,      0,true, 23, 24,     334.6521089999999958,       8.4458219999999997,     334.6533810000000244,       8.4453688000000007,G18-39.fits.csv,  0,OK,G0,   6091.0,   4.18,  -1.47,   0.03
G18-54,2703075330306439808, 10.5511932, 10.8346138, 10.0930071,  0.7416067,NOT_AVAILABLE,      1,false, 23, 23,     337.9009120000000053,       2.1621750000000000,     337.9011318999999958,       2.1607340000000002,G18-54.fits.csv,  0,BIN,sd:F7,   6044.0,   4.23,  -1.51,   0.06
G180-24,1383605782919581824,  9.7329578,  9.9869614,  9.3075914,  0.6793699,NOT_AVAILABLE,      0,true, 38, 39,     240.8054119999999898,      42.2462919999999968,     240.8042370999999946,      42.2446690000000018,G180-24.fits.csv,  0,ChP,F5,   6042.0,   4.13,  -1.40,   0.01
