SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,bestfitFLAG,COMMENT,ra_or,dec_or, radr3, decdr3
        15,      1686708050268594944, 12.7722387, 12.6871138, 12.9656792, -0.2785654,VARIABLE,      0,true, 42, 41,  0,OK,     204.7103253777683278,      70.2854557382038934,     204.7050279142714828,      70.2853466792170849
        21,      2398029465700538880, 11.8875513, 12.2257204, 11.3708792,  0.8548412,NOT_AVAILABLE,      0,true, 19, 19,  0,OK,     343.1713550021341916,     -20.5938953916408316,     343.1713550021341348,     -20.5938953916407819
        22,      2405805697263561600, 14.0590935, 14.0566912, 14.0435543,  0.0131369,NOT_AVAILABLE,      0,true, 23, 21,  1,OK,     349.8974507755600030,     -17.0912404370499971,     349.8985763665459103,     -17.0911949757201818
        24,      3126052883671520896, 10.4152164, 10.4958506, 10.2256489,  0.2702017,VARIABLE,      0,true, 23, 23,  0,OK,     101.3057140985229125,       2.1374110488127775,     101.3057140985229125,       2.1374110488127798
       102,       572487740053132288, 13.1233358, 13.0440550, 13.2942114, -0.2501564,VARIABLE,      0,true, 41, 39,  0,OK,      25.3700044629799990,      83.5830081165299958,      25.3652256351945375,      83.5833855765008025
       115,      5757389920689415040, 11.7409897, 12.0667515, 11.2154465,  0.8513050,NOT_AVAILABLE,      0,true, 31, 31,  0,DMS,     134.7650089077208406,      -6.3983384472972222,     134.7650089077211248,      -6.3983384472972515
       116,      3853478472249151616, 12.2632504, 12.6138163, 11.7343912,  0.8794250,NOT_AVAILABLE,      0,true, 34, 33,  1,OK,     147.4649767026378981,       6.6098655773083328,     147.4653090868015681,       6.6084139421385473
       119,      3754712881779364992, 12.9995575, 12.8859196, 13.2501431, -0.3642235,NOT_AVAILABLE,      0,true, 21, 21,  0,OK,     158.4266179368658527,     -11.6941079122861105,     158.4266179368659664,     -11.6941079122860803
       122,      3817965105665685504, 11.1313877, 11.5360489, 10.5457411,  0.9903078,NOT_AVAILABLE,      0,true, 25, 23,  1,OK,     167.7499958292964095,       6.4198522946857004,     167.7474566575181143,       6.4175667493824333
       135,      4328293291578459392, 13.3990622, 13.2584362, 13.6836290, -0.4251928,NOT_AVAILABLE,      0,true, 32, 29,  0,OK,     244.4793764581058610,     -15.5985511238622223,     244.4793764581063158,     -15.5985511238621495
