UVES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,ra_or,dec_or, radr3, decdr3,namefits,bestfitFLAG,COMMENT,Sptype,Teff,logg,Fe_H,E(B-V)
Achernar,none, 99.9899979, 99.9899979, 99.9899979, 99.9899979,none,      0,none,  0,  0,      24.4285227999999996,     -57.2367527999999979,       0.0000000000000000,       0.0000000000000000,Achernar.fits,  0,Be,B6Vpe,  14679.7,   3.08,   0.18,   0.02
Agena,none, 99.9899979, 99.9899979, 99.9899979, 99.9899979,none,      0,none,  0,  0,     210.9558556000000067,     -60.3730351999999968,       0.0000000000000000,       0.0000000000000000,Agena.fits,  0,VAR,B1III,  33254.4,   3.88,  -0.26,   0.08
Aldebaran,none, 99.9899979, 99.9899979, 99.9899979, 99.9899979,none,      0,none,  0,  0,      68.9801628000000022,      16.5093023999999993,       0.0000000000000000,       0.0000000000000000,Aldebaran.fits,  0,AGB,K5+III,   3859.6,  -0.16,  -1.16,   0.10
Altair,none, 99.9899979, 99.9899979, 99.9899979, 99.9899979,none,      0,none,  0,  0,     297.6958273000000190,       8.8683212000000005,       0.0000000000000000,       0.0000000000000000,Altair.fits,  0,VAR,A7Vn,   7485.4,   3.72,  -0.08,   0.00
Arcturus,none, 99.9899979, 99.9899979, 99.9899979, 99.9899979,none,      0,none,  0,  0,     213.9153003000000126,      19.1824091999999986,       0.0000000000000000,       0.0000000000000000,Arcturus.fits,  0,OK,K1.5IIIFe-0.5,   4765.0,   2.47,  -0.43,   0.17
Bellatrix,none, 99.9899979, 99.9899979, 99.9899979, 99.9899979,none,      0,none,  0,  0,      81.2827635000000015,       6.3497032999999998,       0.0000000000000000,       0.0000000000000000,Bellatrix.fits,  0,VAR,B2V,  22017.3,   3.51,   0.01,   0.01
Betelgeuse,none, 99.9899979, 99.9899979, 99.9899979, 99.9899979,none,      0,none,  0,  0,      88.7929390000000041,       7.4070640000000001,       0.0000000000000000,       0.0000000000000000,Betelgeuse.fits,  0,RSG,M1-M2Ia-Iab,   3778.5,  -0.46,  -0.13,   0.22
Canopus,none, 99.9899979, 99.9899979, 99.9899979, 99.9899979,none,      0,none,  0,  0,      95.9879578000000038,     -52.6956613999999988,       0.0000000000000000,       0.0000000000000000,Canopus.fits,  0,OK,A9II,   7028.9,   1.12,  -0.27,   0.00
Castor,892348694913501952,  2.9247973,  3.2107816,  2.7979324,  0.4128492,NOT_AVAILABLE,      0,false,  6,  6,     113.6494715999999983,      31.8882821999999990,     113.6497899999999959,      31.8885040000000011,Castor.fits,  0,SAT,A1V+A2Vm,   9030.9,   3.94,   0.19,   0.00
HD000142,4976894960284258048,  5.5867019,  5.8390980,  5.1695895,  0.6695085,NOT_AVAILABLE,      1,true, 80, 71,       1.5798972000000000,     -49.0751865000000009,       1.5837991000000000,     -49.0753679999999974,HD000142.fits,  0,Planet,F7V,   6271.5,   3.97,  -0.04,   0.01
HD000739,2309813109479463040,  5.1205902,  5.3561015,  4.7467022,  0.6093993,NOT_AVAILABLE,      0,true, 30, 25,       2.9334212000000002,     -35.1331147000000001,       2.9343520999999999,     -35.1325569999999985,HD000739.fits,  0,OK,F5V,   6230.5,   3.52,  -0.46,   0.00
