source_id  ra  dec spectral_type mytype binary
           2067867358199590400     308.946173      41.379064      WC4;+WC5;+WC6+O8                    WC    SB2,+VB
           2064136925704910080     307.094415      38.621917               WC4+OB?                    WC     d.e.l.
           5258557987863082624     154.520738     -58.273943    WC4;+WC5;+WC4pd+O9                    WC CWB+(P=10.1y)
           4152380330315696640     275.818095     -13.723926               WC5+OB?                    WC     d.e.l.
           5337259484009055616     166.975245     -61.461325               WC5+OB?                    WC     d.e.l.
           5338166855999992448     164.970444     -59.878711               WC5+OB?                    WC     d.e.l.
            454818035714964992      40.298645      56.730493                 WC5+?                    WC SB1,+no+d.e.l.
           5588584477463342592     116.459985     -34.330125                WC5+O7                    WC SB2+(P=14.3d)
           5241922754918453760     162.774952     -62.283784    WC6+O6-8;+WC6+O7.5                    WC SB2+(P=18.8d)
           5350515505419614080     161.158507     -58.807994                 WC6+a                    WC a,+no+d.e.l.
           2034096172116995712     300.415530      32.571636                 WC6+?                    WC        SB1
           5858915766471945984     197.029759     -65.306029  WC6(+O9.5/B0Iab);+WC6+O6-7V                    WC SB1,+VB+(P=19.14d)
           5338030172959579008     164.428535     -60.566781                   WC6                    WC  a,+d.e.l.
           2081261372633822592     305.116539      43.854516  WC7pd+O4-5;+WC7ed+O5                    WC SB2,+VB;+CWB+(P=7.94yr)
           2060508777869902592     303.632346      36.660974    WC7pd+O9;+WC7ed+O9                    WC SB2+(P~13.05yr)
           4515628288919542784     292.065043      19.555957           WC7ed+O9III                    WC SB2;+Ep+dust+(P~28.3yr)
           5976045567560658560     261.286878     -34.186820              WC7+O7-9                    WC       SB2?
           5978698590355238912     259.596079     -34.408511        WC7+(+B0III-I)                    WC   SB1?,+VB
           5966509541883497984     253.582076     -41.819880              WC7+O5-8                    WC SB2,+VB+(P=8.89d)
           5337278278787851136     166.577347     -61.237142                   WC7                    WC  a,+d.e.l.
           5328783280128054784     133.746500     -47.592382                 WC7+?                    WC SB1,+no+d.e.l.
           5337278278787846784     166.577987     -61.238447               WC7+OB?                    WC     d.e.l.
           5337255429559053824     167.516940     -60.979152               WC7+O7V                    WC SB2+(P=7.89d)
           5868490073153134592     199.504280     -62.434658                WC7+OB                    WC        SB2
           4056719657597352832     265.304337     -30.541786             WC8-9vd+?                    WC CWB,+Var+dust+(P=1.54y)
           5862502029749697280     198.164954     -62.715541    WC8ed+?;+WC8vd+WN8                    WC CWB,+VB?+(P=32.5y?)
           5941013958888446592     250.330216     -48.033100                WC8+OB                    WC  a,+d.e.l.
           4153716198275554176     274.780676     -11.633108           WC8d+O8-9IV                    WC SB2+(P=29.7d)
           5940105904021494528     251.771697     -45.873624                WC9d+?                    WC SB1+(P=5.05d)
           4094789697991379712     274.139541     -18.978445     WC9d+OB?;+WC8-9vd                    WC d.e.l.,+VB+(P=12.3yr)
           4042922573453831936     270.429781     -32.715325                WC9d+?                    WC SB1,+no+d.e.l.
           5876932844981435904     228.423757     -59.195838    WC9d+OB?;+WC9vd+OB                    WC d.e.l.+Var+dust+(P~4.8yr)
           5875086524484367232     231.047085     -62.677125               WC9d+OB                    WC        SB2
           5964447648351695488     252.740134     -43.674380           WC9d;+WC9vd                    WC Var+dust+(P=1.26yr)
           4069167258796371712     270.517183     -23.628382      WC9d+B0.5V+(+VB)                    WC    SB2,+VB
           5882096598319863936     232.436186     -58.580917             WC9vd+B0I                    WC SB2+(P=2.8yr?)
