source_id  ra  dec spectral_type mytype binary
            426378793809476096      16.345932      60.421911                  WN2b                    WN         VB
            508955656105078912      24.731745      58.156291                 WN3ha                    WN        SB2
           5862235604379974016     198.218153     -63.396072               WN3h/C4                    WN      myBIN
           2028294667765054464     296.566397      28.271940            WN3b+O9.5V                    WN SB2+(9.56d)
           6057676201358478336     181.327948     -62.052815              WN3b+pec                    WN d.e.l.,+SB1?
           5868477256969661824     199.597272     -62.472565                  WN4o                    WN     d.e.l.
           5851583256480676864     207.268643     -65.698933               WN4b/CE                    WN      myBIN
           5338422591176599040     163.436697     -59.512956              WN4o+O8V                    WN SB2,+VB+(P=4.83d)
           5878338708038978304     218.157039     -61.498379  WN4-5o;+WN5+O5.5-6;+WN6o                    WN SB2+(P=9.1d)
           2198726735325037440     332.389319      57.741806              WN4o+O5V                    WN SB2+(P=2.13d)
           1821509378448652416     297.134152      18.201002                WN4(h)                    WN       SB2?
           5258583929469166720     154.259426     -57.913005                  WN4b                    WN      myBIN
           2032145466709678464     297.076087      30.447940                  WN4o                    WN      myBIN
           2922367976673391232     103.554329     -23.928326                  WN4b                    WN       SB1?
           5339121811857056128     169.240939     -59.439956              WN4o+OB?                    WN     d.e.l.
           2013906561629759232     348.802242      60.450266           WN5o(+B1II)                    WN         VB
           2060661846184974464     304.250095      37.423249       WN5o+B?;+WN6o+O                    WN SB2,+VB+(P=1521d)
           2061291595788070656     304.885083      38.731639          WN5o+O6III-V                    WN SB2+(P=4.2d)
           4053667756967584128     264.223429     -34.043556               WN5b+O7                    WN SB2+(P=12.6d)
           2059076148587289728     301.488834      35.788346              WN5o+O9I                    WN SB2,+VB+(112.8d)
           4038875335491155328     271.962080     -35.173677                  WN5h                    WN        SB1
           5597770416085979648     119.942678     -28.734178                  WN5h                    WN         VB
           5337916682731668992     165.026853     -61.441689                  WN5o                    WN      myBIN
           2057563358004716928     305.382190      36.920190          WN5o+O5V-III                    WN SB2+(P=21.7d)
           5351703390282380800     156.485393     -57.812077              O2If/WN5                    WN     d.e.l.
           5255569549619300096     156.630826     -58.640592   WN5o+O4-6;+WN5o+O7V                    WN SB2+(P=8.25d)
           5338564015865196800     165.637367     -59.439127            WN5-6b+OB?                    WN     d.e.l.
           5338152837224212992     165.101357     -59.993224            WN6h+O8.5V                    WN        SB2
           2006888825592397440     339.224784      56.905816          WN6o+O9II-Ib                    WN SB2+(P=1.64d)
           2006219978921880192     334.689996      56.126071  WN6o/CE+O6I;+WN6o/CE+O3-6+B0:I+B1:V-III                    WN SB2+(P=6.69d)+++SB2+(3.47d)
           5972220130436920832     258.612994     -39.763078                  WN6h                    WN d.e.l.,+VB
           5350357519345171200     161.043227     -59.719740         O2.5If*/WN6+O                    WN SB1;+CWB+(P~208d)
           2059146654767199872     302.559109      36.176371                  WN6b                    WN SB1?,+no+d.e.l
           2061690233159124352     303.027213      38.354910               WN6b(h)                    WN SB1?,+no+d.e.l.
           5882956313277086336     230.819180     -57.738852     WN6o+O5.5-6;+WN6o                    WN SB2+(P=5.22d)
           5876955556746594048     228.885913     -59.041874                  WN6o                    WN     d.e.l.
           2070186369963278080     310.901983      44.918100    WN6+O6.5V;+WN6+abs                    WN SB2+(P=4.43d)
           5350458670093520640     162.244633     -59.060356            WN6(h)+OB?                    WN     d.e.l.
           5337926269099549056     165.091009     -61.231216              WN6h+OB?                    WN     d.e.l.
           4104216429639420032     276.375062     -14.644722                  WN6o                    WN     d.e.l.
           5829299664809018880     240.955544     -62.693369                  WN6o                    WN d.e.l.,+SB2?
           6055101523064612864     190.962437     -63.087450   WN6o+O5V;+WN6o+O5.5                    WN SB2+(P=6.24d)
           2034210349533480192     300.079661      33.264173              WN7h+abs                    WN  a,+d.e.l.
           2067745076187793024     308.026144      40.808183             WN7o/CE+?                    WN        SB1
           4254815437833064064     282.915448      -5.580882               WN7o/WC                    WN      myBIN
           5940106041452121472     251.784795     -45.845966                WN7b+?                    WN var+(P=7.63d)
           5878214222686129408     222.742805     -59.857349               WN7o+OB                    WN  a,+d.e.l.
           5595121310305893760     116.242577     -31.908193               WN7o/CE                    WN        SB1
           5350370026290390912     160.322916     -59.676902   WN7ha;+WN7h+O9III-V                    WN        SB2
           5351131506811580032     161.133780     -57.839978               WN7b/CE                    WN      myBIN
           5338256844150504960     162.692832     -60.478110      WN7h+abs;+WN7h+O                    WN        SB2
           5940106007100727936     251.772370     -45.851353                  WN7o                    WN EB+(P=3.51d)
           5968019618048049664     253.080188     -41.854530                  WN7h                    WN   eclipse?
           2012912500041834752     355.877462      61.930034                  WN7h                    WN     d.e.l.
           5972658869920060544     259.720305     -38.834347              WN7h+abs                    WN  a,+d.e.l.
           5876711014185935232     228.740452     -59.841745                WN8(h)                    WN no+d.e.l.,+SB1?,+VB
           2064671253991921408     309.181793      40.352042          WN8(h)+B0.5V                    WN    SB2,+VB
           2182307453299864064     310.339744      52.587525                 WN8h+                    WN SB1,+d.e.l.
           5972660411778306304     259.752173     -38.814247              WN8h+abs                    WN a,+d.e.l.,+VB
           4513494205567536512     287.878634      16.860586                  WN8h                    WN SB1?,+no+d.e.l.
           5329864237502044160     131.197023     -45.982044                  WN8h                    WN SB1,+no+d.e.l.+(P=23.92)
           4254678995275751808     285.995929      -4.317222                  WN8o                    WN SB1?,+no+d.e.l.
           2014674226896884864     345.042165      60.927328                  WN8h                    WN     d.e.l.
           4053745100746865152     264.307265     -33.465565               WN8o/C7                    WN        SB1
           5964124353254695936     253.776874     -44.989276       WN9ha;+O6:Iafpe                    WN         VB
           5940106007092369152     251.767509     -45.852014                WN9h+?                    WN SB1+(P=53.95d)
           4069585661644839808     271.357223     -23.005659                 WN9ha                    WN  a,+d.e.l.
           5966563486675142912     253.743768     -41.150866        WN9ha;+O8Iafpe                    WN         VB
           5338220285385672064     164.048199     -60.453550                 WN11h                    WN         VB
