wave,flux,fluxerr
320.00000,1.3876956e-11,1.4812100e-13
320.01000,1.3935918e-11,1.4711517e-13
320.02000,1.4651827e-11,1.5279186e-13
320.03000,1.2092808e-11,1.3378717e-13
320.04000,8.3086731e-12,1.0403830e-13
320.05000,6.3262175e-12,8.7948927e-14
320.06000,7.4722062e-12,9.6680984e-14
320.07000,1.1662962e-11,1.3009169e-13
320.08000,1.4557605e-11,1.5342440e-13
320.09000,1.4016647e-11,1.4960724e-13
320.10000,1.2874311e-11,1.4096675e-13
320.11000,1.2743276e-11,1.4003279e-13
320.12000,1.5246367e-11,1.5933666e-13
320.13000,1.7960620e-11,1.8023743e-13
320.14000,1.8228515e-11,1.8223868e-13
320.15000,1.7558459e-11,1.7689804e-13
320.16000,1.6890802e-11,1.7173662e-13
320.17000,1.7184946e-11,1.7416845e-13
320.18000,1.8841104e-11,1.8698836e-13
320.19000,2.0305003e-11,1.9793330e-13
320.20000,2.0478312e-11,1.9868471e-13
320.21000,1.9332472e-11,1.8952498e-13
320.22000,1.6776734e-11,1.6992351e-13
320.23000,1.4164137e-11,1.4989628e-13
320.24000,1.2814319e-11,1.3936396e-13
320.25000,1.1011707e-11,1.2520247e-13
320.26000,8.5094690e-12,1.0527380e-13
320.27000,7.4403631e-12,9.6804049e-14
320.28000,8.8526434e-12,1.0823896e-13
320.29000,1.1494782e-11,1.2896564e-13
320.30000,1.3849156e-11,1.4713934e-13
320.31000,1.6135875e-11,1.6459199e-13
320.32000,1.8973791e-11,1.8572323e-13
320.33000,1.9762539e-11,1.9114974e-13
320.34000,1.6647063e-11,1.6742740e-13
320.35000,1.2577541e-11,1.3642711e-13
320.36000,1.2758619e-11,1.3759723e-13
320.37000,1.6890087e-11,1.6912008e-13
320.38000,1.9160534e-11,1.8695092e-13
320.39000,1.7179849e-11,1.7259137e-13
320.40000,1.4829333e-11,1.5488582e-13
320.41000,1.5173347e-11,1.5722368e-13
320.42000,1.7075596e-11,1.7140019e-13
320.43000,1.7405811e-11,1.7404172e-13
320.44000,1.6447980e-11,1.6711057e-13
320.45000,1.7929149e-11,1.7838134e-13
320.46000,2.0470505e-11,1.9778813e-13
320.47000,2.2202797e-11,2.1123724e-13
320.48000,2.2529689e-11,2.1369392e-13
320.49000,2.1028572e-11,2.0201155e-13
320.50000,1.8863985e-11,1.8552039e-13
320.51000,1.7634052e-11,1.7619626e-13
320.52000,1.5936160e-11,1.6318975e-13
320.53000,1.2819660e-11,1.3923815e-13
320.54000,9.6982921e-12,1.1477826e-13
320.55000,8.4908255e-12,1.0487031e-13
320.56000,1.0883366e-11,1.2353617e-13
320.57000,1.4750968e-11,1.5387533e-13
320.58000,1.6868014e-11,1.7041735e-13
320.59000,1.7492042e-11,1.7570517e-13
320.60000,1.7435337e-11,1.7584273e-13
320.61000,1.7048472e-11,1.7314145e-13
320.62000,1.7707243e-11,1.7805961e-13
320.63000,1.8275974e-11,1.8240142e-13
320.64000,1.8140662e-11,1.8129942e-13
320.65000,1.8763456e-11,1.8593433e-13
320.66000,1.9474481e-11,1.9136409e-13
320.67000,1.9866245e-11,1.9449966e-13
320.68000,1.8985938e-11,1.8814607e-13
320.69000,1.6877167e-11,1.7215194e-13
320.70000,1.5130166e-11,1.5881465e-13
320.71000,1.3753230e-11,1.4829107e-13
320.72000,1.3769222e-11,1.4820794e-13
320.73000,1.5887173e-11,1.6433382e-13
320.74000,1.8039593e-11,1.8093499e-13
320.75000,1.8555414e-11,1.8488295e-13
320.76000,1.8381982e-11,1.8340118e-13
320.77000,1.7455466e-11,1.7614566e-13
320.78000,1.6589878e-11,1.6897181e-13
320.79000,1.7888719e-11,1.7795016e-13
320.80000,1.8688097e-11,1.8377615e-13
320.81000,1.7286606e-11,1.7369162e-13
320.82000,1.6522040e-11,1.6829363e-13
320.83000,1.7134860e-11,1.7228967e-13
320.84000,1.5528461e-11,1.5915878e-13
320.85000,1.1724897e-11,1.2939321e-13
320.86000,9.0229491e-12,1.0815078e-13
320.87000,8.8865905e-12,1.0717770e-13
320.88000,1.1305536e-11,1.2661791e-13
320.89000,1.4731834e-11,1.5376735e-13
320.90000,1.6765266e-11,1.6911935e-13
320.91000,1.6255143e-11,1.6412687e-13
320.92000,1.2659048e-11,1.3540009e-13
320.93000,8.2534026e-12,1.0056297e-13
320.94000,7.0387844e-12,9.0862337e-14
320.95000,9.5691161e-12,1.1090266e-13
320.96000,1.3708553e-11,1.4338320e-13
320.97000,1.7489016e-11,1.7239270e-13
320.98000,1.9601438e-11,1.8841083e-13
320.99000,1.8817442e-11,1.8286433e-13
321.00000,1.5172595e-11,1.5599062e-13
321.01000,1.2320793e-11,1.3448957e-13
321.02000,1.1507713e-11,1.2725762e-13
321.03000,9.9369958e-12,1.1369541e-13
321.04000,8.6790153e-12,1.0317270e-13
321.05000,8.2624299e-12,9.9573097e-14
321.06000,8.3171829e-12,9.9822815e-14
321.07000,9.6966468e-12,1.1120037e-13
321.08000,9.7754718e-12,1.1270046e-13
321.09000,8.5416015e-12,1.0287585e-13
321.10000,9.8936581e-12,1.1254139e-13
321.11000,1.3290895e-11,1.3858190e-13
321.12000,1.5194726e-11,1.5368864e-13
321.13000,1.5474351e-11,1.5568855e-13
321.14000,1.5924572e-11,1.5791423e-13
321.15000,1.4911970e-11,1.4958563e-13
321.16000,1.1133168e-11,1.2118849e-13
321.17000,7.7793313e-12,9.5646901e-14
321.18000,7.0399103e-12,9.0049494e-14
321.19000,7.6400001e-12,9.5160995e-14
321.20000,6.7811437e-12,8.8248071e-14
321.21000,5.8282480e-12,8.0294644e-14
321.22000,7.0745362e-12,9.0178121e-14
321.23000,9.5178088e-12,1.0960739e-13
321.24000,1.2061073e-11,1.2947170e-13
321.25000,1.4026889e-11,1.4427707e-13
321.26000,1.4489621e-11,1.4777092e-13
321.27000,1.4550989e-11,1.4826939e-13
321.28000,1.5549724e-11,1.5539963e-13
321.29000,1.5246634e-11,1.5263176e-13
321.30000,1.3520207e-11,1.3943911e-13
321.31000,1.3160555e-11,1.3656258e-13
321.32000,1.1840622e-11,1.2632644e-13
321.33000,8.6758134e-12,1.0193578e-13
321.34000,6.2408351e-12,8.2756642e-14
321.35000,6.0800839e-12,8.1358314e-14
321.36000,8.6027495e-12,1.0086468e-13
321.37000,1.1475665e-11,1.2262955e-13
321.38000,1.2230130e-11,1.2813597e-13
321.39000,1.1976181e-11,1.2604412e-13
321.40000,1.0829556e-11,1.1681977e-13
321.41000,7.5250225e-12,9.0795570e-14
321.42000,5.3327058e-12,7.4201672e-14
321.43000,6.4447296e-12,8.4141642e-14
321.44000,8.5418199e-12,1.0054310e-13
321.45000,9.5128713e-12,1.0709565e-13
321.46000,1.1126560e-11,1.1828868e-13
321.47000,1.2949056e-11,1.3124454e-13
321.48000,1.1958394e-11,1.2344481e-13
321.49000,1.0541814e-11,1.1294826e-13
321.50000,1.2685132e-11,1.2919348e-13
321.51000,1.5578367e-11,1.5071535e-13
321.52000,1.5026247e-11,1.4657749e-13
321.53000,1.2406720e-11,1.2723634e-13
321.54000,1.1365617e-11,1.1935810e-13
321.55000,1.2559644e-11,1.2758081e-13
321.56000,1.5641249e-11,1.4946135e-13
321.57000,1.8376093e-11,1.6932714e-13
321.58000,1.7943756e-11,1.6660127e-13
321.59000,1.4071035e-11,1.3849575e-13
321.60000,9.5963706e-12,1.0555876e-13
321.61000,9.4781027e-12,1.0482795e-13
321.62000,1.3195032e-11,1.3263779e-13
321.63000,1.6122454e-11,1.5446898e-13
321.64000,1.8175892e-11,1.6964368e-13
321.65000,1.9225907e-11,1.7748620e-13
321.66000,1.7118974e-11,1.6244593e-13
321.67000,1.3498691e-11,1.3615099e-13
321.68000,1.0995628e-11,1.1761813e-13
321.69000,9.3168816e-12,1.0479985e-13
321.70000,7.1420032e-12,8.7856349e-14
321.71000,5.4431689e-12,7.4303655e-14
321.72000,6.3351925e-12,8.0817111e-14
321.73000,9.7820664e-12,1.0745784e-13
321.74000,1.1205448e-11,1.1872042e-13
321.75000,1.0247922e-11,1.1164758e-13
321.76000,1.2552405e-11,1.2874094e-13
321.77000,1.7125008e-11,1.6226999e-13
321.78000,1.8427538e-11,1.7176884e-13
321.79000,1.5731652e-11,1.5267775e-13
321.80000,1.4074666e-11,1.4107649e-13
321.81000,1.5329322e-11,1.5049939e-13
321.82000,1.6029609e-11,1.5596396e-13
321.83000,1.4839771e-11,1.4740520e-13
321.84000,1.4075328e-11,1.4148617e-13
321.85000,1.6719283e-11,1.6036814e-13
321.86000,1.9548509e-11,1.8131958e-13
321.87000,1.9257496e-11,1.7991547e-13
321.88000,1.9042962e-11,1.7847787e-13
321.89000,2.0348168e-11,1.8790286e-13
321.90000,2.1038343e-11,1.9311789e-13
321.91000,1.9831760e-11,1.8424139e-13
321.92000,1.7267213e-11,1.6532832e-13
321.93000,1.5981979e-11,1.5581005e-13
321.94000,1.7032960e-11,1.6318760e-13
321.95000,1.6401233e-11,1.5827918e-13
321.96000,1.2493674e-11,1.2897310e-13
321.97000,8.3810543e-12,9.7945158e-14
321.98000,6.9138246e-12,8.6765014e-14
321.99000,7.7105419e-12,9.2489972e-14
322.00000,1.1396518e-11,1.1962476e-13
322.01000,1.6745945e-11,1.5886256e-13
322.02000,1.9978311e-11,1.8161224e-13
322.03000,2.0106316e-11,1.8232594e-13
322.04000,1.7831254e-11,1.6720422e-13
322.05000,1.5644754e-11,1.5132816e-13
322.06000,1.5388964e-11,1.4854022e-13
322.07000,1.6730509e-11,1.5846950e-13
322.08000,1.8512505e-11,1.7140989e-13
322.09000,1.9760168e-11,1.7878057e-13
322.10000,2.0557887e-11,1.8254393e-13
322.11000,2.0792396e-11,1.8336330e-13
322.12000,1.9392209e-11,1.7378371e-13
